name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	956.033	0.5000
envelope.blocks_backward	1.0	390.986	0.2045
envelope.blocks_forward	1.0	243.497	0.1274
bwd.mlp_through_oproj	12.0	240.978	0.1260
block.attention_total	12.0	177.491	0.0928
gemm.gateup_dB	24.0	143.107	nan
gemm.proj_fwd	48.0	138.111	nan
step.head_backward_db	1.0	133.397	0.0698
gemm.head_dB	1.0	133.389	nan
attn.qkv_proj	12.0	128.181	0.0670
grad.up_dB	12.0	124.277	0.0650
fwd.v_proj	12.0	110.689	0.0579
step.validate_after_scan	1.0	107.579	0.0563
bwd.attention	12.0	91.101	0.0476
block.mlp_and_residuals	12.0	61.353	0.0321
bwd.after_attention	12.0	58.841	0.0308
attn.core	12.0	37.471	0.0196
gemm.gateup_dA	24.0	37.214	nan
gemm.gateup_fwd	24.0	36.269	nan
gemm.proj_dB	48.0	35.997	nan
gemm.proj_dA	48.0	34.588	nan
attn.fwd_r2_keep_kernel	12.0	33.704	0.0176
attn.bwd_dq_tiled_pf	12.0	31.219	0.0163
step.head_backward_da	1.0	28.875	0.0151
gemm.head_dA	1.0	28.854	nan
attn.bwd_kvgrid_dkdv_pf	12.0	28.747	0.0150
step.head_forward	1.0	25.420	0.0133
gemm.head_fwd	1.0	25.403	nan
attn.bwd_zdot_estash_dres_pf	12.0	19.533	0.0102
gemm.down_dB	12.0	18.838	nan
grad.down_dB	12.0	18.838	0.0099
grad.gate_dB	12.0	18.831	0.0098
fwd.gate_proj	12.0	18.724	0.0098
grad.up_dA	12.0	18.627	0.0097
grad.gate_dA	12.0	18.587	0.0097
fwd.down_proj	12.0	18.074	0.0095
gemm.down_fwd	12.0	18.074	nan
gemm.down_dA	12.0	17.638	nan
grad.down_dA	12.0	17.638	0.0092
fwd.up_proj	12.0	17.545	0.0092
attn.o_proj	12.0	10.108	0.0053
fwd.o_proj	12.0	10.053	0.0053
step.ce_forward	1.0	9.816	0.0051
grad.q_dB	12.0	9.330	0.0049
grad.k_dB	12.0	9.211	0.0048
grad.v_dB	12.0	8.842	0.0046
grad.o_dA	12.0	8.727	0.0046
fwd.q_proj	12.0	8.719	0.0046
step.embedding_backward	1.0	8.696	0.0045
fwd.k_proj	12.0	8.650	0.0045
grad.v_dA	12.0	8.634	0.0045
grad.k_dA	12.0	8.621	0.0045
grad.o_dB	12.0	8.614	0.0045
grad.q_dA	12.0	8.605	0.0045
attn.bwd_corner_flag	12.0	5.663	0.0030
block.norm1	12.0	4.593	0.0024
attn.bwd_regime_scan	12.0	4.495	0.0024
fwd.norm2	12.0	3.595	0.0019
fwd.norm1	12.0	3.162	0.0017
attn.fwd_regime_scan	12.0	2.990	0.0016
step.ce_backward	1.0	2.586	0.0014
grad.norm2_kernels	12.0	2.167	0.0011
grad.norm1_kernels	12.0	2.000	0.0010
attn.rope_and_cache	12.0	1.709	0.0009
step.ce_refuse_scan	1.0	1.636	0.0009
grad.gate_mul	12.0	1.496	0.0008
gemm.norm_dW	24.0	1.400	nan
fwd.refuse_call	12.0	1.351	0.0007
attn.bwd_scratch_alloc	12.0	1.254	0.0007
step.optimizer	1.0	1.087	0.0006
fwd.silu	12.0	1.048	0.0005
fwd.gate_mul	12.0	0.999	0.0005
grad.rope	12.0	0.980	0.0005
grad.refuse_scan	12.0	0.860	0.0004
grad.norm2_dW	12.0	0.770	0.0004
step.pack_grads	1.0	0.698	0.0004
step.unpack_weights	1.0	0.689	0.0004
grad.norm1_dW	12.0	0.630	0.0003
grad.kv_slice	12.0	0.618	0.0003
attn.fwd_corner_flag	12.0	0.601	0.0003
fwd.residual1_add	12.0	0.589	0.0003
step.validate_grads_scan	1.0	0.575	0.0003
grad.qkv_fanin	12.0	0.542	0.0003
fwd.residual2_add	12.0	0.540	0.0003
grad.gateup_fanin	12.0	0.530	0.0003
grad.residual2_copy	12.0	0.460	0.0002
grad.x_add	12.0	0.455	0.0002
step.upload_inputs	1.0	0.181	0.0001
step.py_flags	1.0	0.136	0.0001
step.embedding_forward	1.0	0.084	0.0000
step.loss_download	1.0	0.042	0.0000
grad.silu	12.0	0.010	0.0000
step.bind_publish	1.0	0.008	0.0000
grad.o_copy	12.0	0.004	0.0000
grad.residual1_add	12.0	0.003	0.0000
bwd.before_attention	12.0	0.003	0.0000
step.bind_final_sync	1.0	0.001	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 1912.022 ms a shard; gemm.* 668.882 ms a shard
