Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.7,451416562,342,1319931.5,469008.0,462689,31462654,3931070.5,gemm_checks_gemm_identical_id6A6A6A6A6A6A_6e0e904c41851a9e
13.5,136583647,24,5690985.3,5692261.0,5664357,5703589,9414.0,transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1
13.5,136005688,168,809557.7,482705.0,478945,1252833,379878.1,gemm_checks_gemm_identical_id6A6A6A6A6A6A_4756606400325dd8
6.7,67836483,24,2826520.1,2827234.5,2819811,2830786,3244.3,transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a
5.9,59670457,24,2486269.0,2487298.5,2477090,2492738,4438.2,transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490
5.0,50467981,24,2102832.5,2102657.5,2099586,2107266,1771.3,transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e
1.2,12018444,2,6009222.0,6009222.0,6006534,6011910,3801.4,gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2
1.2,11628844,196,59330.8,8224.0,1600,1317026,183649.6,core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb
0.9,8872566,168,52812.9,44480.0,43200,65248,10140.6,gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf
0.8,8567266,48,178484.7,178192.0,168737,192224,6304.9,transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886
0.4,4487108,2,2243554.0,2243554.0,2243394,2243714,226.3,training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae
0.4,4480708,2,2240354.0,2240354.0,2240290,2240418,90.5,training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c
0.4,4317764,24,179906.8,179952.0,178560,181025,683.4,transformer_checks_transformer6A6A6A6A_701f75a72b36f978
0.4,4055173,2,2027586.5,2027586.5,2023106,2032067,6336.4,embedding_checks_embedding_ide6A6A6A6A_02a428d7480c858f
0.4,4027358,168,23972.4,23664.0,21504,28736,2138.9,transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48
0.4,3951747,48,82328.1,82352.0,80864,83712,529.2,transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7
0.4,3825699,2,1912849.5,1912849.5,1912546,1913153,429.2,training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde
0.3,3486850,2,1743425.0,1743425.0,1740385,1746465,4299.2,training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6
0.3,3391909,48,70664.8,70655.0,70496,70912,85.5,transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae
0.3,3350050,48,69792.7,69792.0,69600,70241,111.3,transformer_checks_transformer6A6A6A6A_9e49fedb5168a455
0.3,2817605,48,58700.1,58576.5,49793,68224,8400.3,transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c
0.2,2062114,4,515528.5,515456.5,515104,516097,421.3,core_device_scan_negative_part6A6A6A6A_c691e2646998e577
0.2,1945344,24,81056.0,81168.0,80480,81471,320.0,transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a
0.2,1937923,24,80746.8,80800.0,80320,80896,173.9,transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533
0.2,1730721,2,865360.5,865360.5,864896,865825,656.9,embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999
0.2,1666720,24,69446.7,69440.0,69184,69792,169.2,transformer_checks_transformer6A6A6A6A_e0aadbba61216e38
0.2,1578594,24,65774.8,65760.0,65568,65984,124.4,transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f
0.2,1552038,48,32334.1,32336.0,31520,33824,650.1,mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2
0.2,1530690,2,765345.0,765345.0,764449,766241,1267.1,training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6
0.2,1520514,48,31677.4,31664.0,31073,32512,408.0,transformer_checks_transformer6A6A6A6A_6755bf37231227cb
0.2,1519940,48,31665.4,31584.0,31232,32544,363.8,transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e
0.1,1466050,8,183256.3,183264.0,182816,183648,268.7,training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752
0.1,1138785,24,47449.4,47248.0,47072,47968,331.0,training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304
