NOTE: --lanes scopes this diff to 3 lane(s); 28 other lane(s) the JSONs carry are not compared
| lane/fixture                 | verdict    | amd-gfx942-default-two | nvidia-sm_90a-default-two | amd-2xmi300x-gfx942 | nvidia-2xh100-sm_90a |
| par-byte-lm-offload/hashed   | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-offload/hashed   | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-offload/hashed   | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-offload/negative | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-offload/negative | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-offload/negative | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-offload/odd      | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-offload/odd      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-offload/odd      | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-offload/ties     | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-offload/ties     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-offload/ties     | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm-offload/wide     | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm-offload/wide     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm-offload/wide     | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm/base             | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm/base             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm/base             | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm/denormal         | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm/denormal         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm/denormal         | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm/denormal_ftz     | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm/denormal_ftz     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm/denormal_ftz     | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm/dupes            | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm/dupes            | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm/dupes            | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm/hashed           | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm/hashed           | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm/hashed           | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm/negative         | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm/negative         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm/negative         | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm/odd              | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm/odd              | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm/odd              | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm/ties             | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm/ties             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm/ties             | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |
| par-byte-lm/wide             | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| par-byte-lm/wide             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| par-byte-lm/wide             | batch  | N/A          | n/a:no-model     | n/a:no-model     | n/a:no-model     | n/a:no-model     |

summary (infer/model): N/A=54
summary (batch): N/A=27
