NOTE: column amd-gfx942 is INCOMPLETE (the run was killed); lanes after the last one written are absent, not clean
| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
| cross-val/dupes              | IDENTICAL x3 | 46cc9eae6bc88253 | 46cc9eae6bc88253 | 46cc9eae6bc88253 |
| cross-val/hashed             | IDENTICAL x3 | 5f66aca6dc6b2a3a | 5f66aca6dc6b2a3a | 5f66aca6dc6b2a3a |
| cross-val/negative           | IDENTICAL x3 | c3bce63513677e76 | c3bce63513677e76 | c3bce63513677e76 |
| cross-val/odd                | IDENTICAL x3 | c2d79851d9be64e6 | c2d79851d9be64e6 | c2d79851d9be64e6 |
| cross-val/ties               | IDENTICAL x3 | 274de5ea7441d6ac | 274de5ea7441d6ac | 274de5ea7441d6ac |
| cross-val/wide               | IDENTICAL x3 | 74ace7ceff4f3f9c | 74ace7ceff4f3f9c | 74ace7ceff4f3f9c |
| dbscan-brute-l1/base         | IDENTICAL x3 | 0e71495be68d20c8 | 0e71495be68d20c8 | 0e71495be68d20c8 |
| dbscan-brute-l1/denormal     | IDENTICAL x3 | 21d5ea1c72f42a78 | 21d5ea1c72f42a78 | 21d5ea1c72f42a78 |
| dbscan-brute-l1/denormal_ftz | IDENTICAL x3 | 21d5ea1c72f42a78 | 21d5ea1c72f42a78 | 21d5ea1c72f42a78 |
| dbscan-brute-l1/dupes        | IDENTICAL x3 | 0e71495be68d20c8 | 0e71495be68d20c8 | 0e71495be68d20c8 |
| dbscan-brute-l1/hashed       | IDENTICAL x3 | eeb466d17ea9bfdc | eeb466d17ea9bfdc | eeb466d17ea9bfdc |
| dbscan-brute-l1/negative     | IDENTICAL x3 | 06e83e9f6128fb04 | 06e83e9f6128fb04 | 06e83e9f6128fb04 |
| dbscan-brute-l1/odd          | IDENTICAL x3 | 4b20175965069a15 | 4b20175965069a15 | 4b20175965069a15 |
| dbscan-brute-l1/ties         | IDENTICAL x3 | b7535355c1581603 | b7535355c1581603 | b7535355c1581603 |
| dbscan-brute-l1/wide         | IDENTICAL x3 | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d |
| dbscan-weighted/base         | IDENTICAL x3 | 3aa7f30692765cf2 | 3aa7f30692765cf2 | 3aa7f30692765cf2 |
| dbscan-weighted/denormal     | IDENTICAL x3 | d3c48a5338826d18 | d3c48a5338826d18 | d3c48a5338826d18 |
| dbscan-weighted/denormal_ftz | IDENTICAL x3 | d3c48a5338826d18 | d3c48a5338826d18 | d3c48a5338826d18 |
| dbscan-weighted/dupes        | IDENTICAL x3 | 3aa7f30692765cf2 | 3aa7f30692765cf2 | 3aa7f30692765cf2 |
| dbscan-weighted/hashed       | IDENTICAL x3 | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d |
| dbscan-weighted/negative     | IDENTICAL x3 | bb6bd31e075693e9 | bb6bd31e075693e9 | bb6bd31e075693e9 |
| dbscan-weighted/odd          | IDENTICAL x3 | 6a9b77cffd9e2493 | 6a9b77cffd9e2493 | 6a9b77cffd9e2493 |
| dbscan-weighted/ties         | IDENTICAL x3 | 525addc009cffb40 | 525addc009cffb40 | 525addc009cffb40 |
| dbscan-weighted/wide         | IDENTICAL x3 | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d |
| dbscan/base                  | IDENTICAL x3 | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b |
| dbscan/denormal              | IDENTICAL x3 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 |
| dbscan/denormal_ftz          | IDENTICAL x3 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 |
| dbscan/dupes                 | IDENTICAL x3 | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b |
| dbscan/hashed                | IDENTICAL x3 | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d |
| dbscan/negative              | IDENTICAL x3 | bb6bd31e075693e9 | bb6bd31e075693e9 | bb6bd31e075693e9 |
| dbscan/odd                   | IDENTICAL x3 | 54d129f45630ea84 | 54d129f45630ea84 | 54d129f45630ea84 |
| dbscan/ties                  | IDENTICAL x3 | b7535355c1581603 | b7535355c1581603 | b7535355c1581603 |
| dbscan/wide                  | IDENTICAL x3 | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d |
| elasticnet-l2end-no-intercept/base | IDENTICAL x3 | 5346e205a1021396 | 5346e205a1021396 | 5346e205a1021396 |
| elasticnet-l2end-no-intercept/denormal | IDENTICAL x3 | 87ba9a45e3804809 | 87ba9a45e3804809 | 87ba9a45e3804809 |
| elasticnet-l2end-no-intercept/denormal_ftz | IDENTICAL x3 | 87ba9a45e3804809 | 87ba9a45e3804809 | 87ba9a45e3804809 |
| elasticnet-l2end-no-intercept/dupes | IDENTICAL x3 | 03c8673aa2774336 | 03c8673aa2774336 | 03c8673aa2774336 |
| elasticnet-l2end-no-intercept/hashed | IDENTICAL x3 | 616704ae22274dcc | 616704ae22274dcc | 616704ae22274dcc |
| elasticnet-l2end-no-intercept/negative | IDENTICAL x3 | 973c0cbcd6292982 | 973c0cbcd6292982 | 973c0cbcd6292982 |
| elasticnet-l2end-no-intercept/odd | IDENTICAL x3 | 810604d104c7fb79 | 810604d104c7fb79 | 810604d104c7fb79 |
| elasticnet-l2end-no-intercept/ties | IDENTICAL x3 | c9ddfed0e2aeb402 | c9ddfed0e2aeb402 | c9ddfed0e2aeb402 |
| elasticnet-l2end-no-intercept/wide | IDENTICAL x3 | 8e62b0c2cbfe68e5 | 8e62b0c2cbfe68e5 | 8e62b0c2cbfe68e5 |
| elasticnet/base              | IDENTICAL x3 | 2cf742083831ee9d | 2cf742083831ee9d | 2cf742083831ee9d |
| elasticnet/denormal          | IDENTICAL x3 | 3add60ff69fd788c | 3add60ff69fd788c | 3add60ff69fd788c |
| elasticnet/denormal_ftz      | IDENTICAL x3 | 3add60ff69fd788c | 3add60ff69fd788c | 3add60ff69fd788c |
| elasticnet/dupes             | IDENTICAL x3 | 97d4c8c235d38bfe | 97d4c8c235d38bfe | 97d4c8c235d38bfe |
| elasticnet/hashed            | IDENTICAL x3 | 00b6923d62a41c0a | 00b6923d62a41c0a | 00b6923d62a41c0a |
| elasticnet/negative          | IDENTICAL x3 | 7624315e7deffe10 | 7624315e7deffe10 | 7624315e7deffe10 |
| elasticnet/odd               | IDENTICAL x3 | 1a518e703b7dd1d9 | 1a518e703b7dd1d9 | 1a518e703b7dd1d9 |
| elasticnet/ties              | IDENTICAL x3 | 118eac19578010ab | 118eac19578010ab | 118eac19578010ab |
| elasticnet/wide              | IDENTICAL x3 | ef8800eaf0ca4f87 | ef8800eaf0ca4f87 | ef8800eaf0ca4f87 |
| et-clf-entropy-bestfirst/base | IDENTICAL x3 | 6a5ef5ab78ae5228 | 6a5ef5ab78ae5228 | 6a5ef5ab78ae5228 |
| et-clf-entropy-bestfirst/denormal | IDENTICAL x3 | f0837d67f8dc07eb | f0837d67f8dc07eb | f0837d67f8dc07eb |
| et-clf-entropy-bestfirst/denormal_ftz | IDENTICAL x3 | f0837d67f8dc07eb | f0837d67f8dc07eb | f0837d67f8dc07eb |
| et-clf-entropy-bestfirst/dupes | IDENTICAL x3 | 4c48027f6644d462 | 4c48027f6644d462 | 4c48027f6644d462 |
