| lane/fixture                 | verdict    | apple-m4         | amd-gfx942       | amd-2xmi300x-gfx942 |
| dbscan-weighted/wide         | IDENTICAL x2 | d17808b4b9261d5d | d17808b4b9261d5d | (not run)        |
| dbscan/base                  | IDENTICAL x2 | 64df251bd00de81b | 64df251bd00de81b | (not run)        |
| dbscan/denormal              | IDENTICAL x2 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | (not run)        |
| dbscan/denormal_ftz          | IDENTICAL x2 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | (not run)        |
| dbscan/dupes                 | IDENTICAL x2 | 64df251bd00de81b | 64df251bd00de81b | (not run)        |
| dbscan/hashed                | IDENTICAL x2 | d17808b4b9261d5d | d17808b4b9261d5d | (not run)        |
| dbscan/negative              | IDENTICAL x2 | bb6bd31e075693e9 | bb6bd31e075693e9 | (not run)        |
| dbscan/odd                   | IDENTICAL x2 | 54d129f45630ea84 | 54d129f45630ea84 | (not run)        |
| dbscan/ties                  | IDENTICAL x2 | b7535355c1581603 | b7535355c1581603 | (not run)        |
| dbscan/wide                  | IDENTICAL x2 | d17808b4b9261d5d | d17808b4b9261d5d | (not run)        |
| elasticnet-l2end-no-intercept/base | IDENTICAL x2 | 5346e205a1021396 | 5346e205a1021396 | (not run)        |
| elasticnet-l2end-no-intercept/denormal | IDENTICAL x2 | 87ba9a45e3804809 | 87ba9a45e3804809 | (not run)        |
| elasticnet-l2end-no-intercept/denormal_ftz | IDENTICAL x2 | 87ba9a45e3804809 | 87ba9a45e3804809 | (not run)        |
| elasticnet-l2end-no-intercept/dupes | IDENTICAL x2 | 03c8673aa2774336 | 03c8673aa2774336 | (not run)        |
| elasticnet-l2end-no-intercept/hashed | IDENTICAL x2 | 616704ae22274dcc | 616704ae22274dcc | (not run)        |
| elasticnet-l2end-no-intercept/negative | IDENTICAL x2 | 973c0cbcd6292982 | 973c0cbcd6292982 | (not run)        |
| elasticnet-l2end-no-intercept/odd | IDENTICAL x2 | 810604d104c7fb79 | 810604d104c7fb79 | (not run)        |
| elasticnet-l2end-no-intercept/ties | IDENTICAL x2 | c9ddfed0e2aeb402 | c9ddfed0e2aeb402 | (not run)        |
| elasticnet-l2end-no-intercept/wide | IDENTICAL x2 | 8e62b0c2cbfe68e5 | 8e62b0c2cbfe68e5 | (not run)        |
| elasticnet/base              | IDENTICAL x2 | 2cf742083831ee9d | 2cf742083831ee9d | (not run)        |
| elasticnet/denormal          | IDENTICAL x2 | 3add60ff69fd788c | 3add60ff69fd788c | (not run)        |
| elasticnet/denormal_ftz      | IDENTICAL x2 | 3add60ff69fd788c | 3add60ff69fd788c | (not run)        |
| elasticnet/dupes             | IDENTICAL x2 | 97d4c8c235d38bfe | 97d4c8c235d38bfe | (not run)        |
| elasticnet/hashed            | IDENTICAL x2 | 00b6923d62a41c0a | 00b6923d62a41c0a | (not run)        |
| elasticnet/negative          | IDENTICAL x2 | 7624315e7deffe10 | 7624315e7deffe10 | (not run)        |
| elasticnet/odd               | IDENTICAL x2 | 1a518e703b7dd1d9 | 1a518e703b7dd1d9 | (not run)        |
| elasticnet/ties              | IDENTICAL x2 | 118eac19578010ab | 118eac19578010ab | (not run)        |
| elasticnet/wide              | IDENTICAL x2 | ef8800eaf0ca4f87 | ef8800eaf0ca4f87 | (not run)        |
| et-clf-entropy-bestfirst/base | IDENTICAL x2 | 6a5ef5ab78ae5228 | 6a5ef5ab78ae5228 | (not run)        |
| et-clf-entropy-bestfirst/denormal | IDENTICAL x2 | f0837d67f8dc07eb | f0837d67f8dc07eb | (not run)        |
| et-clf-entropy-bestfirst/denormal_ftz | IDENTICAL x2 | f0837d67f8dc07eb | f0837d67f8dc07eb | (not run)        |
