| lane/fixture                 | verdict    | apple-m4         | amd-gfx942       | amd-2xmi300x-gfx942 |
| kde-weighted/negative        | IDENTICAL x2 | 3de94d1a03bf818e | 3de94d1a03bf818e | (not run)        |
| kde-weighted/odd             | IDENTICAL x2 | e56721dfde54f53a | e56721dfde54f53a | (not run)        |
| kde-weighted/ties            | IDENTICAL x2 | eed19bb187e30ec9 | eed19bb187e30ec9 | (not run)        |
| kde-weighted/wide            | IDENTICAL x2 | a0522884aefbde03 | a0522884aefbde03 | (not run)        |
| kde/base                     | IDENTICAL x2 | e0d6e3d0623d6112 | e0d6e3d0623d6112 | (not run)        |
| kde/denormal                 | IDENTICAL x2 | 2128392fe1eb228a | 2128392fe1eb228a | (not run)        |
| kde/denormal_ftz             | IDENTICAL x2 | 2128392fe1eb228a | 2128392fe1eb228a | (not run)        |
| kde/dupes                    | IDENTICAL x2 | e0d6e3d0623d6112 | e0d6e3d0623d6112 | (not run)        |
| kde/hashed                   | IDENTICAL x2 | dc279c30b7c5d070 | dc279c30b7c5d070 | (not run)        |
| kde/negative                 | IDENTICAL x2 | 84ca35b6a157c265 | 84ca35b6a157c265 | (not run)        |
| kde/odd                      | IDENTICAL x2 | 8a2b6beee09a98f3 | 8a2b6beee09a98f3 | (not run)        |
| kde/ties                     | IDENTICAL x2 | 0a800c7b3cca66e4 | 0a800c7b3cca66e4 | (not run)        |
| kde/wide                     | IDENTICAL x2 | 36c3cbb2ef71f768 | 36c3cbb2ef71f768 | (not run)        |
| kmeans-array/base            | IDENTICAL x2 | 37ab2f0355ef716a | 37ab2f0355ef716a | (not run)        |
| kmeans-array/denormal        | IDENTICAL x2 | 92a2b78d865ad9b0 | 92a2b78d865ad9b0 | (not run)        |
| kmeans-array/denormal_ftz    | IDENTICAL x2 | 92a2b78d865ad9b0 | 92a2b78d865ad9b0 | (not run)        |
| kmeans-array/dupes           | IDENTICAL x2 | a71e34a5786a472e | a71e34a5786a472e | (not run)        |
| kmeans-array/hashed          | IDENTICAL x2 | a960d6d68f5c8665 | a960d6d68f5c8665 | (not run)        |
| kmeans-array/negative        | IDENTICAL x2 | 64223107950d714a | 64223107950d714a | (not run)        |
| kmeans-array/odd             | IDENTICAL x2 | 5b347e0f29ddb844 | 5b347e0f29ddb844 | (not run)        |
| kmeans-array/ties            | IDENTICAL x2 | f7e7677d5ae7597f | f7e7677d5ae7597f | (not run)        |
| kmeans-array/wide            | IDENTICAL x2 | ac99cd5354363ce1 | ac99cd5354363ce1 | (not run)        |
| kmeans-random/base           | IDENTICAL x2 | 2bab0cda9f319dbb | 2bab0cda9f319dbb | (not run)        |
| kmeans-random/denormal       | IDENTICAL x2 | ddb08cf02222e6a3 | ddb08cf02222e6a3 | (not run)        |
| kmeans-random/denormal_ftz   | IDENTICAL x2 | ddb08cf02222e6a3 | ddb08cf02222e6a3 | (not run)        |
| kmeans-random/dupes          | IDENTICAL x2 | b8953eb119af6144 | b8953eb119af6144 | (not run)        |
| kmeans-random/hashed         | IDENTICAL x2 | 0b375d0049c4c87b | 0b375d0049c4c87b | (not run)        |
| kmeans-random/negative       | IDENTICAL x2 | 23ce9524cf23e596 | 23ce9524cf23e596 | (not run)        |
| kmeans-random/odd            | IDENTICAL x2 | f22e6751eeedc598 | f22e6751eeedc598 | (not run)        |
| kmeans-random/ties           | IDENTICAL x2 | 9f90e48e2d5a4ce4 | 9f90e48e2d5a4ce4 | (not run)        |
| kmeans-random/wide           | IDENTICAL x2 | 2b64e3f5f82a82d8 | 2b64e3f5f82a82d8 | (not run)        |
| kmeans-weighted/base         | IDENTICAL x2 | 5080fbf55610f54e | 5080fbf55610f54e | (not run)        |
| kmeans-weighted/denormal     | IDENTICAL x2 | c3613adfb9158691 | c3613adfb9158691 | (not run)        |
| kmeans-weighted/denormal_ftz | IDENTICAL x2 | c3613adfb9158691 | c3613adfb9158691 | (not run)        |
| kmeans-weighted/dupes        | IDENTICAL x2 | a530038afd2318d6 | a530038afd2318d6 | (not run)        |
| kmeans-weighted/hashed       | IDENTICAL x2 | eded8c9746d545c7 | eded8c9746d545c7 | (not run)        |
| kmeans-weighted/negative     | IDENTICAL x2 | 3bf996834a2fd658 | 3bf996834a2fd658 | (not run)        |
| kmeans-weighted/odd          | IDENTICAL x2 | fc6107e901e7d7be | fc6107e901e7d7be | (not run)        |
| kmeans-weighted/ties         | IDENTICAL x2 | a7070391c3cc52fb | a7070391c3cc52fb | (not run)        |
| kmeans-weighted/wide         | IDENTICAL x2 | 5e333d411cffbf33 | 5e333d411cffbf33 | (not run)        |
| kmeans/base                  | IDENTICAL x2 | 5aa44cc11034dec9 | 5aa44cc11034dec9 | (not run)        |
| kmeans/denormal              | IDENTICAL x2 | 993fe5caff144b0c | 993fe5caff144b0c | (not run)        |
| kmeans/denormal_ftz          | IDENTICAL x2 | 993fe5caff144b0c | 993fe5caff144b0c | (not run)        |
| kmeans/dupes                 | IDENTICAL x2 | 2ae942d45a51757a | 2ae942d45a51757a | (not run)        |
| kmeans/hashed                | IDENTICAL x2 | 0a570e84b0002723 | 0a570e84b0002723 | (not run)        |
| kmeans/negative              | IDENTICAL x2 | d4cc38e75f8e2d75 | d4cc38e75f8e2d75 | (not run)        |
| kmeans/odd                   | IDENTICAL x2 | 43d8a3d3859f4143 | 43d8a3d3859f4143 | (not run)        |
| kmeans/ties                  | IDENTICAL x2 | 3de3e103006de69c | 3de3e103006de69c | (not run)        |
| kmeans/wide                  | IDENTICAL x2 | 6f0529fcb3d60536 | 6f0529fcb3d60536 | (not run)        |
| knn-chebyshev/base           | IDENTICAL x2 | 216fff8aa5989758 | 216fff8aa5989758 | (not run)        |
| knn-chebyshev/denormal       | IDENTICAL x2 | 7529dc2d3cbeffa9 | 7529dc2d3cbeffa9 | (not run)        |
| knn-chebyshev/denormal_ftz   | IDENTICAL x2 | 7529dc2d3cbeffa9 | 7529dc2d3cbeffa9 | (not run)        |
| knn-chebyshev/dupes          | IDENTICAL x2 | e99889dfad36b7f9 | e99889dfad36b7f9 | (not run)        |
| knn-chebyshev/hashed         | IDENTICAL x2 | 38c9ba5b53bf50b4 | 38c9ba5b53bf50b4 | (not run)        |
| knn-chebyshev/negative       | IDENTICAL x2 | a072add0bea1061c | a072add0bea1061c | (not run)        |
| knn-chebyshev/odd            | IDENTICAL x2 | 14e51035498fb41b | 14e51035498fb41b | (not run)        |
| knn-chebyshev/ties           | IDENTICAL x2 | ffb6231807d08ca5 | ffb6231807d08ca5 | (not run)        |
| knn-chebyshev/wide           | IDENTICAL x2 | 5d9dd46c34e7ea9b | 5d9dd46c34e7ea9b | (not run)        |
| knn-clf-distance/base        | IDENTICAL x2 | 5d6f66edfe15362c | 5d6f66edfe15362c | (not run)        |
| knn-clf-distance/denormal    | IDENTICAL x2 | b049f105466d025f | b049f105466d025f | (not run)        |
| knn-clf-distance/denormal_ftz | IDENTICAL x2 | b049f105466d025f | b049f105466d025f | (not run)        |
| knn-clf-distance/dupes       | IDENTICAL x2 | 65656a96c0304161 | 65656a96c0304161 | (not run)        |
| knn-clf-distance/hashed      | IDENTICAL x2 | f904e61e0194d01a | f904e61e0194d01a | (not run)        |
| knn-clf-distance/negative    | IDENTICAL x2 | e75299d3a91e1db0 | e75299d3a91e1db0 | (not run)        |
| knn-clf-distance/odd         | IDENTICAL x2 | 32663deab2ca83f8 | 32663deab2ca83f8 | (not run)        |
| knn-clf-distance/ties        | IDENTICAL x2 | 5f7ed9edc31eb1ec | 5f7ed9edc31eb1ec | (not run)        |
| knn-clf-distance/wide        | IDENTICAL x2 | 9391e4e4cd54795b | 9391e4e4cd54795b | (not run)        |
| knn-clf/base                 | IDENTICAL x2 | 7fb71bb7ee2b9cbf | 7fb71bb7ee2b9cbf | (not run)        |
| knn-clf/denormal             | IDENTICAL x2 | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 | (not run)        |
| knn-clf/denormal_ftz         | IDENTICAL x2 | eb1e9c1b10e931a6 | eb1e9c1b10e931a6 | (not run)        |
| knn-clf/dupes                | IDENTICAL x2 | 855703a33d6460e5 | 855703a33d6460e5 | (not run)        |
| knn-clf/hashed               | IDENTICAL x2 | 9ddcb99c00d6b865 | 9ddcb99c00d6b865 | (not run)        |
| knn-clf/negative             | IDENTICAL x2 | 14109bcae1b2b950 | 14109bcae1b2b950 | (not run)        |
| knn-clf/odd                  | IDENTICAL x2 | b875a97832653115 | b875a97832653115 | (not run)        |
| knn-clf/ties                 | IDENTICAL x2 | e49edb14ac08e443 | e49edb14ac08e443 | (not run)        |
| knn-clf/wide                 | IDENTICAL x2 | a3167e29faf6ab4f | a3167e29faf6ab4f | (not run)        |
| knn-cosine/base              | IDENTICAL x2 | be2fe881dd0df53e | be2fe881dd0df53e | (not run)        |
| knn-cosine/denormal          | IDENTICAL x2 | 418429e14db4ffde | 418429e14db4ffde | (not run)        |
| knn-cosine/denormal_ftz      | IDENTICAL x2 | 418429e14db4ffde | 418429e14db4ffde | (not run)        |
| knn-cosine/dupes             | IDENTICAL x2 | 283e29961c629516 | 283e29961c629516 | (not run)        |
| knn-cosine/hashed            | IDENTICAL x2 | 262d2662ebe6917c | 262d2662ebe6917c | (not run)        |
| knn-cosine/negative          | IDENTICAL x2 | 5daef21e2ef055c5 | 5daef21e2ef055c5 | (not run)        |
| knn-cosine/odd               | IDENTICAL x2 | 1b728c25890ac7d2 | 1b728c25890ac7d2 | (not run)        |
| knn-cosine/ties              | IDENTICAL x2 | 206c8bdc271bc1e7 | 206c8bdc271bc1e7 | (not run)        |
| knn-cosine/wide              | IDENTICAL x2 | dbc33d7526b1322b | dbc33d7526b1322b | (not run)        |
| knn-manhattan/base           | IDENTICAL x2 | df1cd4d404b1a5c0 | df1cd4d404b1a5c0 | (not run)        |
| knn-manhattan/denormal       | IDENTICAL x2 | 8f9ba3a71a19e94c | 8f9ba3a71a19e94c | (not run)        |
| knn-manhattan/denormal_ftz   | IDENTICAL x2 | 8f9ba3a71a19e94c | 8f9ba3a71a19e94c | (not run)        |
| knn-manhattan/dupes          | IDENTICAL x2 | df38b77bd3ed392d | df38b77bd3ed392d | (not run)        |
| knn-manhattan/hashed         | IDENTICAL x2 | c2109fa1c4ee57bb | c2109fa1c4ee57bb | (not run)        |
| knn-manhattan/negative       | IDENTICAL x2 | 8484fc4952f900d5 | 8484fc4952f900d5 | (not run)        |
| knn-manhattan/odd            | IDENTICAL x2 | 56a067bdc8b52a76 | 56a067bdc8b52a76 | (not run)        |
| knn-manhattan/ties           | IDENTICAL x2 | 8fef9cc1bfef43c5 | 8fef9cc1bfef43c5 | (not run)        |
| knn-manhattan/wide           | IDENTICAL x2 | d7489bca7dd97685 | d7489bca7dd97685 | (not run)        |
| knn-minkowski-p3/base        | IDENTICAL x2 | 29ae306635a3f3fb | 29ae306635a3f3fb | (not run)        |
| knn-minkowski-p3/denormal    | IDENTICAL x2 | 7a2a07ae9152e078 | 7a2a07ae9152e078 | (not run)        |
| knn-minkowski-p3/denormal_ftz | IDENTICAL x2 | 7a2a07ae9152e078 | 7a2a07ae9152e078 | (not run)        |
| knn-minkowski-p3/dupes       | IDENTICAL x2 | d38f7d7bbd7402ec | d38f7d7bbd7402ec | (not run)        |
| knn-minkowski-p3/hashed      | IDENTICAL x2 | a1f9bd7e2edb78b7 | a1f9bd7e2edb78b7 | (not run)        |
| knn-minkowski-p3/negative    | IDENTICAL x2 | eb221aadbb301af9 | eb221aadbb301af9 | (not run)        |
| knn-minkowski-p3/odd         | IDENTICAL x2 | 69c6535e725897e8 | 69c6535e725897e8 | (not run)        |
| knn-minkowski-p3/ties        | IDENTICAL x2 | bdcd5a382d301db9 | bdcd5a382d301db9 | (not run)        |
| knn-minkowski-p3/wide        | IDENTICAL x2 | ec4a1f13d1b508e1 | ec4a1f13d1b508e1 | (not run)        |
| knn-rbc/base                 | IDENTICAL x2 | 1d3aafd15744f092 | 1d3aafd15744f092 | (not run)        |
| knn-rbc/denormal             | IDENTICAL x2 | db2e42f33a66c6f6 | db2e42f33a66c6f6 | (not run)        |
| knn-rbc/denormal_ftz         | IDENTICAL x2 | db2e42f33a66c6f6 | db2e42f33a66c6f6 | (not run)        |
| knn-rbc/dupes                | IDENTICAL x2 | 48f8078b7abf02f5 | 48f8078b7abf02f5 | (not run)        |
| knn-rbc/hashed               | IDENTICAL x2 | 7e05fb5ad376e5b1 | 7e05fb5ad376e5b1 | (not run)        |
| knn-rbc/negative             | IDENTICAL x2 | 41939520e7b705d9 | 41939520e7b705d9 | (not run)        |
| knn-rbc/odd                  | IDENTICAL x2 | 9b810e50d7279e59 | 9b810e50d7279e59 | (not run)        |
| knn-rbc/ties                 | IDENTICAL x2 | 23daf3a923d4c74f | 23daf3a923d4c74f | (not run)        |
| knn-rbc/wide                 | IDENTICAL x2 | 1feee6f8805973d2 | 1feee6f8805973d2 | (not run)        |
| knn-reg-distance/base        | IDENTICAL x2 | c52330c7caf6200d | c52330c7caf6200d | (not run)        |
| knn-reg-distance/denormal    | IDENTICAL x2 | 7ca8089e55b7f464 | 7ca8089e55b7f464 | (not run)        |
| knn-reg-distance/denormal_ftz | IDENTICAL x2 | 7ca8089e55b7f464 | 7ca8089e55b7f464 | (not run)        |
| knn-reg-distance/dupes       | IDENTICAL x2 | bcaba27f35bbd28b | bcaba27f35bbd28b | (not run)        |
| knn-reg-distance/hashed      | IDENTICAL x2 | c8d6e79b6c4b3da5 | c8d6e79b6c4b3da5 | (not run)        |
| knn-reg-distance/negative    | IDENTICAL x2 | fa87cf03ee9f543b | fa87cf03ee9f543b | (not run)        |
| knn-reg-distance/odd         | IDENTICAL x2 | fa33e2cc29f115b1 | fa33e2cc29f115b1 | (not run)        |
| knn-reg-distance/ties        | IDENTICAL x2 | 084f6006e76cc290 | 084f6006e76cc290 | (not run)        |
| knn-reg-distance/wide        | IDENTICAL x2 | 13d462b4371cd9fa | 13d462b4371cd9fa | (not run)        |
| knn-reg/base                 | IDENTICAL x2 | 33e7da5c3fdd343c | 33e7da5c3fdd343c | (not run)        |
| knn-reg/denormal             | IDENTICAL x2 | 4c84ea510c9509c5 | 4c84ea510c9509c5 | (not run)        |
| knn-reg/denormal_ftz         | IDENTICAL x2 | 4c84ea510c9509c5 | 4c84ea510c9509c5 | (not run)        |
| knn-reg/dupes                | IDENTICAL x2 | 3bb71dcd3b676bd6 | 3bb71dcd3b676bd6 | (not run)        |
| knn-reg/hashed               | IDENTICAL x2 | 81f9b8890b3f8185 | 81f9b8890b3f8185 | (not run)        |
| knn-reg/negative             | IDENTICAL x2 | b34860cd7e03c8fe | b34860cd7e03c8fe | (not run)        |
| knn-reg/odd                  | IDENTICAL x2 | 4fddd38927851559 | 4fddd38927851559 | (not run)        |
| knn-reg/ties                 | IDENTICAL x2 | 556283a80ad1e387 | 556283a80ad1e387 | (not run)        |
| knn-reg/wide                 | IDENTICAL x2 | 0d128580a2408383 | 0d128580a2408383 | (not run)        |
| knn-sqeuclidean/base         | IDENTICAL x2 | 8516edaa4529c5de | 8516edaa4529c5de | (not run)        |
| knn-sqeuclidean/denormal     | IDENTICAL x2 | e911a632efe00e32 | e911a632efe00e32 | (not run)        |
| knn-sqeuclidean/denormal_ftz | IDENTICAL x2 | e911a632efe00e32 | e911a632efe00e32 | (not run)        |
| knn-sqeuclidean/dupes        | IDENTICAL x2 | b65d62b3b0dfe602 | b65d62b3b0dfe602 | (not run)        |
| knn-sqeuclidean/hashed       | IDENTICAL x2 | 6734a34e35fcd6d9 | 6734a34e35fcd6d9 | (not run)        |
| knn-sqeuclidean/negative     | IDENTICAL x2 | 34699c15e4653945 | 34699c15e4653945 | (not run)        |
| knn-sqeuclidean/odd          | IDENTICAL x2 | cf6105ee7f63dcb5 | cf6105ee7f63dcb5 | (not run)        |
| knn-sqeuclidean/ties         | IDENTICAL x2 | e1330827a49fa48c | e1330827a49fa48c | (not run)        |
| knn-sqeuclidean/wide         | IDENTICAL x2 | 614e7cc6db2c44f8 | 614e7cc6db2c44f8 | (not run)        |
| knn/base                     | IDENTICAL x2 | 6869ae45e01fcb7a | 6869ae45e01fcb7a | (not run)        |
| knn/denormal                 | IDENTICAL x2 | c5404ea40ba502da | c5404ea40ba502da | (not run)        |
| knn/denormal_ftz             | IDENTICAL x2 | c5404ea40ba502da | c5404ea40ba502da | (not run)        |
| knn/dupes                    | IDENTICAL x2 | 55dffcfe5d6aa112 | 55dffcfe5d6aa112 | (not run)        |
| knn/hashed                   | IDENTICAL x2 | 96db6b5a57d4d248 | 96db6b5a57d4d248 | (not run)        |
| knn/negative                 | IDENTICAL x2 | b73513bc451075d0 | b73513bc451075d0 | (not run)        |
| knn/odd                      | IDENTICAL x2 | f4ddd08c4744ae8d | f4ddd08c4744ae8d | (not run)        |
| knn/ties                     | IDENTICAL x2 | 23daf3a923d4c74f | 23daf3a923d4c74f | (not run)        |
| knn/wide                     | IDENTICAL x2 | 3956d623d56e1786 | 3956d623d56e1786 | (not run)        |
| kpss/base                    | IDENTICAL x2 | 36455bfad879c922 | 36455bfad879c922 | (not run)        |
| kpss/denormal                | IDENTICAL x2 | 0c9ec0cbd3fc4a07 | 0c9ec0cbd3fc4a07 | (not run)        |
| kpss/denormal_ftz            | IDENTICAL x2 | 0c9ec0cbd3fc4a07 | 0c9ec0cbd3fc4a07 | (not run)        |
| kpss/dupes                   | IDENTICAL x2 | 36455bfad879c922 | 36455bfad879c922 | (not run)        |
| kpss/hashed                  | IDENTICAL x2 | e2740931cdd962b4 | e2740931cdd962b4 | (not run)        |
| kpss/negative                | IDENTICAL x2 | 90309fb16aa854ac | 90309fb16aa854ac | (not run)        |
| kpss/odd                     | IDENTICAL x2 | 07aae613cbeaf7d1 | 07aae613cbeaf7d1 | (not run)        |
| kpss/ties                    | IDENTICAL x2 | e2af1cdd45ece5cc | e2af1cdd45ece5cc | (not run)        |
| kpss/wide                    | IDENTICAL x2 | c8c3b024d1abd609 | c8c3b024d1abd609 | (not run)        |
| lasso/base                   | IDENTICAL x2 | 2fa3301e45a46091 | 2fa3301e45a46091 | (not run)        |
| lasso/denormal               | IDENTICAL x2 | 5374b434a96382d6 | 5374b434a96382d6 | (not run)        |
| lasso/denormal_ftz           | IDENTICAL x2 | 5374b434a96382d6 | 5374b434a96382d6 | (not run)        |
| lasso/dupes                  | IDENTICAL x2 | beafb1d480c34cf4 | beafb1d480c34cf4 | (not run)        |
| lasso/hashed                 | IDENTICAL x2 | 0446105edc307f9c | 0446105edc307f9c | (not run)        |
| lasso/negative               | IDENTICAL x2 | c332c713694ff28d | c332c713694ff28d | (not run)        |
| lasso/odd                    | IDENTICAL x2 | 5593579edd6113d6 | 5593579edd6113d6 | (not run)        |
| lasso/ties                   | IDENTICAL x2 | 1e207f82f555270b | 1e207f82f555270b | (not run)        |
| lasso/wide                   | IDENTICAL x2 | d0df889b0ede05a7 | d0df889b0ede05a7 | (not run)        |
| logistic-elasticnet/base     | IDENTICAL x2 | 13d16c952886809e | 13d16c952886809e | (not run)        |
| logistic-elasticnet/denormal | IDENTICAL x2 | d057c6546ef4a432 | d057c6546ef4a432 | (not run)        |
| logistic-elasticnet/denormal_ftz | IDENTICAL x2 | d057c6546ef4a432 | d057c6546ef4a432 | (not run)        |
| logistic-elasticnet/dupes    | IDENTICAL x2 | 559ad72663917741 | 559ad72663917741 | (not run)        |
| logistic-elasticnet/hashed   | IDENTICAL x2 | 991c9b4ed18b3e9f | 991c9b4ed18b3e9f | (not run)        |
| logistic-elasticnet/negative | IDENTICAL x2 | 320589d139a22d0a | 320589d139a22d0a | (not run)        |
| logistic-elasticnet/odd      | IDENTICAL x2 | c3c78dc7813e1dd1 | c3c78dc7813e1dd1 | (not run)        |
| logistic-elasticnet/ties     | IDENTICAL x2 | d2bc706e71212b54 | d2bc706e71212b54 | (not run)        |
| logistic-elasticnet/wide     | IDENTICAL x2 | 781aa26a1678ad9b | 781aa26a1678ad9b | (not run)        |
| logistic-l1/base             | IDENTICAL x2 | 2a6077809e43f596 | 2a6077809e43f596 | (not run)        |
| logistic-l1/denormal         | IDENTICAL x2 | b03374c1e49f2ae8 | b03374c1e49f2ae8 | (not run)        |
| logistic-l1/denormal_ftz     | IDENTICAL x2 | b03374c1e49f2ae8 | b03374c1e49f2ae8 | (not run)        |
| logistic-l1/dupes            | IDENTICAL x2 | cbe1f48468aa6530 | cbe1f48468aa6530 | (not run)        |
| logistic-l1/hashed           | IDENTICAL x2 | 53ff34b79f85f58c | 53ff34b79f85f58c | (not run)        |
| logistic-l1/negative         | IDENTICAL x2 | 562da320e1cd55be | 562da320e1cd55be | (not run)        |
| logistic-l1/odd              | IDENTICAL x2 | d165146dba6f3d02 | d165146dba6f3d02 | (not run)        |
| logistic-l1/ties             | IDENTICAL x2 | 79ff5ac4492f7401 | 79ff5ac4492f7401 | (not run)        |
| logistic-l1/wide             | IDENTICAL x2 | 6f360d85f3f9f386 | 6f360d85f3f9f386 | (not run)        |
| logistic-multiclass/base     | IDENTICAL x2 | b197f3db38cd7fab | b197f3db38cd7fab | (not run)        |
| logistic-multiclass/denormal | IDENTICAL x2 | ae4add4de101fdc6 | ae4add4de101fdc6 | (not run)        |
| logistic-multiclass/denormal_ftz | IDENTICAL x2 | ae4add4de101fdc6 | ae4add4de101fdc6 | (not run)        |
| logistic-multiclass/dupes    | IDENTICAL x2 | 92b880ec6b23a858 | 92b880ec6b23a858 | (not run)        |
| logistic-multiclass/hashed   | IDENTICAL x2 | 453f615cf761f515 | 453f615cf761f515 | (not run)        |
| logistic-multiclass/negative | IDENTICAL x2 | c8b3e52326ea542d | c8b3e52326ea542d | (not run)        |
| logistic-multiclass/odd      | IDENTICAL x2 | 237ff4f174ec0bbb | 237ff4f174ec0bbb | (not run)        |
| logistic-multiclass/ties     | IDENTICAL x2 | 083b19eb8c842f52 | 083b19eb8c842f52 | (not run)        |
| logistic-multiclass/wide     | IDENTICAL x2 | d15222ad5dfec54f | d15222ad5dfec54f | (not run)        |
| logistic-unpenalized-no-intercept/base | IDENTICAL x2 | 2d680bec24348fb1 | 2d680bec24348fb1 | (not run)        |
| logistic-unpenalized-no-intercept/denormal | IDENTICAL x2 | 626de4d1000c3305 | 626de4d1000c3305 | (not run)        |
| logistic-unpenalized-no-intercept/denormal_ftz | IDENTICAL x2 | 626de4d1000c3305 | 626de4d1000c3305 | (not run)        |
| logistic-unpenalized-no-intercept/dupes | IDENTICAL x2 | 47baf3583d5b3a72 | 47baf3583d5b3a72 | (not run)        |
| logistic-unpenalized-no-intercept/hashed | IDENTICAL x2 | 568f4ba985007559 | 568f4ba985007559 | (not run)        |
| logistic-unpenalized-no-intercept/negative | IDENTICAL x2 | 214df080ade37c23 | 214df080ade37c23 | (not run)        |
| logistic-unpenalized-no-intercept/odd | IDENTICAL x2 | 4c2b1a307f3901c0 | 4c2b1a307f3901c0 | (not run)        |
| logistic-unpenalized-no-intercept/ties | IDENTICAL x2 | d033051f5a6423bc | d033051f5a6423bc | (not run)        |
| logistic-unpenalized-no-intercept/wide | IDENTICAL x2 | 4e980d6d6bb17dd2 | 4e980d6d6bb17dd2 | (not run)        |
| logistic/base                | IDENTICAL x2 | 5b1e42c308451935 | 5b1e42c308451935 | (not run)        |
| logistic/denormal            | IDENTICAL x2 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 | (not run)        |
| logistic/denormal_ftz        | IDENTICAL x2 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 | (not run)        |
| logistic/dupes               | IDENTICAL x2 | 8b3071b0cd8446b2 | 8b3071b0cd8446b2 | (not run)        |
| logistic/hashed              | IDENTICAL x2 | ec4fd3f1b3f90393 | ec4fd3f1b3f90393 | (not run)        |
| logistic/negative            | IDENTICAL x2 | b50b9cbe101d71d8 | b50b9cbe101d71d8 | (not run)        |
| logistic/odd                 | IDENTICAL x2 | 3c0d0924516a37e8 | 3c0d0924516a37e8 | (not run)        |
| logistic/ties                | IDENTICAL x2 | aa9b1fa93dc2ad08 | aa9b1fa93dc2ad08 | (not run)        |
| logistic/wide                | IDENTICAL x2 | 4e980d6d6bb17dd2 | 4e980d6d6bb17dd2 | (not run)        |
| mamba1/base                  | IDENTICAL x2 | 1609902abaf80a04 | 1609902abaf80a04 | (not run)        |
| mamba1/denormal              | IDENTICAL x2 | b7b8e653d7d0f153 | b7b8e653d7d0f153 | (not run)        |
| mamba1/denormal_ftz          | IDENTICAL x2 | b7b8e653d7d0f153 | b7b8e653d7d0f153 | (not run)        |
| mamba1/dupes                 | IDENTICAL x2 | 2ac98fad7386a721 | 2ac98fad7386a721 | (not run)        |
| mamba1/hashed                | IDENTICAL x2 | 062931419c55ee5a | 062931419c55ee5a | (not run)        |
| mamba1/negative              | IDENTICAL x2 | 0a83c66670f92b55 | 0a83c66670f92b55 | (not run)        |
| mamba1/odd                   | IDENTICAL x2 | 1609902abaf80a04 | 1609902abaf80a04 | (not run)        |
| mamba1/ties                  | IDENTICAL x2 | c821893bfb5ba46c | c821893bfb5ba46c | (not run)        |
| mamba1/wide                  | IDENTICAL x2 | 0e7b2cee60a53003 | 0e7b2cee60a53003 | (not run)        |
| mamba2-dtlimit/base          | IDENTICAL x2 | b9e7928a2a4d30cf | b9e7928a2a4d30cf | (not run)        |
| mamba2-dtlimit/denormal      | IDENTICAL x2 | 5686523944c0f4f4 | 5686523944c0f4f4 | (not run)        |
| mamba2-dtlimit/denormal_ftz  | IDENTICAL x2 | 5686523944c0f4f4 | 5686523944c0f4f4 | (not run)        |
| mamba2-dtlimit/dupes         | IDENTICAL x2 | 04cf69094de5328f | 04cf69094de5328f | (not run)        |
| mamba2-dtlimit/hashed        | IDENTICAL x2 | 6cff59b5b34681ab | 6cff59b5b34681ab | (not run)        |
| mamba2-dtlimit/negative      | IDENTICAL x2 | caba9face6653ba0 | caba9face6653ba0 | (not run)        |
| mamba2-dtlimit/odd           | IDENTICAL x2 | b9e7928a2a4d30cf | b9e7928a2a4d30cf | (not run)        |
| mamba2-dtlimit/ties          | IDENTICAL x2 | 70a5916600842982 | 70a5916600842982 | (not run)        |
| mamba2-dtlimit/wide          | IDENTICAL x2 | 911465156f47fed2 | 911465156f47fed2 | (not run)        |
| mamba2/base                  | IDENTICAL x2 | 5b05a3ecbd70248e | 5b05a3ecbd70248e | (not run)        |
| mamba2/denormal              | IDENTICAL x2 | a143926e29ac0813 | a143926e29ac0813 | (not run)        |
| mamba2/denormal_ftz          | IDENTICAL x2 | a143926e29ac0813 | a143926e29ac0813 | (not run)        |
| mamba2/dupes                 | IDENTICAL x2 | c565acd587b39ab2 | c565acd587b39ab2 | (not run)        |
| mamba2/hashed                | IDENTICAL x2 | 2689cc3187df61fd | 2689cc3187df61fd | (not run)        |
| mamba2/negative              | IDENTICAL x2 | 3506202ab66d8a1f | 3506202ab66d8a1f | (not run)        |
| mamba2/odd                   | IDENTICAL x2 | 5b05a3ecbd70248e | 5b05a3ecbd70248e | (not run)        |
| mamba2/ties                  | IDENTICAL x2 | 48a4bec7b6f6e4f6 | 48a4bec7b6f6e4f6 | (not run)        |
| mamba2/wide                  | IDENTICAL x2 | 0d1022f692c144dd | 0d1022f692c144dd | (not run)        |
| mamba3/base                  | IDENTICAL x2 | 63de4bf6b9f8262a | 63de4bf6b9f8262a | (not run)        |
| mamba3/denormal              | IDENTICAL x2 | d506465b344d39d6 | d506465b344d39d6 | (not run)        |
| mamba3/denormal_ftz          | IDENTICAL x2 | d506465b344d39d6 | d506465b344d39d6 | (not run)        |
| mamba3/dupes                 | IDENTICAL x2 | 59a1567b027ac450 | 59a1567b027ac450 | (not run)        |
| mamba3/hashed                | IDENTICAL x2 | 6535988e7df6b7c8 | 6535988e7df6b7c8 | (not run)        |
