numeric_mode IDENTICAL
incremental True rows 65537
fingerprint 6702803615629102029
warmup_ms 231.973
fingerprint 6702803615629102029
warmup_ms 224.86
fingerprint 6702803615629102029
warmup_ms 222.165
fingerprint 6702803615629102029
warmup_ms 221.846
fingerprint 6702803615629102029
warmup_ms 221.666
fingerprint 6702803615629102029
fit_ms 221.914
fingerprint 6702803615629102029
fit_ms 226.767
fingerprint 6702803615629102029
fit_ms 222.78
