numeric_mode IDENTICAL
incremental True rows 65537
fingerprint 6702803615629102029
warmup_ms 251.904
fingerprint 6702803615629102029
warmup_ms 222.121
fingerprint 6702803615629102029
warmup_ms 219.693
fingerprint 6702803615629102029
warmup_ms 220.404
fingerprint 6702803615629102029
warmup_ms 219.898
fingerprint 6702803615629102029
fit_ms 221.914
fingerprint 6702803615629102029
fit_ms 227.897
fingerprint 6702803615629102029
fit_ms 219.776
