NOTE: --lanes scopes this diff to 3 lane(s); 0 other lane(s) the JSONs carry are not compared
| lane/fixture                 | verdict    | arm64            | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       | arm64            |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| ivf-extend/odd               | batch  | ONE-COLUMN   | (not run)        | (not run)        | (not run)        | ec78ed4aa6252665 |
| ivf-extend/ties              | infer  | ONE-COLUMN   | (not run)        | (not run)        | (not run)        | ee7fa6ee3ed98541 |
| ivf-extend/ties              | model  | ONE-COLUMN   | (not run)        | (not run)        | (not run)        | 0d954140e0a9c674 |
| ivf-extend/ties              | batch  | ONE-COLUMN   | (not run)        | (not run)        | (not run)        | bf5209af86975a47 |
| ivf-extend/wide              | infer  | ONE-COLUMN   | (not run)        | (not run)        | (not run)        | c6fd06dc0c84cdd5 |
| ivf-extend/wide              | model  | ONE-COLUMN   | (not run)        | (not run)        | (not run)        | c9793933012960e5 |
| ivf-extend/wide              | batch  | ONE-COLUMN   | (not run)        | (not run)        | (not run)        | 15d08301b9a4107b |
| ivf/base                     | infer  | IDENTICAL x4 | fd6eed35b1338d17 | fd6eed35b1338d17 | fd6eed35b1338d17 | fd6eed35b1338d17 |
| ivf/base                     | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | dcfefe31adc21c6c |
| ivf/base                     | batch  | IDENTICAL x4 | 6baf3cfbde509312 | 6baf3cfbde509312 | 6baf3cfbde509312 | 6baf3cfbde509312 |
| ivf/denormal                 | infer  | IDENTICAL x4 | 3ff4c07c575048cf | 3ff4c07c575048cf | 3ff4c07c575048cf | 3ff4c07c575048cf |
| ivf/denormal                 | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | c3a1727313e23983 |
| ivf/denormal                 | batch  | IDENTICAL x4 | 45f49934c58d1518 | 45f49934c58d1518 | 45f49934c58d1518 | 45f49934c58d1518 |
| ivf/denormal_ftz             | infer  | IDENTICAL x4 | 3ff4c07c575048cf | 3ff4c07c575048cf | 3ff4c07c575048cf | 3ff4c07c575048cf |
| ivf/denormal_ftz             | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 1f2b8dd1cf726bc0 |
| ivf/denormal_ftz             | batch  | IDENTICAL x4 | 45f49934c58d1518 | 45f49934c58d1518 | 45f49934c58d1518 | 45f49934c58d1518 |
| ivf/dupes                    | infer  | IDENTICAL x4 | 4ae50eab359ba1e9 | 4ae50eab359ba1e9 | 4ae50eab359ba1e9 | 4ae50eab359ba1e9 |
| ivf/dupes                    | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 3163ed44a2b28c07 |
| ivf/dupes                    | batch  | IDENTICAL x4 | 99ec531fb8ae409f | 99ec531fb8ae409f | 99ec531fb8ae409f | 99ec531fb8ae409f |
| ivf/hashed                   | infer  | IDENTICAL x4 | 49c22df302ee0334 | 49c22df302ee0334 | 49c22df302ee0334 | 49c22df302ee0334 |
| ivf/hashed                   | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 9d809fde4ffc96cc |
| ivf/hashed                   | batch  | IDENTICAL x4 | 648bf9fc3764372d | 648bf9fc3764372d | 648bf9fc3764372d | 648bf9fc3764372d |
| ivf/negative                 | infer  | IDENTICAL x4 | 71333eccc89915b1 | 71333eccc89915b1 | 71333eccc89915b1 | 71333eccc89915b1 |
| ivf/negative                 | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | ec79d31b3169a984 |
| ivf/negative                 | batch  | IDENTICAL x4 | 9786387eb7123b42 | 9786387eb7123b42 | 9786387eb7123b42 | 9786387eb7123b42 |
| ivf/odd                      | infer  | IDENTICAL x4 | 1e0c2401db49a53d | 1e0c2401db49a53d | 1e0c2401db49a53d | 1e0c2401db49a53d |
| ivf/odd                      | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 2ab1fd5fac4563e2 |
| ivf/odd                      | batch  | IDENTICAL x4 | 8149b10d16c8ebaa | 8149b10d16c8ebaa | 8149b10d16c8ebaa | 8149b10d16c8ebaa |
