NOTE: --lanes scopes this diff to 3 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9655p-96-core-processor is a CPU column: cpu_model='AMD EPYC 9655P 96-Core Processor' column=cpu families=['_mojolearn_ivf_host', '_mojolearn_ivf_search_host'] commit=2ce48b333b8442d8994909f71d0d12d2d6418ecb
| lane/fixture                 | verdict    | arm64            | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       | arm64            | cpu-amd-epyc-9655p-96-core-processor |
|------------------------------|------------|------------------|------------------|------------------|------------------|------------------|
| ivf-extend/denormal          | batch  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 42bb0c222dffe2b7 | 75160a6a73c48e7d |
| ivf-extend/denormal_ftz      | infer  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 3da4f22de1f06f6e | a086d5c62013424e |
| ivf-extend/denormal_ftz      | model  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 4defe96aca4c8e11 | 8bb12750db9e280b |
| ivf-extend/denormal_ftz      | batch  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 42bb0c222dffe2b7 | 75160a6a73c48e7d |
| ivf-extend/dupes             | infer  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 802c8f83c4e8dddd | 1843960a9e5cc08f |
| ivf-extend/dupes             | model  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 667918778ad720e3 | 5a7f2ed4cd374971 |
| ivf-extend/dupes             | batch  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 08c451b2a76060be | c497248888bfc84e |
| ivf-extend/hashed            | infer  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 9d0f275ae985056d | e9759b600f02e586 |
| ivf-extend/hashed            | model  | DIVERGENT    | (not run)        | (not run)        | (not run)        | e96813401e1670f0 | 3d22cd2863e80797 |
| ivf-extend/hashed            | batch  | DIVERGENT    | (not run)        | (not run)        | (not run)        | a190e25ce473d410 | 27ebba6ac862d1a5 |
| ivf-extend/negative          | infer  | DIVERGENT    | (not run)        | (not run)        | (not run)        | d5badddd236f4f6f | 43af151f2d5711cc |
| ivf-extend/negative          | model  | DIVERGENT    | (not run)        | (not run)        | (not run)        | fd1e311bb478d024 | 1bd7614dfb1395e8 |
| ivf-extend/negative          | batch  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 39b741e505d5bbed | ec131acf103e4f92 |
| ivf-extend/odd               | infer  | DIVERGENT    | (not run)        | (not run)        | (not run)        | a8b712ff1a5e3ef1 | 02eb5f2f8fbc577c |
| ivf-extend/odd               | model  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 26b97c27cd22d526 | e50b43979fd7c730 |
| ivf-extend/odd               | batch  | DIVERGENT    | (not run)        | (not run)        | (not run)        | ec78ed4aa6252665 | f05e0ecd6be43436 |
| ivf-extend/ties              | infer  | DIVERGENT    | (not run)        | (not run)        | (not run)        | ee7fa6ee3ed98541 | 260c2c7c89d6308d |
| ivf-extend/ties              | model  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 0d954140e0a9c674 | ce8ea474c8a1f0ea |
| ivf-extend/ties              | batch  | DIVERGENT    | (not run)        | (not run)        | (not run)        | bf5209af86975a47 | 96cc4fcef00dc048 |
| ivf-extend/wide              | infer  | DIVERGENT    | (not run)        | (not run)        | (not run)        | c6fd06dc0c84cdd5 | 625167048479cdc8 |
| ivf-extend/wide              | model  | DIVERGENT    | (not run)        | (not run)        | (not run)        | c9793933012960e5 | b728929d9e4ffbdf |
| ivf-extend/wide              | batch  | DIVERGENT    | (not run)        | (not run)        | (not run)        | 15d08301b9a4107b | ad35c2b24be336fc |
| ivf/base                     | infer  | DIVERGENT    | fd6eed35b1338d17 | fd6eed35b1338d17 | fd6eed35b1338d17 | fd6eed35b1338d17 | c5a7211e59623bc4 |
| ivf/base                     | model  | DIVERGENT    | n/a:no-save      | n/a:no-save      | n/a:no-save      | dcfefe31adc21c6c | 8be9721baf4bc593 |
| ivf/base                     | batch  | DIVERGENT    | 6baf3cfbde509312 | 6baf3cfbde509312 | 6baf3cfbde509312 | 6baf3cfbde509312 | a83b891edd2a4f5e |
| ivf/denormal                 | infer  | DIVERGENT    | 3ff4c07c575048cf | 3ff4c07c575048cf | 3ff4c07c575048cf | 3ff4c07c575048cf | d284171e5a4de109 |
| ivf/denormal                 | model  | DIVERGENT    | n/a:no-save      | n/a:no-save      | n/a:no-save      | c3a1727313e23983 | 3bf5c4035097e768 |
