NOTE: --lanes scopes this diff to 3 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-7713-64-core-processor is a CPU column: cpu_model='AMD EPYC 7713 64-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_gp_host'] commit=a3357cd9857cd79035f25d0c5147dbe592309252
NOTE: column cpu-amd-epyc-7713-64-core-processor is a CPU column: cpu_model='AMD EPYC 7713 64-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_gp_host'] commit=a3357cd9857cd79035f25d0c5147dbe592309252
| lane/fixture                 | verdict    | cpu-amd-epyc-7713-64-core-processor | cpu-amd-epyc-7713-64-core-processor |
|------------------------------|------------|------------------|------------------|
| gpc-multiclass/negative      | model  | DIVERGENT    | dec1293907b2b18f | 0807e7254b6545c2 |
| gpc-multiclass/negative      | batch  | DIVERGENT    | 5fc9640b35c5fd5d | 440251db5e43e5fb |
| gpc-multiclass/odd           | infer  | DIVERGENT    | f57fd8a7a5d1e719 | ceb7bf7d51eb1fbf |
| gpc-multiclass/odd           | model  | DIVERGENT    | e09bd84a508af322 | 7ae72179a752276a |
| gpc-multiclass/odd           | batch  | DIVERGENT    | b117ad2778d35fd5 | 2bc42ae2be8b7db0 |
| gpc-multiclass/ties          | infer  | DIVERGENT    | 5f34edf8c694f013 | b210fbcd41874f1f |
| gpc-multiclass/ties          | model  | DIVERGENT    | 3b3ac4079026dcdb | b0094ee8b360b4c6 |
| gpc-multiclass/ties          | batch  | DIVERGENT    | f212e023f26bc35c | cb367f29dd1960dc |
| gpc-multiclass/wide          | infer  | DIVERGENT    | b3674a9463aa4f92 | 84f72782bc08b704 |
| gpc-multiclass/wide          | model  | DIVERGENT    | bde361487f19df87 | bbcaf55a6067acee |
| gpc-multiclass/wide          | batch  | DIVERGENT    | 7ad6723007e8de0c | 008706fd09eb7a42 |
| gpc/base                     | infer  | DIVERGENT    | fc0b4c2f28c2e079 | b0f8d27a5a36fe19 |
| gpc/base                     | model  | DIVERGENT    | 81b8bb9e635d8e83 | e3fac3eecd7973e1 |
| gpc/base                     | batch  | DIVERGENT    | b46f1f9043e091a8 | 93ce22166fab8be7 |
| gpc/denormal                 | infer  | DIVERGENT    | cd21375d6187b126 | 341a5578a67b2eb2 |
| gpc/denormal                 | model  | DIVERGENT    | 1ed2aed7cb4ce5f2 | 42a0eecd6a102567 |
| gpc/denormal                 | batch  | DIVERGENT    | ba78f499f85cae98 | 322b23c4462a6bf9 |
| gpc/denormal_ftz             | infer  | DIVERGENT    | cd21375d6187b126 | 341a5578a67b2eb2 |
| gpc/denormal_ftz             | model  | DIVERGENT    | b91daefb85705ccd | e758af0d58e286cc |
| gpc/denormal_ftz             | batch  | DIVERGENT    | ba78f499f85cae98 | 322b23c4462a6bf9 |
| gpc/dupes                    | infer  | DIVERGENT    | fc0b4c2f28c2e079 | b0f8d27a5a36fe19 |
| gpc/dupes                    | model  | DIVERGENT    | 81b8bb9e635d8e83 | e3fac3eecd7973e1 |
| gpc/dupes                    | batch  | DIVERGENT    | b46f1f9043e091a8 | 93ce22166fab8be7 |
| gpc/hashed                   | infer  | DIVERGENT    | 9da411da0b1e3037 | baa2a5b4d2a2993a |
| gpc/hashed                   | model  | DIVERGENT    | f4c2aca55d9362f2 | a7f2fc326ae764f3 |
| gpc/hashed                   | batch  | DIVERGENT    | 0419fbbe5d340ea4 | e18963f8acf2e5b8 |
| gpc/negative                 | infer  | DIVERGENT    | b7e320a5c79c2f12 | 234314b21d6c386b |
| gpc/negative                 | model  | DIVERGENT    | 42456472e82844f7 | 5d504c4ff89dcbe0 |
| gpc/negative                 | batch  | DIVERGENT    | c2f1bdf1ba2a74f9 | 92ee69ae75ba7931 |
| gpc/odd                      | infer  | DIVERGENT    | 1af8d13ad9045833 | 42fe4b1ff22d5fa1 |
| gpc/odd                      | model  | DIVERGENT    | d5a786c8bdd995bf | 1952421448b017aa |
| gpc/odd                      | batch  | DIVERGENT    | 1d0177239abe0a3c | 3df9c163dba531a9 |
| gpc/ties                     | infer  | DIVERGENT    | ede5baa0c8969b06 | a09e2d86b2bf3a24 |
| gpc/ties                     | model  | DIVERGENT    | 7b9bf869ad365c26 | ea0a6578a3d338e0 |
| gpc/ties                     | batch  | DIVERGENT    | c5069c7b59de4ee1 | fad0e1a75018ae42 |
| gpc/wide                     | infer  | DIVERGENT    | 209675fda33ccf51 | f236b0144d4bfb49 |
| gpc/wide                     | model  | DIVERGENT    | a3ba1f8be78a6a1e | de008a3224926493 |
| gpc/wide                     | batch  | DIVERGENT    | e8e16299ce5b249c | 32ad0b95fdbeaafe |

summary (infer/model): DIVERGENT=45, N/A=9
summary (batch): DIVERGENT=27
summary (rlpair): 
