| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-mi325x-gfx942 |
| embedding-sort/denormal      | IDENTICAL x3 | 59595db92ff1929f | 59595db92ff1929f | 59595db92ff1929f |
| embedding-sort/denormal_ftz  | IDENTICAL x3 | 34cb2f8df00e959f | 34cb2f8df00e959f | 34cb2f8df00e959f |
| embedding-sort/dupes         | IDENTICAL x3 | 7dfca2bcb83ca2c2 | 7dfca2bcb83ca2c2 | 7dfca2bcb83ca2c2 |
| embedding-sort/hashed        | IDENTICAL x3 | fe5303d0bf6e8147 | fe5303d0bf6e8147 | fe5303d0bf6e8147 |
| embedding-sort/negative      | IDENTICAL x3 | b2593a24638e509d | b2593a24638e509d | b2593a24638e509d |
| embedding-sort/odd           | IDENTICAL x3 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 |
| embedding-sort/ties          | IDENTICAL x3 | 92011ef4bbaedb43 | 92011ef4bbaedb43 | 92011ef4bbaedb43 |
| embedding-sort/wide          | IDENTICAL x3 | ff761f415109a2ba | ff761f415109a2ba | ff761f415109a2ba |
| embedding/base               | IDENTICAL x3 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 |
| embedding/denormal           | IDENTICAL x3 | 59595db92ff1929f | 59595db92ff1929f | 59595db92ff1929f |
| embedding/denormal_ftz       | IDENTICAL x3 | 34cb2f8df00e959f | 34cb2f8df00e959f | 34cb2f8df00e959f |
| embedding/dupes              | IDENTICAL x3 | 7dfca2bcb83ca2c2 | 7dfca2bcb83ca2c2 | 7dfca2bcb83ca2c2 |
| embedding/hashed             | IDENTICAL x3 | fe5303d0bf6e8147 | fe5303d0bf6e8147 | fe5303d0bf6e8147 |
| embedding/negative           | IDENTICAL x3 | b2593a24638e509d | b2593a24638e509d | b2593a24638e509d |
| embedding/odd                | IDENTICAL x3 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 |
| embedding/ties               | IDENTICAL x3 | 92011ef4bbaedb43 | 92011ef4bbaedb43 | 92011ef4bbaedb43 |
| embedding/wide               | IDENTICAL x3 | ff761f415109a2ba | ff761f415109a2ba | ff761f415109a2ba |
| gbdt-rmse/base               | IDENTICAL x3 | 3f8aef8d73be249c | 3f8aef8d73be249c | 3f8aef8d73be249c |
| gbdt-rmse/denormal           | IDENTICAL x3 | 400f099e655dc453 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-rmse/denormal_ftz       | IDENTICAL x3 | 400f099e655dc453 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-rmse/dupes              | IDENTICAL x3 | 49848bfd3c26b52e | 49848bfd3c26b52e | 49848bfd3c26b52e |
| gbdt-rmse/hashed             | IDENTICAL x3 | a89dba586c0f1ab4 | a89dba586c0f1ab4 | a89dba586c0f1ab4 |
| gbdt-rmse/negative           | IDENTICAL x3 | e54f74cdab3f29f0 | e54f74cdab3f29f0 | e54f74cdab3f29f0 |
| gbdt-rmse/odd                | IDENTICAL x3 | 7b54ca9d69e29714 | 7b54ca9d69e29714 | 7b54ca9d69e29714 |
| gbdt-rmse/ties               | IDENTICAL x3 | 88cba1574daa922e | 88cba1574daa922e | 88cba1574daa922e |
| gbdt-rmse/wide               | IDENTICAL x3 | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 | 5ea3a06d9df1d862 |
| gbdt-symmetric/base          | IDENTICAL x3 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/denormal      | IDENTICAL x3 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/denormal_ftz  | IDENTICAL x3 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/dupes         | IDENTICAL x3 | 9d55545ce5f2ac2b | 9d55545ce5f2ac2b | 9d55545ce5f2ac2b |
| gbdt-symmetric/hashed        | IDENTICAL x3 | cf3de2636433b65a | cf3de2636433b65a | cf3de2636433b65a |
| gbdt-symmetric/negative      | IDENTICAL x3 | fb9966f26639c286 | fb9966f26639c286 | fb9966f26639c286 |
| gbdt-symmetric/odd           | IDENTICAL x3 | 0836bd47530040d0 | 0836bd47530040d0 | 0836bd47530040d0 |
| gbdt-symmetric/ties          | IDENTICAL x3 | b32c469f812adf25 | b32c469f812adf25 | b32c469f812adf25 |
| gbdt-symmetric/wide          | IDENTICAL x3 | bc0084b9b1e30f87 | bc0084b9b1e30f87 | bc0084b9b1e30f87 |
| knn/base                     | IDENTICAL x3 | 6869ae45e01fcb7a | 6869ae45e01fcb7a | 6869ae45e01fcb7a |
| knn/denormal                 | IDENTICAL x3 | c5404ea40ba502da | c5404ea40ba502da | c5404ea40ba502da |
| knn/denormal_ftz             | IDENTICAL x3 | c5404ea40ba502da | c5404ea40ba502da | c5404ea40ba502da |
| knn/dupes                    | IDENTICAL x3 | 55dffcfe5d6aa112 | 55dffcfe5d6aa112 | 55dffcfe5d6aa112 |
| knn/hashed                   | IDENTICAL x3 | 96db6b5a57d4d248 | 96db6b5a57d4d248 | 96db6b5a57d4d248 |
| knn/negative                 | IDENTICAL x3 | b73513bc451075d0 | b73513bc451075d0 | b73513bc451075d0 |
| knn/odd                      | IDENTICAL x3 | f4ddd08c4744ae8d | f4ddd08c4744ae8d | f4ddd08c4744ae8d |
| knn/ties                     | IDENTICAL x3 | 23daf3a923d4c74f | 23daf3a923d4c74f | 23daf3a923d4c74f |
| knn/wide                     | IDENTICAL x3 | 3956d623d56e1786 | 3956d623d56e1786 | 3956d623d56e1786 |
| logistic/base                | IDENTICAL x3 | 5b1e42c308451935 | 5b1e42c308451935 | 5b1e42c308451935 |
| logistic/denormal            | IDENTICAL x3 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 |
| logistic/denormal_ftz        | IDENTICAL x3 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 | 6b67b6ba386c99c1 |
| logistic/dupes               | IDENTICAL x3 | 8b3071b0cd8446b2 | 8b3071b0cd8446b2 | 8b3071b0cd8446b2 |
| logistic/hashed              | IDENTICAL x3 | ec4fd3f1b3f90393 | ec4fd3f1b3f90393 | ec4fd3f1b3f90393 |
| logistic/negative            | IDENTICAL x3 | b50b9cbe101d71d8 | b50b9cbe101d71d8 | b50b9cbe101d71d8 |
| logistic/odd                 | IDENTICAL x3 | 3c0d0924516a37e8 | 3c0d0924516a37e8 | 3c0d0924516a37e8 |
| logistic/ties                | IDENTICAL x3 | aa9b1fa93dc2ad08 | aa9b1fa93dc2ad08 | aa9b1fa93dc2ad08 |
| logistic/wide                | IDENTICAL x3 | 4e980d6d6bb17dd2 | 4e980d6d6bb17dd2 | 4e980d6d6bb17dd2 |
| mamba1/base                  | IDENTICAL x3 | 1609902abaf80a04 | 1609902abaf80a04 | 1609902abaf80a04 |
| mamba1/denormal              | IDENTICAL x3 | b7b8e653d7d0f153 | b7b8e653d7d0f153 | b7b8e653d7d0f153 |
| mamba1/denormal_ftz          | IDENTICAL x3 | b7b8e653d7d0f153 | b7b8e653d7d0f153 | b7b8e653d7d0f153 |
| mamba1/dupes                 | IDENTICAL x3 | 2ac98fad7386a721 | 2ac98fad7386a721 | 2ac98fad7386a721 |
| mamba1/hashed                | IDENTICAL x3 | 062931419c55ee5a | 062931419c55ee5a | 062931419c55ee5a |
| mamba1/negative              | IDENTICAL x3 | 0a83c66670f92b55 | 0a83c66670f92b55 | 0a83c66670f92b55 |
| mamba1/odd                   | IDENTICAL x3 | 1609902abaf80a04 | 1609902abaf80a04 | 1609902abaf80a04 |
| mamba1/ties                  | IDENTICAL x3 | c821893bfb5ba46c | c821893bfb5ba46c | c821893bfb5ba46c |
| mamba1/wide                  | IDENTICAL x3 | 0e7b2cee60a53003 | 0e7b2cee60a53003 | 0e7b2cee60a53003 |
| mamba2-dtlimit/base          | IDENTICAL x3 | b9e7928a2a4d30cf | b9e7928a2a4d30cf | b9e7928a2a4d30cf |
| mamba2-dtlimit/denormal      | IDENTICAL x3 | 5686523944c0f4f4 | 5686523944c0f4f4 | 5686523944c0f4f4 |
| mamba2-dtlimit/denormal_ftz  | IDENTICAL x3 | 5686523944c0f4f4 | 5686523944c0f4f4 | 5686523944c0f4f4 |
| mamba2-dtlimit/dupes         | IDENTICAL x3 | 04cf69094de5328f | 04cf69094de5328f | 04cf69094de5328f |
| mamba2-dtlimit/hashed        | IDENTICAL x3 | 6cff59b5b34681ab | 6cff59b5b34681ab | 6cff59b5b34681ab |
| mamba2-dtlimit/negative      | IDENTICAL x3 | caba9face6653ba0 | caba9face6653ba0 | caba9face6653ba0 |
| mamba2-dtlimit/odd           | IDENTICAL x3 | b9e7928a2a4d30cf | b9e7928a2a4d30cf | b9e7928a2a4d30cf |
| mamba2-dtlimit/ties          | IDENTICAL x3 | 70a5916600842982 | 70a5916600842982 | 70a5916600842982 |
| mamba2-dtlimit/wide          | IDENTICAL x3 | 911465156f47fed2 | 911465156f47fed2 | 911465156f47fed2 |
| mamba2/base                  | IDENTICAL x3 | 5b05a3ecbd70248e | 5b05a3ecbd70248e | 5b05a3ecbd70248e |
| mamba2/denormal              | IDENTICAL x3 | a143926e29ac0813 | a143926e29ac0813 | a143926e29ac0813 |
| mamba2/denormal_ftz          | IDENTICAL x3 | a143926e29ac0813 | a143926e29ac0813 | a143926e29ac0813 |
| mamba2/dupes                 | IDENTICAL x3 | c565acd587b39ab2 | c565acd587b39ab2 | c565acd587b39ab2 |
| mamba2/hashed                | IDENTICAL x3 | 2689cc3187df61fd | 2689cc3187df61fd | 2689cc3187df61fd |
| mamba2/negative              | IDENTICAL x3 | 3506202ab66d8a1f | 3506202ab66d8a1f | 3506202ab66d8a1f |
| mamba2/odd                   | IDENTICAL x3 | 5b05a3ecbd70248e | 5b05a3ecbd70248e | 5b05a3ecbd70248e |
| mamba2/ties                  | IDENTICAL x3 | 48a4bec7b6f6e4f6 | 48a4bec7b6f6e4f6 | 48a4bec7b6f6e4f6 |
| mamba2/wide                  | IDENTICAL x3 | 0d1022f692c144dd | 0d1022f692c144dd | 0d1022f692c144dd |
| mamba3/base                  | IDENTICAL x3 | 63de4bf6b9f8262a | 63de4bf6b9f8262a | 63de4bf6b9f8262a |
| mamba3/denormal              | IDENTICAL x3 | d506465b344d39d6 | d506465b344d39d6 | d506465b344d39d6 |
| mamba3/denormal_ftz          | IDENTICAL x3 | d506465b344d39d6 | d506465b344d39d6 | d506465b344d39d6 |
| mamba3/dupes                 | IDENTICAL x3 | 59a1567b027ac450 | 59a1567b027ac450 | 59a1567b027ac450 |
| mamba3/hashed                | IDENTICAL x3 | 6535988e7df6b7c8 | 6535988e7df6b7c8 | 6535988e7df6b7c8 |
| mamba3/negative              | IDENTICAL x3 | 467cfdf1eeb3a1c6 | 467cfdf1eeb3a1c6 | 467cfdf1eeb3a1c6 |
| mamba3/odd                   | IDENTICAL x3 | 63de4bf6b9f8262a | 63de4bf6b9f8262a | 63de4bf6b9f8262a |
| mamba3/ties                  | IDENTICAL x3 | 4bad5909ae635933 | 4bad5909ae635933 | 4bad5909ae635933 |
| mamba3/wide                  | IDENTICAL x3 | 07f2064c0243e8c2 | 07f2064c0243e8c2 | 07f2064c0243e8c2 |
| mlp/base                     | IDENTICAL x3 | 3204ed07bdda3cc6 | 3204ed07bdda3cc6 | 3204ed07bdda3cc6 |
| mlp/denormal                 | IDENTICAL x3 | 9c56c5a5b7965c6f | 9c56c5a5b7965c6f | 9c56c5a5b7965c6f |
| mlp/denormal_ftz             | IDENTICAL x3 | 9c56c5a5b7965c6f | 9c56c5a5b7965c6f | 9c56c5a5b7965c6f |
| mlp/dupes                    | IDENTICAL x3 | 3204ed07bdda3cc6 | 3204ed07bdda3cc6 | 3204ed07bdda3cc6 |
| mlp/hashed                   | IDENTICAL x3 | 977a37258af573f0 | 977a37258af573f0 | 977a37258af573f0 |
| mlp/negative                 | IDENTICAL x3 | 3909a61277aad132 | 3909a61277aad132 | 3909a61277aad132 |
| mlp/odd                      | IDENTICAL x3 | 451d36242d1772be | 451d36242d1772be | 451d36242d1772be |
| mlp/ties                     | IDENTICAL x3 | 2f08d18719517d3b | 2f08d18719517d3b | 2f08d18719517d3b |
| mlp/wide                     | IDENTICAL x3 | 7d2d9a297e5f0507 | 7d2d9a297e5f0507 | 7d2d9a297e5f0507 |
| ols/base                     | IDENTICAL x3 | 3d1d7c30b12d9872 | 3d1d7c30b12d9872 | 3d1d7c30b12d9872 |
| ols/denormal                 | IDENTICAL x3 | f0e2e46f2203e17d | f0e2e46f2203e17d | f0e2e46f2203e17d |
| ols/denormal_ftz             | IDENTICAL x3 | f0e2e46f2203e17d | f0e2e46f2203e17d | f0e2e46f2203e17d |
| ols/dupes                    | IDENTICAL x3 | 5d93af9edf61d3e7 | 5d93af9edf61d3e7 | 5d93af9edf61d3e7 |
| ols/hashed                   | IDENTICAL x3 | 7a4cc4b643207e04 | 7a4cc4b643207e04 | 7a4cc4b643207e04 |
| ols/negative                 | IDENTICAL x3 | 737566e6c5e95e7d | 737566e6c5e95e7d | 737566e6c5e95e7d |
| ols/odd                      | IDENTICAL x3 | bfb2368a5a4871ba | bfb2368a5a4871ba | bfb2368a5a4871ba |
