family	verdict	rc	oracle_manifest_sha256	dump_manifest_sha256
mamba1-l64	GREEN	0	6bf3c7800daae3b55f666d1edaf9060ea9bc234cb08273c59f6dd87a20ea8442	4a3e56ae8aefb5964fbe4ba299e6b36232d10780a065dfe64bbcd5b6fc8ffeab
mamba3-l65	RED	1	e084d25ae99bd62de657efff1b852c25073e481cd5562e67f70f71a990e7127d	06ae0ddc4eaf6a7b7175c15de61e87e2be0df44a2940d7ec7520a0ea81cdf978
