smoke	fast	0
umap	fast	0
umap-transform	fast	0
umap-quality	fast	0
ordered-rmse	fast	0
mamba	fast	0
transformer	fast	1
arima	fast	0
smoke	deterministic	0
umap	deterministic	0
umap-transform	deterministic	0
umap-quality	deterministic	0
ordered-rmse	deterministic	0
mamba	deterministic	1
transformer	deterministic	1
arima	deterministic	0
smoke	identical	0
umap	identical	0
umap-transform	identical	0
umap-quality	identical	0
ordered-rmse	identical	0
mamba	identical	0
transformer	identical	1
arima	identical	0
byte-lm	identical	0
