name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	537.675	0.5001
envelope.blocks_backward	1.0	259.494	0.2413
envelope.blocks_forward	1.0	156.398	0.1455
bwd.mlp_through_oproj	12.0	119.986	0.1116
block.attention_total	12.0	98.725	0.0918
bwd.attention	12.0	91.931	0.0855
attn.core	12.0	70.416	0.0655
attn.fwd_r2_keep_kernel	12.0	68.270	0.0635
block.mlp_and_residuals	12.0	54.356	0.0506
bwd.after_attention	12.0	47.431	0.0441
attn.bwd_zdot_estash_dres_pf	12.0	33.939	0.0316
gemm.gateup_dB	24.0	33.672	nan
step.head_forward	1.0	33.539	0.0312
gemm.head_fwd	1.0	33.529	nan
step.head_backward_da	1.0	32.555	0.0303
gemm.head_dA	1.0	32.543	nan
gemm.gateup_fwd	24.0	32.118	nan
gemm.gateup_dA	24.0	32.043	nan
step.head_backward_db	1.0	31.344	0.0292
gemm.head_dB	1.0	31.338	nan
attn.bwd_dq_tiled_pf	12.0	29.897	0.0278
gemm.proj_dB	48.0	29.376	nan
attn.bwd_kvgrid_dkdv_pf	12.0	25.276	0.0235
gemm.proj_fwd	48.0	24.555	nan
gemm.proj_dA	48.0	24.467	nan
attn.qkv_proj	12.0	18.931	0.0176
gemm.down_dB	12.0	16.892	nan
grad.down_dB	12.0	16.892	0.0157
grad.gate_dB	12.0	16.858	0.0157
grad.up_dB	12.0	16.814	0.0156
fwd.down_proj	12.0	16.124	0.0150
gemm.down_fwd	12.0	16.124	nan
fwd.up_proj	12.0	16.074	0.0150
gemm.down_dA	12.0	16.057	nan
grad.down_dA	12.0	16.057	0.0149
fwd.gate_proj	12.0	16.043	0.0149
grad.gate_dA	12.0	16.029	0.0149
grad.up_dA	12.0	16.014	0.0149
step.ce_forward	1.0	8.876	0.0083
grad.q_dB	12.0	7.383	0.0069
grad.o_dB	12.0	7.381	0.0069
grad.v_dB	12.0	7.311	0.0068
grad.k_dB	12.0	7.300	0.0068
attn.o_proj	12.0	6.310	0.0059
fwd.o_proj	12.0	6.166	0.0057
grad.q_dA	12.0	6.144	0.0057
fwd.v_proj	12.0	6.135	0.0057
grad.o_dA	12.0	6.134	0.0057
fwd.k_proj	12.0	6.129	0.0057
fwd.q_proj	12.0	6.125	0.0057
grad.v_dA	12.0	6.095	0.0057
grad.k_dA	12.0	6.094	0.0057
step.ce_backward	1.0	3.858	0.0036
step.embedding_backward	1.0	3.487	0.0032
block.norm1	12.0	3.257	0.0030
attn.rope_and_cache	12.0	3.011	0.0028
attn.bwd_regime_scan	12.0	2.302	0.0021
fwd.norm2	12.0	2.296	0.0021
grad.norm2_kernels	12.0	2.281	0.0021
grad.gate_mul	12.0	2.237	0.0021
fwd.norm1	12.0	2.165	0.0020
step.validate_after_scan	1.0	2.126	0.0020
grad.norm1_kernels	12.0	2.106	0.0020
attn.fwd_regime_scan	12.0	1.818	0.0017
step.optimizer	1.0	1.719	0.0016
grad.rope	12.0	1.707	0.0016
step.ce_refuse_scan	1.0	1.369	0.0013
fwd.silu	12.0	1.070	0.0010
fwd.gate_mul	12.0	1.068	0.0010
fwd.refuse_call	12.0	0.950	0.0009
step.unpack_weights	1.0	0.916	0.0009
step.pack_grads	1.0	0.914	0.0009
grad.kv_slice	12.0	0.891	0.0008
gemm.norm_dW	24.0	0.843	nan
grad.refuse_scan	12.0	0.572	0.0005
grad.qkv_fanin	12.0	0.566	0.0005
step.validate_grads_scan	1.0	0.542	0.0005
fwd.residual1_add	12.0	0.484	0.0005
fwd.residual2_add	12.0	0.483	0.0004
grad.gateup_fanin	12.0	0.480	0.0004
grad.x_add	12.0	0.464	0.0004
grad.residual2_copy	12.0	0.456	0.0004
grad.norm2_dW	12.0	0.426	0.0004
grad.norm1_dW	12.0	0.417	0.0004
attn.bwd_corner_flag	12.0	0.320	0.0003
attn.fwd_corner_flag	12.0	0.258	0.0002
step.py_flags	1.0	0.137	0.0001
attn.bwd_scratch_alloc	12.0	0.135	0.0001
step.upload_inputs	1.0	0.125	0.0001
step.embedding_forward	1.0	0.086	0.0001
grad.silu	12.0	0.020	0.0000
grad.o_copy	12.0	0.019	0.0000
grad.residual1_add	12.0	0.019	0.0000
bwd.before_attention	12.0	0.018	0.0000
step.loss_download	1.0	0.018	0.0000
step.bind_publish	1.0	0.013	0.0000
step.bind_final_sync	1.0	0.002	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 1075.192 ms a shard; gemm.* 323.558 ms a shard
