step	shard	want_f32_hex	got_f32_hex	verdict	seconds	ids_sha256
2001	46	40839f66	40839f66	PASS	84.82	ab8e0275ccd0ef0a753c68100c0546bdde51175f93d9c6d7a7c531c5acc644fa
2001	47	406cd716	406cd716	PASS	89.16	743b3033400e9d6a4be49b03713c5efee83b4b008afc8f3c03ddc96535e67ba4
2001	48	405fadbe	405fadbe	PASS	97.11	44c57d22d434a7be009a059afeb3ae84ec3b59a83ec81b3d6fc0f7b3b937fba3
2001	49	40665514	40665514	PASS	86.42	e9912638ac2fdce6878248f7e36c99dfe521a6fda97e1bd5ab3033301bb41943
2001	50	4058529e	4058529e	PASS	76.33	a4716f88e60a2953c69797a4922fb57a4b1e4d235d1116c4b6a2650eb953a4cd
2001	51	406a867a	406a867a	PASS	102.74	a620ae812ddb461326c552fb47c172a785fae9912561f38c2441b3a4dc1d5313
2001	52	406bfa9b	406bfa9b	PASS	92.14	cdcedb1828d79a32677aa2b61ccdf6ecaa447e830f490779177f9d6c0dbfd890
2001	53	407445b3	407445b3	PASS	87.18	66b647072f0e8b644543b3d27705c03cf65b747a082c15b997ff31b751c54c3e
2001	54	40580561	40580561	PASS	69.13	9b803be908cecf90e3c301077abd023e5d4cd7d6c0ec14489d45aea7ecadade9
2001	55	40624b2c	40624b2c	PASS	100.6	0f23ee8735cfde344e06d89bf457e4763577d978b910db3e9b319ae1278d73f4
2001	56	4064d166	4064d166	PASS	92.17	054ef6f80c72967a95142c1ab54c2f5d20b3310518124199743dfc96d20f8762
2001	57	406b04ca	406b04ca	PASS	96.03	3fea41ae8aa1eefdc84b4d32de03cb991c8a8158275adcd8c15da30c723f65f0
2001	58	40663168	40663168	PASS	83.68	4e0a2f8cfe1c983385422508573e2733a7e0d1c16bf72bb124b12eea63c3d4d9
2001	59	4049f390	4049f390	PASS	90.85	51c69fac89c959261c84ea217cb57a17f617faae2949b13acc1dc25e7669ab45
2001	60	406ce436	406ce436	PASS	90.38	f5cc873e21ffdfdfada8bd7d7d64df5801f74d05776cac3b9cc3140e7f84e49c
2001	61	4052e57e	4052e57e	PASS	87.25	61c242536dc0f9f95c618145ae741add62dca92712829c5270cc8cccde14e59f
2001	62	40554db6	40554db6	PASS	79.74	30d79e9535e0e7071114df1a315ff332546cdc2070678670d061131e54a2c98c
2001	63	40586b96	40586b96	PASS	42.84	eabf6d0c48b5a4904e10acbbc0ae2b1e45891f11287dbec02181c74ece1d3f6e
