"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"extratrees_ported_decisiontree6A6A6A6A_04434e2786233cb9",286,8794535562,30750124.342657,51.67,3835449,342539143,63494565.267007
"extratrees_ported_decisiontree6A6A6A6A_4ebbbad78e59a0b7",474,8089308699,17066052.107595,47.53,6639,336390773,48385804.663905
"extratrees_ported_decisiontree6A6A6A6A_2d5f8fe95fb9641d",286,24633036,86129.496503,0.1447,12960,97078,15143.417851
"__amd_rocclr_copyBuffer",5250,23283505,4434.953333,0.1368,1680,37599,1130.261458
"extratrees_ported_decisiontree6A6A6A6A_f054e513a6aceab4",286,22430349,78427.793706,0.1318,13760,702066,89577.031486
"extratrees_ported_decisiontree6A6A6A6A_bbd1706c651b6f7a",286,21078842,73702.244755,0.1238,13120,631468,77191.491639
"extratrees_ported_decisiontree6A6A6A6A_329a4e6d705a998a",286,12500013,43706.339161,0.0734,26400,48559,3852.002338
"extratrees_ported_decisiontree6A6A6A6A_1bfb8113fef77e16",286,7235380,25298.531469,0.0425,5040,273035,43770.592994
"__amd_rocclr_fillBufferAligned",1054,5340805,5067.177419,0.0314,4079,27280,2364.704740
"extratrees_ported_decisiontree6A6A6A6A_cb09cb9121de6afc",286,3942797,13786.003497,0.0232,4120,70559,12393.631332
"extratrees_ported_decisiontree6A6A6A6A_b885a1ff67cfa1f5",474,3351314,7070.282700,0.0197,4080,24400,2933.546154
"extratrees_ported_decisiontree6A6A6A6A_2b79237f263b504f",2,2819147,1409573.500000,0.0166,1176858,1642289,329109.416274
"extratrees_ported_decisiontree6A6A6A6A_5aee4290147ac7a3",474,2211524,4665.662447,0.0130,3920,4920,120.932599
"extratrees_ported_decisiontree6A6A6A6A_1b00ae08b1b84291",286,1675386,5857.993007,9.843e-03,4519,25560,3354.339374
"extratrees_ported_decisiontree6A6A6A6A_dd94670477df3753",474,1636340,3452.194093,9.614e-03,1280,7920,1289.170651
"extratrees_ported_decisiontree6A6A6A6A_f398b0b9c9cfa517",286,1565208,5472.755245,9.196e-03,4600,17599,2722.234984
"extratrees_ported_decisiontree6A6A6A6A_b93721a4549bd7fc",286,1518638,5309.923077,8.922e-03,4160,17120,1701.611684
"extratrees_ported_decisiontree6A6A6A6A_11c9649934bf8c9c",286,1407993,4923.052448,8.272e-03,4639,6278,245.618219
"extratrees_ported_decisiontree6A6A6A6A_7629de937fd59af7",2,387793,193896.500000,2.278e-03,131838,255955,87763.972361
