EXPECTED FAIL extra sticky count
MATCH old 57 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 58 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 59 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 60 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 61 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 62 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 63 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 64 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 65 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 66 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 67 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 68 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 69 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 70 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 71 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 72 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 73 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 74 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 75 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 76 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 77 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 78 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 79 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 80 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 81 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 82 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 83 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 84 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 85 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 86 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 87 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 88 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 89 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 90 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
