family	verdict	rc	oracle_manifest_sha256	dump_manifest_sha256
mamba1-l64	GREEN	0	b963baa7c8539e0f0a673abb2c25ca50dbd291080935a19d862f538085922dd5	4a3e56ae8aefb5964fbe4ba299e6b36232d10780a065dfe64bbcd5b6fc8ffeab
mamba3-l65	GREEN	0	f745bb028f37e2fd4e2306f80ed0659f0a36734516412dc1977849a38cc3167b	3782cd0f68449149de2809e1f83667206935ffee4db7888aa3a067e22d86fa25
