timers-baseline	attn.bwd_corner_flag	0.292	12
timers-baseline	attn.bwd_dkdv	116.014	12
timers-baseline	attn.bwd_dq	90.435	12
timers-baseline	attn.bwd_regime_scan	1.577	12
timers-baseline	attn.bwd_zdot	52.296	12
timers-baseline	attn.fwd_corner_flag	0.342	16
timers-baseline	attn.fwd_kernel	107.598	16
timers-baseline	attn.fwd_regime_scan	1.701	16
timers-bwd_stash	attn.bwd_corner_flag	0.320	12
timers-bwd_stash	attn.bwd_dkdv	58.083	6
timers-bwd_stash	attn.bwd_dkdv_stash	24.211	6
timers-bwd_stash	attn.bwd_dq	45.279	6
timers-bwd_stash	attn.bwd_dq_stash	15.522	6
timers-bwd_stash	attn.bwd_regime_scan	1.531	12
timers-bwd_stash	attn.bwd_scratch_alloc	0.241	6
timers-bwd_stash	attn.bwd_zdot	26.169	6
timers-bwd_stash	attn.bwd_zdot_stash	44.762	6
timers-bwd_stash	attn.fwd_corner_flag	0.365	16
timers-bwd_stash	attn.fwd_kernel	106.957	16
timers-bwd_stash	attn.fwd_regime_scan	1.683	16
timers-bwd_stash_tiled	attn.bwd_corner_flag	0.318	12
timers-bwd_stash_tiled	attn.bwd_dkdv	58.128	6
timers-bwd_stash_tiled	attn.bwd_dkdv_tiled	9.390	6
timers-bwd_stash_tiled	attn.bwd_dq	45.311	6
timers-bwd_stash_tiled	attn.bwd_dq_tiled	7.762	6
timers-bwd_stash_tiled	attn.bwd_regime_scan	1.527	12
timers-bwd_stash_tiled	attn.bwd_scratch_alloc	0.242	6
timers-bwd_stash_tiled	attn.bwd_zdot	26.201	6
timers-bwd_stash_tiled	attn.bwd_zdot_stash	44.714	6
timers-bwd_stash_tiled	attn.fwd_corner_flag	0.375	16
timers-bwd_stash_tiled	attn.fwd_kernel	107.267	16
timers-bwd_stash_tiled	attn.fwd_regime_scan	1.705	16
timers-fwd_sstash	attn.bwd_corner_flag	0.245	12
timers-fwd_sstash	attn.bwd_dkdv	115.951	12
timers-fwd_sstash	attn.bwd_dq	90.451	12
timers-fwd_sstash	attn.bwd_regime_scan	1.515	12
timers-fwd_sstash	attn.bwd_zdot	52.221	12
timers-fwd_sstash	attn.fwd_corner_flag	0.339	16
timers-fwd_sstash	attn.fwd_kernel	53.718	8
timers-fwd_sstash	attn.fwd_regime_scan	1.650	16
timers-fwd_sstash	attn.fwd_scratch_alloc	0.098	8
timers-fwd_sstash	attn.fwd_sstash_kernel	24.424	8
timers-stash_tiled	attn.bwd_corner_flag	0.295	12
timers-stash_tiled	attn.bwd_dkdv	58.072	6
timers-stash_tiled	attn.bwd_dkdv_tiled	9.341	6
timers-stash_tiled	attn.bwd_dq	45.289	6
timers-stash_tiled	attn.bwd_dq_tiled	7.739	6
timers-stash_tiled	attn.bwd_regime_scan	1.508	12
timers-stash_tiled	attn.bwd_scratch_alloc	0.230	6
timers-stash_tiled	attn.bwd_zdot	26.184	6
timers-stash_tiled	attn.bwd_zdot_stash	44.653	6
timers-stash_tiled	attn.fwd_corner_flag	0.339	16
timers-stash_tiled	attn.fwd_kernel	53.614	8
timers-stash_tiled	attn.fwd_regime_scan	1.639	16
timers-stash_tiled	attn.fwd_scratch_alloc	0.101	8
timers-stash_tiled	attn.fwd_sstash_kernel	24.453	8
