family	verdict	rc	oracle_manifest_sha256	dump_manifest_sha256
mamba1-l64	GREEN	0	6bf3c7800daae3b55f666d1edaf9060ea9bc234cb08273c59f6dd87a20ea8442	4a3e56ae8aefb5964fbe4ba299e6b36232d10780a065dfe64bbcd5b6fc8ffeab
mamba3-l65	RED	1	cf576311fa118f04998c0aff5e5744c4ddfb9c99e2b9564c120270563194050d	missing
