# DEVIATION 2630 step breakdown; ms per step, median over the timed steps
# gpu: ============================ ROCm System Management Interface ============================ | ============================== Version of System Component =============================== | Driver version: 6.16.13 | ========================================================================================== | ====================================== Product Info ====================================== | GPU[0]		: Card Series: 		AMD Instinct MI300X VF | GPU[0]		: Card Model: 		0x74b5 | GPU[0]		: Card Vendor: 		Advanced Micro Devices, Inc. [AMD/ATI] | GPU[0]		: Card SKU: 		M3000108 | GPU[0]		: Subsystem ID: 	0x74a1 | GPU[0]		: Device Rev: 		0x00 | GPU[0]		: Node ID: 		1 | GPU[0]		: GUID: 		46235 | GPU[0]		: GFX Version: 		gfx942 | ========================================================================================== | ================================== End of ROCm SMI Log ===================================
# host: model name	: Intel(R) Xeon(R) Platinum 8462Y+ | nproc=2 | 6.8.0-124-generic
corpus	kind	component	parent	depth	ms_per_step_median	share_of_envelope	lines_per_step	launches_per_step	syncs_per_step	note
enwik8	parent	envelope.native_call		0	694.911	1.0000	1			
enwik8	leaf	step.bind_scalar_admission	envelope.native_call	1	0.005	0.0000	1			
enwik8	leaf	step.upload_inputs	envelope.native_call	1	0.168	0.0002	1			
enwik8	leaf	step.unpack_weights	envelope.native_call	1	0.732	0.0011	1			
enwik8	leaf	step.embedding_forward	envelope.native_call	1	0.058	0.0001	1			
enwik8	parent	envelope.blocks_forward	envelope.native_call	1	171.610	0.2470	1			
enwik8	parent	block.norm1	envelope.blocks_forward	2	4.751	0.0068	12			
enwik8	leaf	fwd.refuse_call	block.norm1	3	0.886	0.0013	12	24.0	24.0	
enwik8	leaf	fwd.norm1	block.norm1	3	3.776	0.0054	12	12.0	0.0	
enwik8	remainder	remainder:block.norm1	block.norm1	3	0.083	0.0001				parent minus its children per step, then the median
enwik8	parent	block.attention_total	envelope.blocks_forward	2	70.455	0.1014	12			
enwik8	parent	attn.qkv_proj	block.attention_total	3	31.853	0.0458	12			
enwik8	leaf	fwd.q_proj	attn.qkv_proj	4	10.532	0.0152	12	12.0	0.0	
enwik8	leaf	fwd.k_proj	attn.qkv_proj	4	10.416	0.0150	12	12.0	0.0	
enwik8	leaf	fwd.v_proj	attn.qkv_proj	4	10.652	0.0153	12	12.0	0.0	
enwik8	remainder	remainder:attn.qkv_proj	attn.qkv_proj	4	0.196	0.0003				parent minus its children per step, then the median
enwik8	leaf	attn.rope_and_cache	block.attention_total	3	0.770	0.0011	12			
enwik8	parent	attn.core	block.attention_total	3	27.354	0.0394	12			
enwik8	leaf	attn.fwd_corner_flag	attn.core	4	0.506	0.0007	12			
enwik8	leaf	attn.fwd_r2_keep_kernel	attn.core	4	24.674	0.0355	12			
enwik8	leaf	attn.fwd_regime_scan	attn.core	4	2.027	0.0029	12			
enwik8	remainder	remainder:attn.core	attn.core	4	0.157	0.0002				parent minus its children per step, then the median
enwik8	parent	attn.o_proj	block.attention_total	3	10.452	0.0150	12			
enwik8	leaf	fwd.o_proj	attn.o_proj	4	10.367	0.0149	12	12.0	0.0	
enwik8	remainder	remainder:attn.o_proj	attn.o_proj	4	0.088	0.0001				parent minus its children per step, then the median
enwik8	remainder	remainder:block.attention_total	block.attention_total	3	0.030	0.0000				parent minus its children per step, then the median
enwik8	parent	block.mlp_and_residuals	envelope.blocks_forward	2	96.345	0.1386	12			
enwik8	leaf	fwd.residual1_add	block.mlp_and_residuals	3	0.236	0.0003	12	12.0	0.0	
enwik8	leaf	fwd.norm2	block.mlp_and_residuals	3	3.642	0.0052	12	12.0	0.0	
enwik8	leaf	fwd.gate_proj	block.mlp_and_residuals	3	31.044	0.0447	12	0.0	0.0	
enwik8	leaf	fwd.up_proj	block.mlp_and_residuals	3	31.284	0.0450	12	0.0	0.0	
enwik8	leaf	fwd.silu	block.mlp_and_residuals	3	0.378	0.0005	12	12.0	0.0	
enwik8	leaf	fwd.gate_mul	block.mlp_and_residuals	3	0.357	0.0005	12	12.0	0.0	
enwik8	leaf	fwd.down_proj	block.mlp_and_residuals	3	28.788	0.0414	12	12.0	0.0	
enwik8	leaf	fwd.residual2_add	block.mlp_and_residuals	3	0.235	0.0003	12	12.0	0.0	
enwik8	remainder	remainder:block.mlp_and_residuals	block.mlp_and_residuals	3	0.380	0.0005				parent minus its children per step, then the median
enwik8	remainder	remainder:envelope.blocks_forward	envelope.blocks_forward	2	0.029	0.0000				parent minus its children per step, then the median
enwik8	leaf	step.head_forward	envelope.native_call	1	56.899	0.0819	1			
enwik8	leaf	step.ce_refuse_scan	envelope.native_call	1	0.431	0.0006	1			
enwik8	leaf	step.ce_forward	envelope.native_call	1	1.493	0.0021	1			
enwik8	leaf	step.loss_download	envelope.native_call	1	0.036	0.0001	1			
enwik8	leaf	step.ce_backward	envelope.native_call	1	0.718	0.0010	1			
enwik8	leaf	step.head_backward_da	envelope.native_call	1	57.038	0.0821	1			
enwik8	leaf	step.head_backward_db	envelope.native_call	1	59.119	0.0851	1			
enwik8	parent	envelope.blocks_backward	envelope.native_call	1	333.102	0.4793	1			
enwik8	parent	bwd.mlp_through_oproj	envelope.blocks_backward	2	200.253	0.2882	12	252.0	24.0	
enwik8	leaf	grad.refuse_scan	bwd.mlp_through_oproj	3	0.520	0.0007	12	12.0	12.0	
enwik8	leaf	grad.residual2_copy	bwd.mlp_through_oproj	3	0.327	0.0005	12	24.0	0.0	
enwik8	leaf	grad.down_dA	bwd.mlp_through_oproj	3	31.037	0.0447	12	0.0	0.0	
enwik8	leaf	grad.down_dB	bwd.mlp_through_oproj	3	28.563	0.0411	12	12.0	0.0	
enwik8	leaf	grad.gate_mul	bwd.mlp_through_oproj	3	0.598	0.0009	12	24.0	0.0	
enwik8	leaf	grad.silu	bwd.mlp_through_oproj	3	0.429	0.0006	12	12.0	0.0	
enwik8	leaf	grad.gate_dB	bwd.mlp_through_oproj	3	28.483	0.0410	12	12.0	0.0	
enwik8	leaf	grad.up_dB	bwd.mlp_through_oproj	3	28.305	0.0407	12	12.0	0.0	
enwik8	leaf	grad.gate_dA	bwd.mlp_through_oproj	3	28.620	0.0412	12	12.0	0.0	
enwik8	leaf	grad.up_dA	bwd.mlp_through_oproj	3	28.568	0.0411	12	12.0	0.0	
enwik8	leaf	grad.gateup_fanin	bwd.mlp_through_oproj	3	0.243	0.0003	12	12.0	0.0	
enwik8	leaf	grad.norm2_kernels	bwd.mlp_through_oproj	3	1.828	0.0026	12	36.0	0.0	
enwik8	leaf	grad.norm2_dW	bwd.mlp_through_oproj	3	0.874	0.0013	12	24.0	12.0	
enwik8	leaf	grad.residual1_add	bwd.mlp_through_oproj	3	0.228	0.0003	12	12.0	0.0	
enwik8	leaf	grad.o_copy	bwd.mlp_through_oproj	3	0.227	0.0003	12	12.0	0.0	
enwik8	leaf	grad.o_dA	bwd.mlp_through_oproj	3	10.408	0.0150	12	12.0	0.0	
enwik8	leaf	grad.o_dB	bwd.mlp_through_oproj	3	10.214	0.0147	12	12.0	0.0	
enwik8	remainder	remainder:bwd.mlp_through_oproj	bwd.mlp_through_oproj	3	0.800	0.0012				parent minus its children per step, then the median
enwik8	leaf	bwd.before_attention	envelope.blocks_backward	2	0.007	0.0000	12			
enwik8	parent	bwd.attention	envelope.blocks_backward	2	65.392	0.0941	12			
enwik8	leaf	attn.bwd_corner_flag	bwd.attention	3	0.682	0.0010	12			
enwik8	leaf	attn.bwd_dq_tiled_pf	bwd.attention	3	27.540	0.0396	12			
enwik8	leaf	attn.bwd_kvgrid_dkdv_pf	bwd.attention	3	21.354	0.0307	12			
enwik8	leaf	attn.bwd_regime_scan	bwd.attention	3	2.630	0.0038	12			
enwik8	leaf	attn.bwd_scratch_alloc	bwd.attention	3	0.208	0.0003	12			
enwik8	leaf	attn.bwd_zdot_estash_dres_pf	bwd.attention	3	12.847	0.0185	12			
enwik8	remainder	remainder:bwd.attention	bwd.attention	3	0.153	0.0002				parent minus its children per step, then the median
enwik8	parent	bwd.after_attention	envelope.blocks_backward	2	67.326	0.0969	12			
enwik8	leaf	grad.kv_slice	bwd.after_attention	3	0.371	0.0005	12	24.0	0.0	
enwik8	leaf	grad.rope	bwd.after_attention	3	0.405	0.0006	12	24.0	0.0	
enwik8	leaf	grad.q_dB	bwd.after_attention	3	10.450	0.0150	12	12.0	0.0	
enwik8	leaf	grad.k_dB	bwd.after_attention	3	10.091	0.0145	12	12.0	0.0	
enwik8	leaf	grad.v_dB	bwd.after_attention	3	10.280	0.0148	12	12.0	0.0	
enwik8	leaf	grad.q_dA	bwd.after_attention	3	10.574	0.0152	12	12.0	0.0	
enwik8	leaf	grad.k_dA	bwd.after_attention	3	10.697	0.0154	12	12.0	0.0	
enwik8	leaf	grad.v_dA	bwd.after_attention	3	10.634	0.0153	12	12.0	0.0	
enwik8	leaf	grad.qkv_fanin	bwd.after_attention	3	0.248	0.0004	12	12.0	0.0	
enwik8	leaf	grad.norm1_kernels	bwd.after_attention	3	1.851	0.0027	12	36.0	0.0	
enwik8	leaf	grad.norm1_dW	bwd.after_attention	3	0.879	0.0013	12	24.0	12.0	
enwik8	leaf	grad.x_add	bwd.after_attention	3	0.233	0.0003	12	12.0	0.0	
enwik8	remainder	remainder:bwd.after_attention	bwd.after_attention	3	0.580	0.0008				parent minus its children per step, then the median
enwik8	remainder	remainder:envelope.blocks_backward	envelope.blocks_backward	2	0.070	0.0001				parent minus its children per step, then the median
enwik8	leaf	step.embedding_backward	envelope.native_call	1	7.784	0.0112	1			
enwik8	leaf	step.pack_grads	envelope.native_call	1	0.695	0.0010	1			
enwik8	leaf	step.validate_grads_scan	envelope.native_call	1	0.577	0.0008	1			
enwik8	leaf	step.optimizer	envelope.native_call	1	1.686	0.0024	1			
enwik8	leaf	step.validate_after_scan	envelope.native_call	1	2.528	0.0036	1			
enwik8	leaf	step.bind_final_sync	envelope.native_call	1	0.001	0.0000	1			
enwik8	leaf	step.bind_publish	envelope.native_call	1	0.009	0.0000	1			
enwik8	remainder	remainder:envelope.native_call	envelope.native_call	1	0.218	0.0003				parent minus its children per step, then the median
enwik8	category	gemm (every GEMM call, head and RMSNorm weight gradients included)	envelope.native_call	1	564.861	0.8129				leaves summed per step, then the median
enwik8	category	attention kernels (fused launchers, regime scans, corner flags)	envelope.native_call	1	92.495	0.1331				leaves summed per step, then the median
enwik8	category	embedding forward and backward	envelope.native_call	1	7.843	0.0113				leaves summed per step, then the median
enwik8	category	rmsnorm forward	envelope.native_call	1	7.418	0.0107				leaves summed per step, then the median
enwik8	category	refusal and validation scans	envelope.native_call	1	4.937	0.0071				leaves summed per step, then the median
enwik8	category	rmsnorm backward kernels (weight gradient GEMM under gemm)	envelope.native_call	1	3.675	0.0053				leaves summed per step, then the median
enwik8	category	remainders (timer prints, host work between ticks, untimed code)	envelope.native_call	1	2.795	0.0040				leaves summed per step, then the median
enwik8	category	logits softmax and cross entropy, forward and backward, loss readback	envelope.native_call	1	2.254	0.0032				leaves summed per step, then the median
enwik8	category	residual adds, copies and fan-in adds	envelope.native_call	1	1.981	0.0029				leaves summed per step, then the median
enwik8	category	adamw update and its shadow copy	envelope.native_call	1	1.686	0.0024				leaves summed per step, then the median
enwik8	category	ids upload, weight unpack and gradient pack copies	envelope.native_call	1	1.598	0.0023				leaves summed per step, then the median
enwik8	category	attention rope and kv cache	envelope.native_call	1	1.551	0.0022				leaves summed per step, then the median
enwik8	category	swiglu activation backward (gate product, silu)	envelope.native_call	1	1.027	0.0015				leaves summed per step, then the median
enwik8	category	swiglu activation forward (silu, gate product)	envelope.native_call	1	0.736	0.0011				leaves summed per step, then the median
enwik8	category	binding admission, final wait and publish	envelope.native_call	1	0.015	0.0000				leaves summed per step, then the median
enwik8	gemm	gemm.down_dA	(cross-cut)		31.037	0.0447	12	0.0	0.0	calls per step = lines_per_step; ms per call 2.586
enwik8	gemm	gemm.down_dB	(cross-cut)		28.563	0.0411	12	12.0	0.0	calls per step = lines_per_step; ms per call 2.380
enwik8	gemm	gemm.down_fwd	(cross-cut)		28.788	0.0414	12	12.0	0.0	calls per step = lines_per_step; ms per call 2.399
enwik8	gemm	gemm.gateup_dA	(cross-cut)		57.168	0.0823	24	24.0	0.0	calls per step = lines_per_step; ms per call 2.382
enwik8	gemm	gemm.gateup_dB	(cross-cut)		56.788	0.0817	24	24.0	0.0	calls per step = lines_per_step; ms per call 2.366
enwik8	gemm	gemm.gateup_fwd	(cross-cut)		62.300	0.0897	24	0.0	0.0	calls per step = lines_per_step; ms per call 2.596
enwik8	gemm	gemm.head_dA	(cross-cut)		57.030	0.0821	1	1.0	0.0	calls per step = lines_per_step; ms per call 57.030
enwik8	gemm	gemm.head_dB	(cross-cut)		59.116	0.0851	1	0.0	0.0	calls per step = lines_per_step; ms per call 59.116
enwik8	gemm	gemm.head_fwd	(cross-cut)		56.892	0.0819	1	0.0	0.0	calls per step = lines_per_step; ms per call 56.892
enwik8	gemm	gemm.norm_dW	(cross-cut)		1.755	0.0025	24	48.0	24.0	calls per step = lines_per_step; ms per call 0.073
enwik8	gemm	gemm.proj_dA	(cross-cut)		42.316	0.0609	48	48.0	0.0	calls per step = lines_per_step; ms per call 0.882
enwik8	gemm	gemm.proj_dB	(cross-cut)		41.040	0.0591	48	48.0	0.0	calls per step = lines_per_step; ms per call 0.855
enwik8	gemm	gemm.proj_fwd	(cross-cut)		42.029	0.0605	48	48.0	0.0	calls per step = lines_per_step; ms per call 0.876
enwik8	gemm	gemm.total	(cross-cut)		564.843	0.8128				every gemm.* line per step
enwik8	count	count.copies_d2d						24.0		per native step
enwik8	count	count.copies_d2h						154.0		per native step
enwik8	count	count.copies_h2d						2.0		per native step
enwik8	count	count.device_allocs						193.0		per native step
enwik8	count	count.host_allocs						151.0		per native step
enwik8	count	count.launches						870.0		per native step
enwik8	count	count.native_steps						1.0		per native step
enwik8	count	count.synchronizes						594.0		per native step
enwik8	untreed	step.py_flags			0.095	0.0001	1			not a node of the tree (outside the envelope or unknown)
enwik8	untreed	step.py_tokens			0.181	0.0003	1			not a node of the tree (outside the envelope or unknown)
enwik8	lean	lean.shipped_build			687.970	0.9900				steady median, shipped build, untimed (THE price)
