# DEVIATION 2630 step breakdown; ms per step, median over the timed steps
# gpu: NVIDIA H100 80GB HBM3, 580.126.09, 81559 MiB, 9.0, 5, 16, 700.00 W, 32, 1980 MHz, GPU-b5faf4a8-781a-adb5-c982-6d3168359751
# host: model name	: Intel(R) Xeon(R) Platinum 8480+ | nproc=2 | 6.8.0-106-generic
corpus	kind	component	parent	depth	ms_per_step_median	share_of_envelope	lines_per_step	launches_per_step	syncs_per_step	note
enwik8	parent	envelope.native_call		0	214.422	1.0000	1			
enwik8	leaf	step.bind_scalar_admission	envelope.native_call	1	0.010	0.0000	1			
enwik8	leaf	step.upload_inputs	envelope.native_call	1	0.177	0.0008	1			
enwik8	leaf	step.unpack_weights	envelope.native_call	1	0.943	0.0044	1			
enwik8	leaf	step.embedding_forward	envelope.native_call	1	0.056	0.0003	1			
enwik8	parent	envelope.blocks_forward	envelope.native_call	1	58.830	0.2744	1			
enwik8	parent	block.norm1	envelope.blocks_forward	2	2.256	0.0105	12			
enwik8	leaf	fwd.refuse_call	block.norm1	3	0.594	0.0028	12	24.0	24.0	
enwik8	leaf	fwd.norm1	block.norm1	3	1.527	0.0071	12	12.0	0.0	
enwik8	remainder	remainder:block.norm1	block.norm1	3	0.135	0.0006				parent minus its children per step, then the median
enwik8	parent	block.attention_total	envelope.blocks_forward	2	36.429	0.1699	12			
enwik8	parent	attn.qkv_proj	block.attention_total	3	9.450	0.0441	12			
enwik8	leaf	fwd.q_proj	attn.qkv_proj	4	3.032	0.0141	12	12.0	0.0	
enwik8	leaf	fwd.k_proj	attn.qkv_proj	4	3.058	0.0143	12	12.0	0.0	
enwik8	leaf	fwd.v_proj	attn.qkv_proj	4	3.058	0.0143	12	12.0	0.0	
enwik8	remainder	remainder:attn.qkv_proj	attn.qkv_proj	4	0.305	0.0014				parent minus its children per step, then the median
enwik8	leaf	attn.rope_and_cache	block.attention_total	3	1.112	0.0052	12			
enwik8	parent	attn.core	block.attention_total	3	22.575	0.1053	12			
enwik8	leaf	attn.fwd_corner_flag	attn.core	4	0.268	0.0012	12			
enwik8	leaf	attn.fwd_r2_keep_kernel	attn.core	4	21.052	0.0982	12			
enwik8	leaf	attn.fwd_regime_scan	attn.core	4	1.189	0.0055	12			
enwik8	remainder	remainder:attn.core	attn.core	4	0.065	0.0003				parent minus its children per step, then the median
enwik8	parent	attn.o_proj	block.attention_total	3	3.238	0.0151	12			
enwik8	leaf	fwd.o_proj	attn.o_proj	4	3.097	0.0144	12	12.0	0.0	
enwik8	remainder	remainder:attn.o_proj	attn.o_proj	4	0.141	0.0007				parent minus its children per step, then the median
enwik8	remainder	remainder:block.attention_total	block.attention_total	3	0.054	0.0003				parent minus its children per step, then the median
enwik8	parent	block.mlp_and_residuals	envelope.blocks_forward	2	20.110	0.0938	12			
enwik8	leaf	fwd.residual1_add	block.mlp_and_residuals	3	0.202	0.0009	12	12.0	0.0	
enwik8	leaf	fwd.norm2	block.mlp_and_residuals	3	1.536	0.0072	12	12.0	0.0	
enwik8	leaf	fwd.gate_proj	block.mlp_and_residuals	3	5.293	0.0247	12	0.0	0.0	
enwik8	leaf	fwd.up_proj	block.mlp_and_residuals	3	5.351	0.0250	12	0.0	0.0	
enwik8	leaf	fwd.silu	block.mlp_and_residuals	3	0.356	0.0017	12	12.0	0.0	
enwik8	leaf	fwd.gate_mul	block.mlp_and_residuals	3	0.353	0.0016	12	12.0	0.0	
enwik8	leaf	fwd.down_proj	block.mlp_and_residuals	3	6.229	0.0291	12	12.0	0.0	
enwik8	leaf	fwd.residual2_add	block.mlp_and_residuals	3	0.198	0.0009	12	12.0	0.0	
enwik8	remainder	remainder:block.mlp_and_residuals	block.mlp_and_residuals	3	0.601	0.0028				parent minus its children per step, then the median
enwik8	remainder	remainder:envelope.blocks_forward	envelope.blocks_forward	2	0.053	0.0002				parent minus its children per step, then the median
enwik8	leaf	step.head_forward	envelope.native_call	1	10.866	0.0507	1			
enwik8	leaf	step.ce_refuse_scan	envelope.native_call	1	0.387	0.0018	1			
enwik8	leaf	step.ce_forward	envelope.native_call	1	1.707	0.0080	1			
enwik8	leaf	step.loss_download	envelope.native_call	1	0.021	0.0001	1			
enwik8	leaf	step.ce_backward	envelope.native_call	1	0.987	0.0046	1			
enwik8	leaf	step.head_backward_da	envelope.native_call	1	11.704	0.0546	1			
enwik8	leaf	step.head_backward_db	envelope.native_call	1	10.367	0.0483	1			
enwik8	parent	envelope.blocks_backward	envelope.native_call	1	110.141	0.5137	1			
enwik8	parent	bwd.mlp_through_oproj	envelope.blocks_backward	2	48.063	0.2241	12	252.0	24.0	
enwik8	leaf	grad.refuse_scan	bwd.mlp_through_oproj	3	0.403	0.0019	12	12.0	12.0	
enwik8	leaf	grad.residual2_copy	bwd.mlp_through_oproj	3	0.318	0.0015	12	24.0	0.0	
enwik8	leaf	grad.down_dA	bwd.mlp_through_oproj	3	5.317	0.0248	12	0.0	0.0	
enwik8	leaf	grad.down_dB	bwd.mlp_through_oproj	3	6.182	0.0288	12	12.0	0.0	
enwik8	leaf	grad.gate_mul	bwd.mlp_through_oproj	3	0.630	0.0029	12	24.0	0.0	
enwik8	leaf	grad.silu	bwd.mlp_through_oproj	3	0.418	0.0019	12	12.0	0.0	
enwik8	leaf	grad.gate_dB	bwd.mlp_through_oproj	3	6.157	0.0287	12	12.0	0.0	
enwik8	leaf	grad.up_dB	bwd.mlp_through_oproj	3	6.153	0.0287	12	12.0	0.0	
enwik8	leaf	grad.gate_dA	bwd.mlp_through_oproj	3	6.234	0.0291	12	12.0	0.0	
enwik8	leaf	grad.up_dA	bwd.mlp_through_oproj	3	6.172	0.0288	12	12.0	0.0	
enwik8	leaf	grad.gateup_fanin	bwd.mlp_through_oproj	3	0.203	0.0009	12	12.0	0.0	
enwik8	leaf	grad.norm2_kernels	bwd.mlp_through_oproj	3	1.210	0.0056	12	36.0	0.0	
enwik8	leaf	grad.norm2_dW	bwd.mlp_through_oproj	3	0.398	0.0019	12	24.0	12.0	
