create (POST to ssh up)	142
arm (on-pod watchdog)	8
stage (source + R2 URL maps)	557
env (pixi binary + envs)	21
build (host bindings)	22
run (command)	37
create to first result (POST to command end)	789
cache upload (misses only)	0
fetch	2
teardown (DELETE to verified gone)	2
billed (POST to verified gone)	803
spend	$0.0134 at $0.06/hr
