"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_f6e3d7656d4bb19c",506,480712685,950025.069170,48.46,433908,30757845,1921055.995122
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_fa0c2bfa2ee14278",4,119128831,29782207.750000,12.01,28534612,30978000,1299487.171527
"transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1",24,74502893,3104287.208333,7.51,2991491,3268322,54919.031314
"transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e",24,65801716,2741738.166667,6.63,2696861,2766742,20045.795660
"transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490",24,64804971,2700207.125000,6.53,2648309,2775120,30788.166630
"transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a",24,43810761,1825448.375000,4.42,1733066,1947555,70356.136732
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",506,22967334,45389.988142,2.32,16157,109288,24638.021055
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2",2,15900481,7950240.500000,1.60,7929776,7970705,28941.173447
"transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886",48,14244042,296750.875000,1.44,251452,331676,18954.120171
"embedding_checks_embedding_ide6A6A6A6A_02a428d7480c858f",2,14017756,7008878.000000,1.41,6964497,7053259,62764.212112
"core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb",196,13550806,69136.765306,1.37,1844,1628266,221160.077970
"__amd_rocclr_fillBufferAligned",1019,8408151,8251.374877,0.8476,721,334201,16601.098302
"transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7",48,5007201,104316.687500,0.5047,96940,108327,2115.216735
"training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c",2,3725602,1862801.000000,0.3755,1836180,1889422,37647.779244
"transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48",168,3507376,20877.238095,0.3535,15836,23574,2817.614847
"transformer_checks_transformer6A6A6A6A_701f75a72b36f978",24,3230916,134621.500000,0.3257,131780,137954,1721.802342
"training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae",2,3060048,1530024.000000,0.3085,1522306,1537742,10914.900274
"training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6",2,2926543,1463271.500000,0.2950,1447696,1478847,22027.083341
"training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde",2,2859390,1429695.000000,0.2882,1421556,1437834,11510.284184
"core_device_scan_negative_part6A6A6A6A_c691e2646998e577",4,2536576,634144.000000,0.2557,608626,654891,23109.935367
"__amd_rocclr_copyBuffer",395,1965929,4977.035443,0.1982,1684,13070,3337.571091
"embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999",2,1844240,922120.000000,0.1859,912879,931361,13068.747530
"transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c",48,1833134,38190.291667,0.1848,31672,46306,5691.375319
"transformer_checks_transformer6A6A6A6A_9e49fedb5168a455",48,1824354,38007.375000,0.1839,35641,38969,622.910486
"transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533",24,1782339,74264.125000,0.1797,71483,77096,1567.234960
"transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae",48,1763940,36748.750000,0.1778,32594,38568,1178.546355
"transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a",24,1738960,72456.666667,0.1753,70159,74931,1338.470271
"mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2",48,1508475,31426.562500,0.1521,25980,35761,2363.673330
"transformer_checks_transformer6A6A6A6A_6755bf37231227cb",48,1388318,28923.291667,0.1399,27502,30670,579.098123
