NOTE: --lanes scopes this diff to 4 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-7713-64-core-processor is a CPU column: cpu_model='AMD EPYC 7713 64-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_estimators_host', '_mojolearn_solver_host'] commit=bd9ef2eee4c4ebeb16112cb647828320b593aedc
NOTE: column cpu-amd-epyc-7713-64-core-processor is a CPU column: cpu_model='AMD EPYC 7713 64-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_estimators_host', '_mojolearn_solver_host'] commit=bd9ef2eee4c4ebeb16112cb647828320b593aedc
| lane/fixture                 | verdict    | cpu-amd-epyc-7713-64-core-processor | cpu-amd-epyc-7713-64-core-processor |
|------------------------------|------------|------------------|------------------|
| dbscan-brute-l1/ties         | batch  | DIVERGENT    | be9e40c554329827 | 9bd0689ccdb905bd |
| dbscan-weighted/base         | infer  | DIVERGENT    | 29d206737766caf0 | 667a03ee6768952d |
| dbscan-weighted/base         | model  | IDENTICAL x2 | 0db3aac99393d616 | 0db3aac99393d616 |
| dbscan-weighted/base         | batch  | DIVERGENT    | f7e7d24690d3107e | eaf8c25b605ec157 |
| dbscan-weighted/denormal     | infer  | DIVERGENT    | 3a6472714f51d8ab | dab6c104519fb920 |
| dbscan-weighted/denormal     | model  | IDENTICAL x2 | 0c1ef67464dfa955 | 0c1ef67464dfa955 |
| dbscan-weighted/denormal     | batch  | DIVERGENT    | a8e67882b424a053 | a2740d2ed4d74812 |
| dbscan-weighted/dupes        | infer  | DIVERGENT    | 29d206737766caf0 | 667a03ee6768952d |
| dbscan-weighted/dupes        | model  | IDENTICAL x2 | 0db3aac99393d616 | 0db3aac99393d616 |
| dbscan-weighted/dupes        | batch  | DIVERGENT    | f7e7d24690d3107e | eaf8c25b605ec157 |
| dbscan-weighted/ties         | infer  | DIVERGENT    | 9c8a2ca10937b6b1 | 02cc6621cd8f584f |
| dbscan-weighted/ties         | model  | IDENTICAL x2 | cca8baca73f60bac | cca8baca73f60bac |
| dbscan-weighted/ties         | batch  | DIVERGENT    | 1b1361f65f9b5250 | 2b0c3b37c19bdabf |
| dbscan/base                  | infer  | DIVERGENT    | e6e720fcb54b180e | 566108915f1ef687 |
| dbscan/base                  | model  | IDENTICAL x2 | c36812c6260e7ee6 | c36812c6260e7ee6 |
| dbscan/base                  | batch  | DIVERGENT    | f7e7d24690d3107e | eaf8c25b605ec157 |
| dbscan/denormal              | infer  | DIVERGENT    | 3a6472714f51d8ab | dab6c104519fb920 |
| dbscan/denormal              | model  | IDENTICAL x2 | af8f5b102930fc66 | af8f5b102930fc66 |
| dbscan/denormal              | batch  | DIVERGENT    | a8e67882b424a053 | a2740d2ed4d74812 |
| dbscan/dupes                 | infer  | DIVERGENT    | e6e720fcb54b180e | 566108915f1ef687 |
| dbscan/dupes                 | model  | IDENTICAL x2 | c36812c6260e7ee6 | c36812c6260e7ee6 |
| dbscan/dupes                 | batch  | DIVERGENT    | f7e7d24690d3107e | eaf8c25b605ec157 |
| dbscan/ties                  | infer  | DIVERGENT    | 63990f64c63d296b | 8cff211e4ce13f60 |
| dbscan/ties                  | model  | IDENTICAL x2 | 7c766eb707695149 | 7c766eb707695149 |
| dbscan/ties                  | batch  | DIVERGENT    | be9e40c554329827 | 9bd0689ccdb905bd |

summary (infer/model): DIVERGENT=16, IDENTICAL=16
summary (batch): DIVERGENT=16
summary (rlpair): 
