| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | arm64            |
| dbscan-weighted/denormal     | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 0c1ef67464dfa955 |
| dbscan-weighted/denormal     | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | a8e67882b424a053 |
| dbscan-weighted/dupes        | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | 29d206737766caf0 |
| dbscan-weighted/dupes        | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 0db3aac99393d616 |
| dbscan-weighted/dupes        | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | f7e7d24690d3107e |
| dbscan-weighted/ties         | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | 9c8a2ca10937b6b1 |
| dbscan-weighted/ties         | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | cca8baca73f60bac |
| dbscan-weighted/ties         | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | 1b1361f65f9b5250 |
| dbscan/base                  | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | e6e720fcb54b180e |
| dbscan/base                  | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | c36812c6260e7ee6 |
| dbscan/base                  | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | f7e7d24690d3107e |
| dbscan/denormal              | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | 3a6472714f51d8ab |
| dbscan/denormal              | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | af8f5b102930fc66 |
| dbscan/denormal              | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | a8e67882b424a053 |
| dbscan/dupes                 | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | e6e720fcb54b180e |
| dbscan/dupes                 | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | c36812c6260e7ee6 |
| dbscan/dupes                 | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | f7e7d24690d3107e |
| dbscan/ties                  | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | 63990f64c63d296b |
| dbscan/ties                  | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | 7c766eb707695149 |
| dbscan/ties                  | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | be9e40c554329827 |
| par-dbscan/base              | infer  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | e6e720fcb54b180e |
| par-dbscan/base              | model  | ONE-COLUMN   | n/a:no-save      | n/a:no-save      | n/a:no-save      | c36812c6260e7ee6 |
| par-dbscan/base              | batch  | ONE-COLUMN   | n/a:transductive | n/a:transductive | n/a:transductive | f7e7d24690d3107e |
