Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.3,1327761431,1869,710412.8,7635.0,1511,84451287,3390247.5,cuStreamSynchronize
43.6,1086639040,2,543319520.0,543319520.0,509132273,577506767,48348068.4,cuMemAllocHost_v2
1.5,36293519,48,756115.0,195644.5,59336,6017576,1182118.6,cuModuleLoadDataEx
0.5,11435034,136,84081.1,76140.0,58270,222000,25511.5,cuMemSetAccess
0.4,9464042,1883,5026.0,3044.0,2389,1493867,46936.6,cuLaunchKernelEx
0.2,4130246,136,30369.5,23526.5,20462,543015,44814.0,cuMemMap
0.2,4036656,2589,1559.2,1487.0,251,13795,439.7,cuEventQuery
0.2,3985482,136,29305.0,18663.0,12252,366132,38901.8,cuMemCreate
0.2,3833891,1015,3777.2,3318.0,1577,46655,2321.2,cuMemsetD32Async
0.0,1201833,335,3587.6,2831.0,2080,35061,2931.6,cuMemcpyDtoHAsync_v2
0.0,1008794,10154,99.3,84.0,59,15531,172.0,cuStreamIsCapturing
0.0,985886,117,8426.4,8060.0,2854,25429,4039.3,cuMemcpyHtoDAsync_v2
0.0,846131,2553,331.4,238.0,211,14464,509.8,cuEventRecord
0.0,248314,48,5173.2,4694.5,3503,13103,1938.7,cuMemcpyDtoDAsync_v2
0.0,139053,1,139053.0,139053.0,139053,139053,0.0,cuStreamCreate
0.0,43603,1,43603.0,43603.0,43603,43603,0.0,cuStreamDestroy
0.0,33421,1,33421.0,33421.0,33421,33421,0.0,cuMemAddressReserve
0.0,5942,2,2971.0,2971.0,108,5834,4048.9,cuMemGetAllocationGranularity
0.0,5100,2,2550.0,2550.0,762,4338,2528.6,cuEventCreate
0.0,1119,1,1119.0,1119.0,1119,1119,0.0,cuCtxSetCurrent
