NOTE: --lanes scopes this diff to 5 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_linalg_host', '_mojolearn_svm_host'] commit=0882d7a25d6fbdd8845418c4b4025e5bca76b651
| lane/fixture                 | verdict    | arm64            | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|------------|------------------|------------------|
| svc-poly/odd                 | infer  | IDENTICAL x2 | 5b9d4e16674de344 | 5b9d4e16674de344 |
| svc-poly/odd                 | model  | IDENTICAL x2 | 9db8309cd4a4a78c | 9db8309cd4a4a78c |
| svc-poly/odd                 | batch  | IDENTICAL x2 | 8481400d98d54b8e | 8481400d98d54b8e |
| svc-poly/ties                | infer  | IDENTICAL x2 | e52f19e4a9a2b59c | e52f19e4a9a2b59c |
| svc-poly/ties                | model  | IDENTICAL x2 | 17e6a97b51ce94e0 | 17e6a97b51ce94e0 |
| svc-poly/ties                | batch  | IDENTICAL x2 | 2d264f96b6abf16a | 2d264f96b6abf16a |
| svc-poly/wide                | infer  | IDENTICAL x2 | e3ea8d1768bb27eb | e3ea8d1768bb27eb |
| svc-poly/wide                | model  | IDENTICAL x2 | 3893fd6246b833d1 | 3893fd6246b833d1 |
| svc-poly/wide                | batch  | IDENTICAL x2 | f4e7a8e8595fc78a | f4e7a8e8595fc78a |
| svc/base                     | infer  | IDENTICAL x2 | 4aee3fcc51c4761e | 4aee3fcc51c4761e |
| svc/base                     | model  | IDENTICAL x2 | d357dc9836994075 | d357dc9836994075 |
| svc/base                     | batch  | IDENTICAL x2 | 2de40273b79bf263 | 2de40273b79bf263 |
| svc/denormal                 | infer  | IDENTICAL x2 | ebc593040592ca1e | ebc593040592ca1e |
| svc/denormal                 | model  | IDENTICAL x2 | 29bbbd98ccefdde2 | 29bbbd98ccefdde2 |
| svc/denormal                 | batch  | IDENTICAL x2 | 52692289bfb89f21 | 52692289bfb89f21 |
| svc/denormal_ftz             | infer  | IDENTICAL x2 | ebc593040592ca1e | ebc593040592ca1e |
| svc/denormal_ftz             | model  | IDENTICAL x2 | 55604dc15ce7c411 | 55604dc15ce7c411 |
| svc/denormal_ftz             | batch  | IDENTICAL x2 | 52692289bfb89f21 | 52692289bfb89f21 |
| svc/dupes                    | infer  | IDENTICAL x2 | 6e5c253fa1d7ea5b | 6e5c253fa1d7ea5b |
| svc/dupes                    | model  | IDENTICAL x2 | 39bb289a465d4e42 | 39bb289a465d4e42 |
| svc/dupes                    | batch  | IDENTICAL x2 | c5a93b7294c659ca | c5a93b7294c659ca |
| svc/hashed                   | infer  | IDENTICAL x2 | 94cb46a9aa6a811c | 94cb46a9aa6a811c |
| svc/hashed                   | model  | IDENTICAL x2 | c1eb413ecf366aab | c1eb413ecf366aab |
| svc/hashed                   | batch  | IDENTICAL x2 | 388c4be8afb46df4 | 388c4be8afb46df4 |
| svc/negative                 | infer  | IDENTICAL x2 | 685bebcb29a0cf8c | 685bebcb29a0cf8c |
| svc/negative                 | model  | IDENTICAL x2 | ebadbb39c9f25a8d | ebadbb39c9f25a8d |
| svc/negative                 | batch  | IDENTICAL x2 | 17e1155ed5740ad6 | 17e1155ed5740ad6 |
| svc/odd                      | infer  | IDENTICAL x2 | acd970db5a3ae605 | acd970db5a3ae605 |
| svc/odd                      | model  | IDENTICAL x2 | 1cf6ac54635490ef | 1cf6ac54635490ef |
| svc/odd                      | batch  | IDENTICAL x2 | 03e6a6673542064b | 03e6a6673542064b |
| svc/ties                     | infer  | IDENTICAL x2 | e400ffe98db4b786 | e400ffe98db4b786 |
| svc/ties                     | model  | IDENTICAL x2 | a934b5c5cbd2fb59 | a934b5c5cbd2fb59 |
| svc/ties                     | batch  | IDENTICAL x2 | 3a1af2345f86aa26 | 3a1af2345f86aa26 |
| svc/wide                     | infer  | IDENTICAL x2 | ee2e31ef0e3bbfcb | ee2e31ef0e3bbfcb |
| svc/wide                     | model  | IDENTICAL x2 | 19e15b0ab3ceac90 | 19e15b0ab3ceac90 |
| svc/wide                     | batch  | IDENTICAL x2 | fa143cf297359f9e | fa143cf297359f9e |
| svr-linear/base              | infer  | IDENTICAL x2 | 47a826efcac5b4a2 | 47a826efcac5b4a2 |
| svr-linear/base              | model  | IDENTICAL x2 | 2657cf59b3005062 | 2657cf59b3005062 |
| svr-linear/base              | batch  | IDENTICAL x2 | 7f9811b92204e981 | 7f9811b92204e981 |
| svr-linear/denormal          | infer  | IDENTICAL x2 | 9d90f5d093b45743 | 9d90f5d093b45743 |
| svr-linear/denormal          | model  | IDENTICAL x2 | 92c558d11c35936d | 92c558d11c35936d |
| svr-linear/denormal          | batch  | IDENTICAL x2 | 3743c64952b60eeb | 3743c64952b60eeb |
| svr-linear/denormal_ftz      | infer  | IDENTICAL x2 | 9d90f5d093b45743 | 9d90f5d093b45743 |
| svr-linear/denormal_ftz      | model  | IDENTICAL x2 | fef67cb0d3692686 | fef67cb0d3692686 |
| svr-linear/denormal_ftz      | batch  | IDENTICAL x2 | 3743c64952b60eeb | 3743c64952b60eeb |
| svr-linear/dupes             | infer  | IDENTICAL x2 | ef3ff08602a7cce2 | ef3ff08602a7cce2 |
| svr-linear/dupes             | model  | IDENTICAL x2 | 29729f5fc34c3c84 | 29729f5fc34c3c84 |
| svr-linear/dupes             | batch  | IDENTICAL x2 | 7847834ff8ccb38a | 7847834ff8ccb38a |
| svr-linear/hashed            | infer  | IDENTICAL x2 | 907b00ff5b0fdb02 | 907b00ff5b0fdb02 |
| svr-linear/hashed            | model  | IDENTICAL x2 | 60a52a0a24030673 | 60a52a0a24030673 |
| svr-linear/hashed            | batch  | IDENTICAL x2 | 6b88f4ec4da424d7 | 6b88f4ec4da424d7 |
| svr-linear/negative          | infer  | IDENTICAL x2 | 8573aacb58661873 | 8573aacb58661873 |
| svr-linear/negative          | model  | IDENTICAL x2 | 9e81ab279571845b | 9e81ab279571845b |
| svr-linear/negative          | batch  | IDENTICAL x2 | 6e5098cf998ce0cb | 6e5098cf998ce0cb |
| svr-linear/odd               | infer  | IDENTICAL x2 | 654716e9cda8c843 | 654716e9cda8c843 |
| svr-linear/odd               | model  | IDENTICAL x2 | 98e9507b8f108254 | 98e9507b8f108254 |
| svr-linear/odd               | batch  | IDENTICAL x2 | 6f0f200abcf5e3dc | 6f0f200abcf5e3dc |
| svr-linear/ties              | infer  | IDENTICAL x2 | 9d7ace00e8f6c77c | 9d7ace00e8f6c77c |
| svr-linear/ties              | model  | IDENTICAL x2 | b1bfd539febbf785 | b1bfd539febbf785 |
| svr-linear/ties              | batch  | IDENTICAL x2 | 553f1626cc910452 | 553f1626cc910452 |
| svr-linear/wide              | infer  | IDENTICAL x2 | 6cb99dcf9158f93b | 6cb99dcf9158f93b |
| svr-linear/wide              | model  | IDENTICAL x2 | 4e208a0c25a23f43 | 4e208a0c25a23f43 |
| svr-linear/wide              | batch  | IDENTICAL x2 | 3029c38f5c0494cb | 3029c38f5c0494cb |
| svr/base                     | infer  | IDENTICAL x2 | 021831e9ffd2bb9d | 021831e9ffd2bb9d |
