lane	n	fast_med_s	ident_med_s	ratio_med	ratio_min	ratio_max	fast_min_s	fast_max_s	ident_min_s	ident_max_s	fast_hash	ident_hash	hash_note
kmeans	3	0.166586	0.184008	1.105	1.099	1.108	0.166114	0.166706	0.183142	0.184426	aa57ac4b6baa31fd	c5cc84735f29a548	fast!=ident bits
knn	3	0.010920	0.166237	15.223	14.480	17.115	0.010893	0.010923	0.158118	0.186432	MOVED	c41d0274e33becc9	FAST HASH MOVED across legs (3 distinct)
gram	3	0.002496	0.004472	1.792	1.644	1.826	0.002449	0.002718	0.004468	0.004475	cd254b4804d9d38b	eda189fc210388c5	fast!=ident bits
nt	3	0.000117	0.001882	16.020	15.767	16.786	0.000113	0.000119	0.001872	0.001892	b7a371231823e3b4	bae56ae624541a84	fast!=ident bits
gemv	3	0.000092	0.002200	24.018	23.760	24.385	0.000090	0.000093	0.002197	0.002202	0e5ee13e02e0c38c	491b00b499e4b1f9	fast!=ident bits
gbdt	3	0.599116	0.606339	1.012	1.004	1.022	0.596929	0.603688	0.605344	0.612264	938181d0794b1882	9e8e5ae83e2c6f22	fast!=ident bits
rf	3	0.752483	0.750552	0.997	0.997	1.000	0.750414	0.752991	0.749661	0.753325	279b67bc45ca1961	e2ec6856dec3081b	fast!=ident bits
et	3	4.383442	4.366820	0.996	0.995	0.999	4.372362	4.389975	4.362570	4.377087	d6efc1ad9646afe1	d6efc1ad9646afe1	fast==ident bits
