NOTE: --lanes scopes this diff to 4 lane(s); 162 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_mamba_host'] commit=df617c6997cdf9f794c073c2d027dc68c9b1191f
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| mamba2-dtlimit/hashed        | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2-dtlimit/hashed        | batch  | IDENTICAL x4 | 6251ed997aa6e1ff | 6251ed997aa6e1ff | 6251ed997aa6e1ff | 6251ed997aa6e1ff |
| mamba2-dtlimit/negative      | infer  | IDENTICAL x4 | e71489aec1499756 | e71489aec1499756 | e71489aec1499756 | e71489aec1499756 |
| mamba2-dtlimit/negative      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2-dtlimit/negative      | batch  | IDENTICAL x4 | 822a574e48d23549 | 822a574e48d23549 | 822a574e48d23549 | 822a574e48d23549 |
| mamba2-dtlimit/odd           | infer  | IDENTICAL x4 | 574842725ea2d43f | 574842725ea2d43f | 574842725ea2d43f | 574842725ea2d43f |
| mamba2-dtlimit/odd           | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2-dtlimit/odd           | batch  | IDENTICAL x4 | af7b9d3840cf5ef4 | af7b9d3840cf5ef4 | af7b9d3840cf5ef4 | af7b9d3840cf5ef4 |
| mamba2-dtlimit/ties          | infer  | IDENTICAL x4 | 6961b92c3565ded6 | 6961b92c3565ded6 | 6961b92c3565ded6 | 6961b92c3565ded6 |
| mamba2-dtlimit/ties          | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2-dtlimit/ties          | batch  | IDENTICAL x4 | af6fcf1e9222cb76 | af6fcf1e9222cb76 | af6fcf1e9222cb76 | af6fcf1e9222cb76 |
| mamba2-dtlimit/wide          | infer  | IDENTICAL x4 | c8604d7add29e134 | c8604d7add29e134 | c8604d7add29e134 | c8604d7add29e134 |
| mamba2-dtlimit/wide          | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2-dtlimit/wide          | batch  | IDENTICAL x4 | 93f22fa95029c3d8 | 93f22fa95029c3d8 | 93f22fa95029c3d8 | 93f22fa95029c3d8 |
| mamba2/base                  | infer  | IDENTICAL x4 | b0084ee171c0720f | b0084ee171c0720f | b0084ee171c0720f | b0084ee171c0720f |
| mamba2/base                  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2/base                  | batch  | IDENTICAL x4 | d21a83ab6b3ce297 | d21a83ab6b3ce297 | d21a83ab6b3ce297 | d21a83ab6b3ce297 |
