NOTE: column nvidia-nvidia-geforce-rtx-4090-sm_89 is INCOMPLETE (the run was killed); lanes after the last one written are absent, not clean
NOTE: column nvidia-nvidia-geforce-rtx-4090-sm_89 is INCOMPLETE (the run was killed); lanes after the last one written are absent, not clean
| lane/fixture                 | verdict    | nvidia-nvidia-geforce-rtx-4090-sm_89 | nvidia-nvidia-geforce-rtx-4090-sm_89 |
|------------------------------|------------|------------------|------------------|
| par-forecast-arima/ties      | infer  | IDENTICAL x2 | e699bca0934688f0 | e699bca0934688f0 |
| par-forecast-arima/ties      | model  | IDENTICAL x2 | a70bbb860b0f3fcf | a70bbb860b0f3fcf |
| par-forecast-arima/ties      | batch  | IDENTICAL x2 | f339cdfecd860934 | f339cdfecd860934 |
| par-forecast-arima/wide      | infer  | IDENTICAL x2 | 956bebc3f45a1c69 | 956bebc3f45a1c69 |
| par-forecast-arima/wide      | model  | IDENTICAL x2 | 1f7be9c37fb3f5d6 | 1f7be9c37fb3f5d6 |
| par-forecast-arima/wide      | batch  | IDENTICAL x2 | a820c7d8f0125432 | a820c7d8f0125432 |
| par-forecast-holtwinters/base | infer  | IDENTICAL x2 | 2ba6e3fe81256474 | 2ba6e3fe81256474 |
| par-forecast-holtwinters/base | model  | IDENTICAL x2 | 2b788f20f8d8c145 | 2b788f20f8d8c145 |
| par-forecast-holtwinters/base | batch  | IDENTICAL x2 | 77ca9a518446c250 | 77ca9a518446c250 |
| par-forecast-holtwinters/denormal | infer  | ONE-COLUMN   | 3baf29a408512838 | (not run)        |
| par-forecast-holtwinters/denormal | model  | ONE-COLUMN   | 999974b61bbe0004 | (not run)        |
| par-forecast-holtwinters/denormal | batch  | ONE-COLUMN   | e14ccee0b3733785 | (not run)        |
| par-forecast-holtwinters/denormal_ftz | infer  | ONE-COLUMN   | 3baf29a408512838 | (not run)        |
| par-forecast-holtwinters/denormal_ftz | model  | ONE-COLUMN   | 999974b61bbe0004 | (not run)        |
| par-forecast-holtwinters/denormal_ftz | batch  | ONE-COLUMN   | e14ccee0b3733785 | (not run)        |
| par-forecast-holtwinters/dupes | infer  | ONE-COLUMN   | 2ba6e3fe81256474 | (not run)        |
| par-forecast-holtwinters/dupes | model  | ONE-COLUMN   | 2b788f20f8d8c145 | (not run)        |
| par-forecast-holtwinters/dupes | batch  | ONE-COLUMN   | 77ca9a518446c250 | (not run)        |
| par-forecast-holtwinters/hashed | infer  | IDENTICAL x2 | 064801efb15ab008 | 064801efb15ab008 |
| par-forecast-holtwinters/hashed | model  | IDENTICAL x2 | 0530ffbeced1027e | 0530ffbeced1027e |
| par-forecast-holtwinters/hashed | batch  | IDENTICAL x2 | df0ed8c8912f42ea | df0ed8c8912f42ea |
| par-forecast-holtwinters/negative | infer  | ONE-COLUMN   | badfe6614be23470 | (not run)        |
| par-forecast-holtwinters/negative | model  | ONE-COLUMN   | e97d48fa0ba847d0 | (not run)        |
| par-forecast-holtwinters/negative | batch  | ONE-COLUMN   | 309b6269cad54229 | (not run)        |
| par-forecast-holtwinters/odd | infer  | ONE-COLUMN   | ce81b5ac876ab24b | (not run)        |
| par-forecast-holtwinters/odd | model  | ONE-COLUMN   | 3c4ad8350c73bac5 | (not run)        |
| par-forecast-holtwinters/odd | batch  | ONE-COLUMN   | 4fc21213f0a13c49 | (not run)        |
| par-forecast-holtwinters/ties | infer  | IDENTICAL x2 | 9894a75e19343d02 | 9894a75e19343d02 |
| par-forecast-holtwinters/ties | model  | IDENTICAL x2 | dc2d6a661f911c91 | dc2d6a661f911c91 |
| par-forecast-holtwinters/ties | batch  | IDENTICAL x2 | 60326d25dd4491b2 | 60326d25dd4491b2 |
| par-forecast-holtwinters/wide | infer  | ONE-COLUMN   | 1ed7d450da2f1e7e | (not run)        |
| par-forecast-holtwinters/wide | model  | ONE-COLUMN   | 3280cb2f403e61bb | (not run)        |
| par-forecast-holtwinters/wide | batch  | ONE-COLUMN   | 4371fe4d83f38591 | (not run)        |
| par-gpc-fit/base             | infer  | ONE-COLUMN   | fc0b4c2f28c2e079 | (not run)        |
| par-gpc-fit/base             | model  | ONE-COLUMN   | 81b8bb9e635d8e83 | (not run)        |
| par-gpc-fit/base             | batch  | ONE-COLUMN   | b46f1f9043e091a8 | (not run)        |
| par-gpc-fit/hashed           | infer  | ONE-COLUMN   | 9da411da0b1e3037 | (not run)        |
| par-gpc-fit/hashed           | model  | ONE-COLUMN   | f4c2aca55d9362f2 | (not run)        |
| par-gpc-fit/hashed           | batch  | ONE-COLUMN   | 0419fbbe5d340ea4 | (not run)        |
| par-gpc-fit/ties             | infer  | ONE-COLUMN   | ede5baa0c8969b06 | (not run)        |
| par-gpc-fit/ties             | model  | ONE-COLUMN   | 7b9bf869ad365c26 | (not run)        |
| par-gpc-fit/ties             | batch  | ONE-COLUMN   | c5069c7b59de4ee1 | (not run)        |
| par-ivf/base                 | infer  | ONE-COLUMN   | fd6eed35b1338d17 | (not run)        |
| par-ivf/base                 | model  | ONE-COLUMN   | dcfefe31adc21c6c | (not run)        |
| par-ivf/base                 | batch  | ONE-COLUMN   | 6baf3cfbde509312 | (not run)        |
| par-ivf/denormal             | infer  | ONE-COLUMN   | 3ff4c07c575048cf | (not run)        |
| par-ivf/denormal             | model  | ONE-COLUMN   | c3a1727313e23983 | (not run)        |
| par-ivf/denormal             | batch  | ONE-COLUMN   | 45f49934c58d1518 | (not run)        |
| par-ivf/denormal_ftz         | infer  | ONE-COLUMN   | 3ff4c07c575048cf | (not run)        |
| par-ivf/denormal_ftz         | model  | ONE-COLUMN   | 1f2b8dd1cf726bc0 | (not run)        |
| par-ivf/denormal_ftz         | batch  | ONE-COLUMN   | 45f49934c58d1518 | (not run)        |
| par-ivf/dupes                | infer  | ONE-COLUMN   | 4ae50eab359ba1e9 | (not run)        |
| par-ivf/dupes                | model  | ONE-COLUMN   | 3163ed44a2b28c07 | (not run)        |
| par-ivf/dupes                | batch  | ONE-COLUMN   | 99ec531fb8ae409f | (not run)        |
| par-ivf/hashed               | infer  | ONE-COLUMN   | 49c22df302ee0334 | (not run)        |
| par-ivf/hashed               | model  | ONE-COLUMN   | 9d809fde4ffc96cc | (not run)        |
| par-ivf/hashed               | batch  | ONE-COLUMN   | 648bf9fc3764372d | (not run)        |
| par-ivf/negative             | infer  | ONE-COLUMN   | 71333eccc89915b1 | (not run)        |
| par-ivf/negative             | model  | ONE-COLUMN   | ec79d31b3169a984 | (not run)        |
| par-ivf/negative             | batch  | ONE-COLUMN   | 9786387eb7123b42 | (not run)        |
| par-ivf/odd                  | infer  | ONE-COLUMN   | 1e0c2401db49a53d | (not run)        |
| par-ivf/odd                  | model  | ONE-COLUMN   | 2ab1fd5fac4563e2 | (not run)        |
| par-ivf/odd                  | batch  | ONE-COLUMN   | 8149b10d16c8ebaa | (not run)        |
| par-ivf/ties                 | infer  | ONE-COLUMN   | c62b1be91d40fc43 | (not run)        |
| par-ivf/ties                 | model  | ONE-COLUMN   | 2254dcdb3f209c1d | (not run)        |
| par-ivf/ties                 | batch  | ONE-COLUMN   | 166f61a6e1f346b8 | (not run)        |
| par-ivf/wide                 | infer  | ONE-COLUMN   | 2bfe5d9bde8a2564 | (not run)        |
| par-ivf/wide                 | model  | ONE-COLUMN   | 809bc63c73b2c093 | (not run)        |
| par-ivf/wide                 | batch  | ONE-COLUMN   | 3e09f4c3db3c3e66 | (not run)        |
| par-ordered/base             | infer  | IDENTICAL x2 | d7a4f4eeda536f16 | d7a4f4eeda536f16 |
| par-ordered/base             | model  | IDENTICAL x2 | 3ebe10dd16986fee | 3ebe10dd16986fee |
| par-ordered/base             | batch  | IDENTICAL x2 | 1b7f902bed2f8264 | 1b7f902bed2f8264 |
| par-ordered/denormal         | infer  | IDENTICAL x2 | d7a4f4eeda536f16 | d7a4f4eeda536f16 |
| par-ordered/denormal         | model  | IDENTICAL x2 | 337411e478a47dd5 | 337411e478a47dd5 |
| par-ordered/denormal         | batch  | IDENTICAL x2 | 1b7f902bed2f8264 | 1b7f902bed2f8264 |
| par-ordered/denormal_ftz     | infer  | IDENTICAL x2 | d7a4f4eeda536f16 | d7a4f4eeda536f16 |
| par-ordered/denormal_ftz     | model  | IDENTICAL x2 | 337411e478a47dd5 | 337411e478a47dd5 |
| par-ordered/denormal_ftz     | batch  | IDENTICAL x2 | 1b7f902bed2f8264 | 1b7f902bed2f8264 |
| par-ordered/dupes            | infer  | IDENTICAL x2 | d2d7de40eeb0e888 | d2d7de40eeb0e888 |
| par-ordered/dupes            | model  | IDENTICAL x2 | c110a1e501e287f1 | c110a1e501e287f1 |
| par-ordered/dupes            | batch  | IDENTICAL x2 | ae28684d368e2b6f | ae28684d368e2b6f |
| par-ordered/hashed           | infer  | IDENTICAL x2 | f472f8f2e506ce3e | f472f8f2e506ce3e |
| par-ordered/hashed           | model  | IDENTICAL x2 | b80eb3b72b5c95c7 | b80eb3b72b5c95c7 |
| par-ordered/hashed           | batch  | IDENTICAL x2 | cd945653faa71f59 | cd945653faa71f59 |
| par-ordered/negative         | infer  | IDENTICAL x2 | 09e6dfe70a9e8341 | 09e6dfe70a9e8341 |
| par-ordered/negative         | model  | IDENTICAL x2 | a003b5a16d9f7e2f | a003b5a16d9f7e2f |
| par-ordered/negative         | batch  | IDENTICAL x2 | 6f79c5a5836408fb | 6f79c5a5836408fb |
| par-ordered/odd              | infer  | IDENTICAL x2 | 96ab641b67fe93b4 | 96ab641b67fe93b4 |
| par-ordered/odd              | model  | IDENTICAL x2 | 2762eab7c9aadc51 | 2762eab7c9aadc51 |
| par-ordered/odd              | batch  | IDENTICAL x2 | 7b18f6ba4d9bf426 | 7b18f6ba4d9bf426 |
| par-ordered/ties             | infer  | IDENTICAL x2 | 529e6b54d8cfe020 | 529e6b54d8cfe020 |
| par-ordered/ties             | model  | IDENTICAL x2 | e1ea00b03e0a3d16 | e1ea00b03e0a3d16 |
| par-ordered/ties             | batch  | IDENTICAL x2 | e60f8dc009c82663 | e60f8dc009c82663 |
| par-ordered/wide             | infer  | IDENTICAL x2 | e8fde999f64eec22 | e8fde999f64eec22 |
| par-ordered/wide             | model  | IDENTICAL x2 | c24f27aa4e7d989f | c24f27aa4e7d989f |
| par-ordered/wide             | batch  | IDENTICAL x2 | 0cc769bdafb5820b | 0cc769bdafb5820b |

summary (infer/model): IDENTICAL=60, ONE-COLUMN=36
summary (batch): IDENTICAL=30, ONE-COLUMN=18
summary (rlpair): 
