lane	n	fast_med_s	ident_med_s	ratio_med	ratio_min	ratio_max	fast_min_s	fast_max_s	ident_min_s	ident_max_s	fast_hash	ident_hash	hash_note
kmeans	3	0.003672	0.003958	1.078	1.058	1.109	0.003647	0.003691	0.003885	0.004094	23250b50508d95f9	eeea38872c935b98	fast!=ident bits
knn	3	0.000553	0.003307	5.985	5.927	6.638	0.000494	0.000558	0.003277	0.003323	MOVED	4c6f4a612b096067	FAST HASH MOVED across legs (3 distinct)
dbscan	3	0.041748	0.040370	0.967	0.965	0.970	0.041617	0.041834	0.040362	0.040382	9cda87ce5c6b3c85	9cda87ce5c6b3c85	fast==ident bits
gram	3	0.000334	0.000568	1.701	1.625	1.781	0.000320	0.000350	0.000568	0.000570	37fc8ca7a94b7568	0e9de1a0121f721a	fast!=ident bits
nt	3	0.000073	0.000049	0.667	0.584	0.674	0.000073	0.000084	0.000047	0.000049	5c68413208583222	5c68413208583222	fast==ident bits
gemv	3	0.000018	0.000040	2.242	1.811	2.974	0.000015	0.000022	0.000040	0.000044	baa72e10387fa2c8	a0d44fa8c1343b19	fast!=ident bits
gbdt	3	0.474488	0.474298	1.000	1.000	1.004	0.472492	0.475033	0.473693	0.476913	45bfcba4070bf931	edde9bd742ac76f3	fast!=ident bits
rf	3	0.642074	0.638330	0.994	0.989	0.997	0.640158	0.642427	0.634697	0.638618	0c961d27f113ab44	acfbdbde102e8c54	fast!=ident bits
et	3	2.106028	2.112028	1.003	0.998	1.006	2.099242	2.108643	2.100856	2.112594	a4d03520b4584c37	a4d03520b4584c37	fast==ident bits
