NOTE: --lanes scopes this diff to 4 lane(s); 162 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_tsa_host'] commit=420a8ec73dee02ee6dde284ee37b7eaa785960ce
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| holtwinters/hashed           | batch  | IDENTICAL x4 | f064bf24785a3ab0 | f064bf24785a3ab0 | f064bf24785a3ab0 | f064bf24785a3ab0 |
| holtwinters/negative         | infer  | IDENTICAL x4 | c03b71a1af7f0d5c | c03b71a1af7f0d5c | c03b71a1af7f0d5c | c03b71a1af7f0d5c |
| holtwinters/negative         | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters/negative         | batch  | IDENTICAL x4 | 9c696ef56c5a8db9 | 9c696ef56c5a8db9 | 9c696ef56c5a8db9 | 9c696ef56c5a8db9 |
| holtwinters/odd              | infer  | IDENTICAL x4 | baeea8494596eeb9 | baeea8494596eeb9 | baeea8494596eeb9 | baeea8494596eeb9 |
| holtwinters/odd              | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters/odd              | batch  | IDENTICAL x4 | 7428081677199491 | 7428081677199491 | 7428081677199491 | 7428081677199491 |
| holtwinters/ties             | infer  | IDENTICAL x4 | a48df2766423502f | a48df2766423502f | a48df2766423502f | a48df2766423502f |
| holtwinters/ties             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters/ties             | batch  | IDENTICAL x4 | 91f206e60b961689 | 91f206e60b961689 | 91f206e60b961689 | 91f206e60b961689 |
| holtwinters/wide             | infer  | IDENTICAL x4 | 5df1cfaa8f4b4e78 | 5df1cfaa8f4b4e78 | 5df1cfaa8f4b4e78 | 5df1cfaa8f4b4e78 |
| holtwinters/wide             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| holtwinters/wide             | batch  | IDENTICAL x4 | 1121af8980a0f61f | 1121af8980a0f61f | 1121af8980a0f61f | 1121af8980a0f61f |
| kpss/base                    | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| kpss/base                    | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| kpss/base                    | batch  | IDENTICAL x4 | 07aca9e3b47f6d07 | 07aca9e3b47f6d07 | 07aca9e3b47f6d07 | 07aca9e3b47f6d07 |
| kpss/denormal                | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| kpss/denormal                | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| kpss/denormal                | batch  | IDENTICAL x4 | 1c34fb059d9ab646 | 1c34fb059d9ab646 | 1c34fb059d9ab646 | 1c34fb059d9ab646 |
| kpss/denormal_ftz            | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| kpss/denormal_ftz            | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| kpss/denormal_ftz            | batch  | IDENTICAL x4 | 1c34fb059d9ab646 | 1c34fb059d9ab646 | 1c34fb059d9ab646 | 1c34fb059d9ab646 |
| kpss/dupes                   | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
| kpss/dupes                   | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| kpss/dupes                   | batch  | IDENTICAL x4 | 07aca9e3b47f6d07 | 07aca9e3b47f6d07 | 07aca9e3b47f6d07 | 07aca9e3b47f6d07 |
| kpss/hashed                  | infer  | N/A          | n/a:function     | n/a:function     | n/a:function     | n/a:function     |
