name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	617.093	0.4999
envelope.blocks_backward	1.0	297.167	0.2408
envelope.blocks_forward	1.0	174.228	0.1412
bwd.mlp_through_oproj	12.0	147.506	0.1195
block.attention_total	12.0	104.745	0.0849
bwd.attention	12.0	92.443	0.0749
attn.core	12.0	70.737	0.0573
attn.fwd_r2_keep_kernel	12.0	68.468	0.0555
block.mlp_and_residuals	12.0	66.310	0.0537
bwd.after_attention	12.0	57.063	0.0462
gemm.gateup_dB	24.0	41.806	nan
step.head_forward	1.0	40.879	0.0331
gemm.head_fwd	1.0	40.865	nan
step.head_backward_da	1.0	40.698	0.0330
gemm.head_dA	1.0	40.681	nan
gemm.gateup_fwd	24.0	40.088	nan
gemm.gateup_dA	24.0	39.970	nan
step.head_backward_db	1.0	39.509	0.0320
gemm.head_dB	1.0	39.501	nan
gemm.proj_dB	48.0	36.070	nan
attn.bwd_zdot_estash_dres_pf	12.0	34.055	0.0276
gemm.proj_fwd	48.0	30.431	nan
gemm.proj_dA	48.0	30.388	nan
attn.bwd_dq_tiled_pf	12.0	29.968	0.0243
attn.bwd_kvgrid_dkdv_pf	12.0	25.397	0.0206
attn.qkv_proj	12.0	23.173	0.0188
grad.gate_dB	12.0	20.937	0.0170
gemm.down_dB	12.0	20.934	nan
grad.down_dB	12.0	20.934	0.0170
grad.up_dB	12.0	20.869	0.0169
fwd.down_proj	12.0	20.088	0.0163
gemm.down_fwd	12.0	20.088	nan
fwd.up_proj	12.0	20.059	0.0163
fwd.gate_proj	12.0	20.029	0.0162
gemm.down_dA	12.0	19.998	nan
grad.down_dA	12.0	19.998	0.0162
grad.up_dA	12.0	19.991	0.0162
grad.gate_dA	12.0	19.978	0.0162
grad.q_dB	12.0	9.045	0.0073
grad.o_dB	12.0	9.021	0.0073
grad.v_dB	12.0	9.016	0.0073
grad.k_dB	12.0	8.988	0.0073
step.ce_forward	1.0	8.912	0.0072
attn.o_proj	12.0	7.768	0.0063
fwd.v_proj	12.0	7.617	0.0062
fwd.o_proj	12.0	7.615	0.0062
fwd.k_proj	12.0	7.613	0.0062
grad.q_dA	12.0	7.609	0.0062
grad.o_dA	12.0	7.604	0.0062
grad.v_dA	12.0	7.592	0.0062
fwd.q_proj	12.0	7.586	0.0061
grad.k_dA	12.0	7.583	0.0061
step.ce_backward	1.0	3.868	0.0031
step.embedding_backward	1.0	3.494	0.0028
block.norm1	12.0	3.101	0.0025
attn.rope_and_cache	12.0	3.011	0.0024
attn.bwd_regime_scan	12.0	2.435	0.0020
fwd.norm2	12.0	2.301	0.0019
grad.norm2_kernels	12.0	2.297	0.0019
grad.gate_mul	12.0	2.256	0.0018
step.validate_after_scan	1.0	2.232	0.0018
fwd.norm1	12.0	2.157	0.0017
grad.norm1_kernels	12.0	2.082	0.0017
attn.fwd_regime_scan	12.0	1.900	0.0015
grad.rope	12.0	1.723	0.0014
step.optimizer	1.0	1.722	0.0014
step.ce_refuse_scan	1.0	1.379	0.0011
fwd.silu	12.0	1.077	0.0009
fwd.gate_mul	12.0	1.074	0.0009
step.unpack_weights	1.0	0.921	0.0007
step.pack_grads	1.0	0.916	0.0007
grad.kv_slice	12.0	0.900	0.0007
gemm.norm_dW	24.0	0.888	nan
fwd.refuse_call	12.0	0.802	0.0006
grad.qkv_fanin	12.0	0.581	0.0005
grad.refuse_scan	12.0	0.566	0.0005
step.validate_grads_scan	1.0	0.543	0.0004
grad.gateup_fanin	12.0	0.496	0.0004
fwd.residual2_add	12.0	0.492	0.0004
fwd.residual1_add	12.0	0.492	0.0004
step.py_flags	1.0	0.475	0.0004
grad.x_add	12.0	0.464	0.0004
grad.residual2_copy	12.0	0.462	0.0004
grad.norm2_dW	12.0	0.450	0.0004
grad.norm1_dW	12.0	0.438	0.0004
attn.bwd_corner_flag	12.0	0.355	0.0003
attn.fwd_corner_flag	12.0	0.299	0.0002
attn.bwd_scratch_alloc	12.0	0.159	0.0001
step.upload_inputs	1.0	0.134	0.0001
step.embedding_forward	1.0	0.102	0.0001
step.bind_publish	1.0	0.029	0.0000
grad.silu	12.0	0.023	0.0000
grad.o_copy	12.0	0.022	0.0000
grad.residual1_add	12.0	0.021	0.0000
bwd.before_attention	12.0	0.019	0.0000
step.loss_download	1.0	0.019	0.0000
step.bind_final_sync	1.0	0.002	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 1234.320 ms a shard; gemm.* 401.707 ms a shard
