EXPECTED FAIL: loss
EXPECTED FAIL: gradients
EXPECTED FAIL: parameters
EXPECTED FAIL: m
EXPECTED FAIL: v
EXPECTED FAIL: flags
EXPECTED FAIL: same legacy arm
EXPECTED FAIL: same guarded arm
MATCH step 141 loss 3.5252628326416016
MATCH step 142 loss 3.1255810260772705
MATCH step 143 loss 3.280801296234131
MATCH step 144 loss 4.122929573059082
MATCH step 145 loss 4.323861598968506
MATCH step 146 loss 3.7680702209472656
MATCH step 147 loss 3.525134563446045
MATCH step 148 loss 3.2658069133758545
MATCH step 149 loss 3.670515775680542
MATCH step 150 loss 3.580402374267578
MATCH step 151 loss 2.9034860134124756
MATCH step 152 loss 2.6521553993225098
MATCH step 153 loss 3.8838412761688232
MATCH step 154 loss 4.292257308959961
MATCH step 155 loss 3.551274299621582
MATCH step 156 loss 3.4402806758880615
MATCH step 157 loss 4.346828460693359
MATCH step 158 loss 3.6307759284973145
MATCH step 159 loss 3.44982647895813
MATCH step 160 loss 3.525362253189087
MATCH step 161 loss 3.6179938316345215
MATCH step 162 loss 6.1125688552856445
MATCH step 163 loss 4.908102512359619
MATCH step 164 loss 2.745046377182007
MATCH step 165 loss 4.054764747619629
MATCH step 166 loss 4.191449165344238
MATCH step 167 loss 3.8763136863708496
MATCH step 168 loss 4.60300350189209
MATCH step 169 loss 4.799920558929443
MATCH step 170 loss 3.9348559379577637
MATCH step 171 loss 3.906409978866577
MATCH step 172 loss 3.3879706859588623
MATCH step 173 loss 3.010824680328369
MATCH step 174 loss 2.891824960708618
MATCH step 175 loss 2.7768025398254395
MATCH step 176 loss 4.283863544464111
MATCH step 177 loss 3.9820289611816406
MATCH step 178 loss 3.8297624588012695
MATCH step 179 loss 3.8921689987182617
MATCH step 180 loss 3.2630515098571777
MATCH step 181 loss 3.7097840309143066
MATCH step 182 loss 3.7856078147888184
MATCH step 183 loss 3.278210163116455
MATCH step 184 loss 3.515961170196533
MATCH step 185 loss 3.379108428955078
MATCH step 186 loss 3.1686177253723145
MATCH step 187 loss 2.8685717582702637
MATCH step 188 loss 2.5528225898742676
MATCH step 189 loss 2.5617218017578125
MATCH step 190 loss 2.223961591720581
MATCH step 191 loss 2.1695332527160645
MATCH step 192 loss 2.1789255142211914
MATCH step 193 loss 2.9726171493530273
MATCH step 194 loss 3.575010299682617
MATCH step 195 loss 2.746734619140625
MATCH step 196 loss 3.1154022216796875
MATCH step 197 loss 2.781052350997925
MATCH step 198 loss 2.6949055194854736
MATCH step 199 loss 2.294719696044922
MATCH step 200 loss 2.732090711593628
MATCH step 201 loss 2.9459269046783447
MATCH step 202 loss 2.4895453453063965
MATCH step 203 loss 2.2706778049468994
MATCH step 204 loss 2.070859909057617
MATCH step 205 loss 2.060030460357666
MATCH step 206 loss 2.140199899673462
MATCH step 207 loss 2.5486607551574707
MATCH step 208 loss 4.3515729904174805
MATCH step 209 loss 4.078152656555176
MATCH step 210 loss 3.3140177726745605
MATCH step 211 loss 3.23795223236084
MATCH step 212 loss 2.9676575660705566
MATCH step 213 loss 2.673737049102783
MATCH step 214 loss 2.4060111045837402
MATCH step 215 loss 3.345642328262329
MATCH step 216 loss 3.1488547325134277
MATCH step 217 loss 4.008274555206299
MATCH step 218 loss 3.584953784942627
MATCH step 219 loss 2.988564968109131
MATCH step 220 loss 3.6216747760772705
MATCH step 221 loss 3.164123296737671
MATCH step 222 loss 3.16646409034729
MATCH step 223 loss 3.1628713607788086
MATCH step 224 loss 3.208026647567749
MATCH step 225 loss 3.0341179370880127
MATCH step 226 loss 2.765026569366455
MATCH step 227 loss 2.5944859981536865
MATCH step 228 loss 2.4966025352478027
MATCH step 229 loss 2.477963924407959
MATCH step 230 loss 2.418041944503784
MATCH step 231 loss 3.3510854244232178
MATCH step 232 loss 4.751134872436523
MATCH step 233 loss 4.775211334228516
MATCH step 234 loss 4.148838043212891
MATCH step 235 loss 3.475618362426758
MATCH step 236 loss 3.215282917022705
MATCH step 237 loss 2.768557548522949
MATCH step 238 loss 3.5353176593780518
MATCH step 239 loss 4.131272792816162
MATCH step 240 loss 3.6589131355285645
MATCH step 241 loss 3.6149187088012695
MATCH step 242 loss 3.491708278656006
MATCH step 243 loss 3.314910411834717
MATCH step 244 loss 3.1169662475585938
MATCH step 245 loss 3.5021119117736816
MATCH step 246 loss 3.138622760772705
MATCH step 247 loss 3.5163233280181885
MATCH step 248 loss 3.193661689758301
MATCH step 249 loss 3.0249998569488525
MATCH step 250 loss 2.986142873764038
MATCH step 251 loss 3.180202007293701
MATCH step 252 loss 2.7938523292541504
MATCH step 253 loss 2.5940513610839844
MATCH step 254 loss 2.7079551219940186
MATCH step 255 loss 2.725325584411621
MATCH step 256 loss 3.35984468460083
MATCH step 257 loss 4.142521381378174
MATCH step 258 loss 3.8561978340148926
MATCH step 259 loss 3.6122570037841797
MATCH step 260 loss 2.9906725883483887
MATCH step 261 loss 2.2797622680664062
MATCH step 262 loss 3.903730869293213
MATCH step 263 loss 3.1007227897644043
MATCH step 264 loss 2.7328479290008545
MATCH step 265 loss 3.0095462799072266
MATCH step 266 loss 2.5121703147888184
MATCH step 267 loss 1.8622831106185913
MATCH step 268 loss 2.2221364974975586
MATCH step 269 loss 2.4977011680603027
MATCH step 270 loss 2.595433235168457
MATCH step 271 loss 2.167088508605957
MATCH step 272 loss 2.2207093238830566
MATCH step 273 loss 2.433072566986084
MATCH step 274 loss 4.317689895629883
MATCH step 275 loss 4.109490394592285
MATCH step 276 loss 3.8471312522888184
MATCH step 277 loss 4.068045616149902
MATCH step 278 loss 3.8709678649902344
MATCH step 279 loss 4.144369125366211
MATCH step 280 loss 4.250967979431152
MATCH step 281 loss 3.3878350257873535
MATCH step 282 loss 3.216597557067871
MATCH step 283 loss 4.036404132843018
MATCH step 284 loss 3.023857831954956
MATCH step 285 loss 5.5369672775268555
MATCH step 286 loss 3.349452495574951
MATCH step 287 loss 3.206092596054077
MATCH step 288 loss 3.270111322402954
MATCH step 289 loss 3.2207038402557373
MATCH step 290 loss 3.259242057800293
MATCH step 291 loss 2.7463293075561523
MATCH step 292 loss 2.5120630264282227
MATCH step 293 loss 2.568725347518921
MATCH step 294 loss 2.6692187786102295
MATCH step 295 loss 3.512354850769043
MATCH step 296 loss 2.4726579189300537
MATCH step 297 loss 2.470439910888672
MATCH step 298 loss 2.81789493560791
MATCH step 299 loss 2.7020387649536133
MATCH step 300 loss 2.3244786262512207
MATCH step 301 loss 2.6830618381500244
MATCH step 302 loss 2.6281075477600098
MATCH step 303 loss 2.138411045074463
MATCH step 304 loss 2.1629343032836914
MATCH step 305 loss 2.8913679122924805
MATCH step 306 loss 2.072587251663208
MATCH step 307 loss 2.4683876037597656
MATCH step 308 loss 2.433955669403076
MATCH step 309 loss 2.397404193878174
MATCH step 310 loss 2.0846550464630127
MATCH step 311 loss 2.357006788253784
MATCH step 312 loss 2.7964673042297363
MATCH step 313 loss 4.5792388916015625
MATCH step 314 loss 4.174722671508789
MATCH step 315 loss 3.551560878753662
MATCH step 316 loss 3.1733016967773438
MATCH step 317 loss 2.89330792427063
MATCH step 318 loss 2.687987804412842
MATCH step 319 loss 2.081258535385132
MATCH step 320 loss 2.5347673892974854
MATCH step 321 loss 2.5825419425964355
MATCH step 322 loss 2.8830957412719727
MATCH step 323 loss 3.9429125785827637
MATCH step 324 loss 4.1499247550964355
MATCH step 325 loss 3.9201650619506836
MATCH step 326 loss 3.7915618419647217
MATCH step 327 loss 3.34322452545166
MATCH step 328 loss 3.402097702026367
MATCH step 329 loss 3.209327220916748
MATCH step 330 loss 2.8404784202575684
MATCH step 331 loss 3.164313554763794
MATCH step 332 loss 2.859652519226074
MATCH step 333 loss 3.59647274017334
MATCH step 334 loss 3.6174299716949463
MATCH step 335 loss 2.8157265186309814
MATCH step 336 loss 2.3238353729248047
MATCH step 337 loss 1.8129591941833496
MATCH step 338 loss 3.4660096168518066
MATCH step 339 loss 2.794924020767212
MATCH step 340 loss 2.326584815979004
MATCH step 341 loss 2.3048932552337646
MATCH step 342 loss 1.9841090440750122
MATCH step 343 loss 1.8304078578948975
MATCH step 344 loss 1.5716428756713867
MATCH step 345 loss 1.8623682260513306
MATCH step 346 loss 2.2128050327301025
MATCH step 347 loss 1.666560173034668
MATCH step 348 loss 1.4725124835968018
MATCH step 349 loss 1.4274630546569824
MATCH step 350 loss 1.4259635210037231
MATCH step 351 loss 1.7749558687210083
MATCH step 352 loss 2.089275598526001
MATCH step 353 loss 1.8792097568511963
MATCH step 354 loss 1.7168067693710327
MATCH step 355 loss 1.2240049839019775
MATCH step 356 loss 1.9211583137512207
MATCH step 357 loss 1.4956762790679932
MATCH step 358 loss 1.9583271741867065
MATCH step 359 loss 1.6871726512908936
MATCH step 360 loss 1.9836759567260742
MATCH step 361 loss 1.5390362739562988
MATCH step 362 loss 0.9964592456817627
MATCH step 363 loss 0.8884686231613159
MATCH step 364 loss 0.8150609731674194
MATCH step 365 loss 0.9809733033180237
MATCH step 366 loss 2.0119385719299316
MATCH step 367 loss 1.8601129055023193
MATCH step 368 loss 1.6960813999176025
MATCH step 369 loss 1.5613763332366943
MATCH step 370 loss 2.8199267387390137
MATCH step 371 loss 4.452456474304199
MATCH step 372 loss 3.647707462310791
MATCH step 373 loss 3.141065835952759
MATCH step 374 loss 2.9387600421905518
MATCH step 375 loss 2.908177375793457
MATCH step 376 loss 2.836545467376709
MATCH step 377 loss 3.128278970718384
MATCH step 378 loss 3.9091992378234863
MATCH step 379 loss 4.203757286071777
MATCH step 380 loss 3.395944118499756
MATCH step 381 loss 3.0818474292755127
MATCH step 382 loss 3.0904955863952637
MATCH step 383 loss 2.778817653656006
MATCH step 384 loss 2.575378894805908
MATCH step 385 loss 2.875884532928467
MATCH step 386 loss 2.477593421936035
MATCH step 387 loss 3.162534236907959
MATCH step 388 loss 3.114400625228882
MATCH step 389 loss 3.2926487922668457
MATCH step 390 loss 2.853285789489746
MATCH step 391 loss 2.841844081878662
MATCH step 392 loss 3.516049861907959
MATCH step 393 loss 3.676870346069336
MATCH step 394 loss 3.3112306594848633
MATCH step 395 loss 3.461798667907715
MATCH step 396 loss 3.1428427696228027
MATCH step 397 loss 3.189220428466797
MATCH step 398 loss 2.941835880279541
MATCH step 399 loss 3.479825973510742
MATCH step 400 loss 3.472222328186035
MATCH step 401 loss 3.4860410690307617
MATCH step 402 loss 2.377377986907959
MATCH step 403 loss 2.093629837036133
MATCH step 404 loss 1.904218316078186
MATCH step 405 loss 1.7843387126922607
MATCH step 406 loss 1.3518590927124023
MATCH step 407 loss 1.4489295482635498
MATCH step 408 loss 1.2316675186157227
MATCH step 409 loss 1.033117413520813
MATCH step 410 loss 2.839787721633911
MATCH step 411 loss 1.3886899948120117
MATCH step 412 loss 0.9717893004417419
MATCH step 413 loss 1.1701148748397827
MATCH step 414 loss 0.9950352907180786
MATCH step 415 loss 0.7919398546218872
MATCH step 416 loss 0.8921432495117188
MATCH step 417 loss 0.8195831775665283
MATCH step 418 loss 0.706303596496582
MATCH step 419 loss 1.7000336647033691
MATCH step 420 loss 3.4533863067626953
MATCH step 421 loss 3.8030710220336914
MATCH step 422 loss 3.1948423385620117
MATCH step 423 loss 2.765139579772949
MATCH step 424 loss 3.5914392471313477
MATCH step 425 loss 3.143237829208374
MATCH step 426 loss 3.1253366470336914
MATCH step 427 loss 3.3572990894317627
MATCH step 428 loss 3.4140121936798096
MATCH step 429 loss 3.0100643634796143
MATCH step 430 loss 3.084085464477539
MATCH step 431 loss 3.4733047485351562
MATCH step 432 loss 3.6499581336975098
MATCH step 433 loss 3.0258724689483643
MATCH step 434 loss 2.60729718208313
MATCH step 435 loss 2.530362844467163
MATCH step 436 loss 2.5729875564575195
MATCH step 437 loss 3.560431718826294
MATCH step 438 loss 3.4087753295898438
MATCH step 439 loss 3.562990188598633
MATCH step 440 loss 3.050809860229492
MATCH step 441 loss 2.9879043102264404
MATCH step 442 loss 2.70143985748291
MATCH step 443 loss 2.585068702697754
MATCH step 444 loss 2.5740034580230713
MATCH step 445 loss 2.540173053741455
MATCH step 446 loss 2.4409096240997314
MATCH step 447 loss 2.9628307819366455
MATCH step 448 loss 2.8227357864379883
MATCH step 449 loss 2.9430856704711914
MATCH step 450 loss 3.608445167541504
MATCH step 451 loss 2.8515048027038574
