NOTE: --require-columns defaults to 2 (2026-09-20): every compared cell must rest on at least two real hashes, or it was not compared. Pass --require-columns 0 to turn the floor off, or a higher N to demand more.
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=51f93ced484d8e32e6e5f6f60f1fbe01ec207dd5
NOTE: column cpu-apple-m4 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
NOTE: column arm64 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
| lane/fixture                 | verdict    | cpu-apple-m4     | arm64            |
| gbdt-multiclass-defaults/base | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-multiclass-defaults/base | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-multiclass-defaults/denormal | infer  | IDENTICAL x2 | 41c7cbee9eef6394 | 41c7cbee9eef6394 |
| gbdt-multiclass-defaults/denormal | model  | IDENTICAL x2 | 7073cb97a5f05df3 | 7073cb97a5f05df3 |
| gbdt-multiclass-defaults/denormal | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-multiclass-defaults/denormal | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-multiclass-defaults/denormal | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-multiclass-defaults/denormal | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-multiclass-defaults/denormal | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-multiclass-defaults/odd | infer  | IDENTICAL x2 | e07e861669c93253 | e07e861669c93253 |
| gbdt-multiclass-defaults/odd | model  | IDENTICAL x2 | a381c911e0fe71e0 | a381c911e0fe71e0 |
| gbdt-multiclass-defaults/odd | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-multiclass-defaults/odd | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-multiclass-defaults/odd | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-multiclass-defaults/odd | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-multiclass-defaults/odd | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-multiclass/base         | infer  | IDENTICAL x2 | eb9f3cbfed539fe0 | eb9f3cbfed539fe0 |
| gbdt-multiclass/base         | model  | IDENTICAL x2 | 33d956710bbf8d85 | 33d956710bbf8d85 |
| gbdt-multiclass/base         | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-multiclass/base         | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-multiclass/base         | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-multiclass/base         | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-multiclass/base         | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-multiclass/denormal     | infer  | IDENTICAL x2 | 663b0901c8f1f7e8 | 663b0901c8f1f7e8 |
| gbdt-multiclass/denormal     | model  | IDENTICAL x2 | fae3f33eaab75181 | fae3f33eaab75181 |
| gbdt-multiclass/denormal     | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-multiclass/denormal     | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-multiclass/denormal     | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-multiclass/denormal     | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-multiclass/denormal     | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-multiclass/odd          | infer  | IDENTICAL x2 | 1fa8ad7b45ed2d45 | 1fa8ad7b45ed2d45 |
| gbdt-multiclass/odd          | model  | IDENTICAL x2 | 7396a283e6805a3d | 7396a283e6805a3d |
| gbdt-multiclass/odd          | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-multiclass/odd          | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-multiclass/odd          | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-multiclass/odd          | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-multiclass/odd          | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-nan-modes/base          | infer  | IDENTICAL x2 | 07bb5e7debc63359 | 07bb5e7debc63359 |
| gbdt-nan-modes/base          | model  | IDENTICAL x2 | 21e4e8ab2f27b32b | 21e4e8ab2f27b32b |
| gbdt-nan-modes/base          | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-nan-modes/base          | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-nan-modes/base          | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-nan-modes/base          | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-nan-modes/base          | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-nan-modes/denormal      | infer  | IDENTICAL x2 | 07bb5e7debc63359 | 07bb5e7debc63359 |
| gbdt-nan-modes/denormal      | model  | IDENTICAL x2 | d1f58631b241667c | d1f58631b241667c |
| gbdt-nan-modes/denormal      | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-nan-modes/denormal      | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-nan-modes/denormal      | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-nan-modes/denormal      | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-nan-modes/denormal      | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-nan-modes/odd           | infer  | IDENTICAL x2 | e39662abe465f955 | e39662abe465f955 |
| gbdt-nan-modes/odd           | model  | IDENTICAL x2 | 24590817955c4ec7 | 24590817955c4ec7 |
| gbdt-nan-modes/odd           | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-nan-modes/odd           | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-nan-modes/odd           | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-nan-modes/odd           | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-nan-modes/odd           | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-onevsall/base           | infer  | IDENTICAL x2 | 9ebe038b917dc3d0 | 9ebe038b917dc3d0 |
| gbdt-onevsall/base           | model  | IDENTICAL x2 | 66c3cd878ec16470 | 66c3cd878ec16470 |
| gbdt-onevsall/base           | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-onevsall/base           | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-onevsall/base           | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-onevsall/base           | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-onevsall/base           | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-onevsall/denormal       | infer  | IDENTICAL x2 | 8a1fb012333c53d5 | 8a1fb012333c53d5 |
| gbdt-onevsall/denormal       | model  | IDENTICAL x2 | a1deef011e0cae28 | a1deef011e0cae28 |
| gbdt-onevsall/denormal       | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-onevsall/denormal       | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-onevsall/denormal       | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-onevsall/denormal       | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-onevsall/denormal       | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-onevsall/odd            | infer  | IDENTICAL x2 | df5d7b6325bd9ba1 | df5d7b6325bd9ba1 |
| gbdt-onevsall/odd            | model  | IDENTICAL x2 | bb3d93d69eb06198 | bb3d93d69eb06198 |
| gbdt-onevsall/odd            | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-onevsall/odd            | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-onevsall/odd            | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-onevsall/odd            | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-onevsall/odd            | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ordered-bayesian-noise/base | infer  | IDENTICAL x2 | 8c2155569a87034d | 8c2155569a87034d |
| gbdt-ordered-bayesian-noise/base | model  | IDENTICAL x2 | 43551456a0ebc856 | 43551456a0ebc856 |
| gbdt-ordered-bayesian-noise/base | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ordered-bayesian-noise/base | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ordered-bayesian-noise/base | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ordered-bayesian-noise/base | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-ordered-bayesian-noise/base | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ordered-bayesian-noise/denormal | infer  | IDENTICAL x2 | 8c2155569a87034d | 8c2155569a87034d |
| gbdt-ordered-bayesian-noise/denormal | model  | IDENTICAL x2 | 449d70b33712cd3d | 449d70b33712cd3d |
| gbdt-ordered-bayesian-noise/denormal | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ordered-bayesian-noise/denormal | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ordered-bayesian-noise/denormal | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ordered-bayesian-noise/denormal | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-ordered-bayesian-noise/denormal | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ordered-bayesian-noise/odd | infer  | IDENTICAL x2 | c4610735772620d9 | c4610735772620d9 |
| gbdt-ordered-bayesian-noise/odd | model  | IDENTICAL x2 | 77138401bdd58b02 | 77138401bdd58b02 |
| gbdt-ordered-bayesian-noise/odd | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ordered-bayesian-noise/odd | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ordered-bayesian-noise/odd | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ordered-bayesian-noise/odd | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-ordered-bayesian-noise/odd | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ordered-rmse/base       | infer  | IDENTICAL x2 | 3113f83d552f6e3e | 3113f83d552f6e3e |
| gbdt-ordered-rmse/base       | model  | IDENTICAL x2 | 43540d21322226ab | 43540d21322226ab |
| gbdt-ordered-rmse/base       | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ordered-rmse/base       | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ordered-rmse/base       | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ordered-rmse/base       | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-ordered-rmse/base       | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ordered-rmse/denormal   | infer  | IDENTICAL x2 | 52d52c2862c2d480 | 52d52c2862c2d480 |
| gbdt-ordered-rmse/denormal   | model  | IDENTICAL x2 | ba60376e07b69433 | ba60376e07b69433 |
| gbdt-ordered-rmse/denormal   | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ordered-rmse/denormal   | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ordered-rmse/denormal   | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ordered-rmse/denormal   | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-ordered-rmse/denormal   | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ordered-rmse/odd        | infer  | IDENTICAL x2 | c7f0cb99b920a716 | c7f0cb99b920a716 |
| gbdt-ordered-rmse/odd        | model  | IDENTICAL x2 | 4d02412a6fa569f9 | 4d02412a6fa569f9 |
| gbdt-ordered-rmse/odd        | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ordered-rmse/odd        | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ordered-rmse/odd        | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ordered-rmse/odd        | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-ordered-rmse/odd        | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ordered/base            | infer  | IDENTICAL x2 | 30b64effc3cfebdf | 30b64effc3cfebdf |
| gbdt-ordered/base            | model  | IDENTICAL x2 | 3ebe10dd16986fee | 3ebe10dd16986fee |
| gbdt-ordered/base            | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ordered/base            | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ordered/base            | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ordered/base            | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-ordered/base            | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ordered/denormal        | infer  | IDENTICAL x2 | 30b64effc3cfebdf | 30b64effc3cfebdf |
| gbdt-ordered/denormal        | model  | IDENTICAL x2 | 337411e478a47dd5 | 337411e478a47dd5 |
| gbdt-ordered/denormal        | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ordered/denormal        | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ordered/denormal        | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ordered/denormal        | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-ordered/denormal        | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ordered/odd             | infer  | IDENTICAL x2 | 277876db4737aa6c | 277876db4737aa6c |
| gbdt-ordered/odd             | model  | IDENTICAL x2 | 2762eab7c9aadc51 | 2762eab7c9aadc51 |
| gbdt-ordered/odd             | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ordered/odd             | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ordered/odd             | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ordered/odd             | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-ordered/odd             | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-pair-logit/base         | infer  | IDENTICAL x2 | 4ed2a018d6297fa6 | 4ed2a018d6297fa6 |
| gbdt-pair-logit/base         | model  | IDENTICAL x2 | 06b74b2eb513789c | 06b74b2eb513789c |
| gbdt-pair-logit/base         | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-pair-logit/base         | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-pair-logit/base         | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-pair-logit/base         | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-pair-logit/base         | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-pair-logit/denormal     | infer  | IDENTICAL x2 | 08e9bb25b3a8ea3e | 08e9bb25b3a8ea3e |
| gbdt-pair-logit/denormal     | model  | IDENTICAL x2 | 1c20d4f1961048f4 | 1c20d4f1961048f4 |
| gbdt-pair-logit/denormal     | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-pair-logit/denormal     | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-pair-logit/denormal     | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-pair-logit/denormal     | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-pair-logit/denormal     | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-pair-logit/odd          | infer  | IDENTICAL x2 | da8c0ecbe26b935e | da8c0ecbe26b935e |
| gbdt-pair-logit/odd          | model  | IDENTICAL x2 | f0d0afadfcbc2bee | f0d0afadfcbc2bee |
| gbdt-pair-logit/odd          | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-pair-logit/odd          | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-pair-logit/odd          | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-pair-logit/odd          | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-pair-logit/odd          | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-parametric-losses/base  | infer  | IDENTICAL x2 | 3d20640643af6d14 | 3d20640643af6d14 |
| gbdt-parametric-losses/base  | model  | IDENTICAL x2 | 4a11bb8735629ef7 | 4a11bb8735629ef7 |
| gbdt-parametric-losses/base  | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-parametric-losses/base  | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-parametric-losses/base  | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-parametric-losses/base  | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-parametric-losses/base  | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-parametric-losses/denormal | infer  | IDENTICAL x2 | 93184a205edf0d54 | 93184a205edf0d54 |
| gbdt-parametric-losses/denormal | model  | IDENTICAL x2 | 0bc0279acbd361b0 | 0bc0279acbd361b0 |
| gbdt-parametric-losses/denormal | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-parametric-losses/denormal | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-parametric-losses/denormal | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-parametric-losses/denormal | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-parametric-losses/denormal | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-parametric-losses/odd   | infer  | IDENTICAL x2 | 1055e4b2461669a1 | 1055e4b2461669a1 |
| gbdt-parametric-losses/odd   | model  | IDENTICAL x2 | 04787435a7cc0b1d | 04787435a7cc0b1d |
| gbdt-parametric-losses/odd   | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-parametric-losses/odd   | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-parametric-losses/odd   | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-parametric-losses/odd   | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-parametric-losses/odd   | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-pointwise-l2-bayesian-eval/base | infer  | IDENTICAL x2 | 2754757c200872f3 | 2754757c200872f3 |
| gbdt-pointwise-l2-bayesian-eval/base | model  | IDENTICAL x2 | c29dddb945d072a8 | c29dddb945d072a8 |
| gbdt-pointwise-l2-bayesian-eval/base | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-pointwise-l2-bayesian-eval/base | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-pointwise-l2-bayesian-eval/base | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-pointwise-l2-bayesian-eval/base | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-pointwise-l2-bayesian-eval/base | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-pointwise-l2-bayesian-eval/denormal | infer  | IDENTICAL x2 | 2754757c200872f3 | 2754757c200872f3 |
| gbdt-pointwise-l2-bayesian-eval/denormal | model  | IDENTICAL x2 | cc76fd996e83a163 | cc76fd996e83a163 |
| gbdt-pointwise-l2-bayesian-eval/denormal | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-pointwise-l2-bayesian-eval/denormal | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-pointwise-l2-bayesian-eval/denormal | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-pointwise-l2-bayesian-eval/denormal | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-pointwise-l2-bayesian-eval/denormal | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-pointwise-l2-bayesian-eval/odd | infer  | IDENTICAL x2 | e1aec5dad8dc37f0 | e1aec5dad8dc37f0 |
| gbdt-pointwise-l2-bayesian-eval/odd | model  | IDENTICAL x2 | 6ea8282d329c6c7e | 6ea8282d329c6c7e |
| gbdt-pointwise-l2-bayesian-eval/odd | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-pointwise-l2-bayesian-eval/odd | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-pointwise-l2-bayesian-eval/odd | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-pointwise-l2-bayesian-eval/odd | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-pointwise-l2-bayesian-eval/odd | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-query-rmse/base         | infer  | IDENTICAL x2 | c5dd11cce5027431 | c5dd11cce5027431 |
| gbdt-query-rmse/base         | model  | IDENTICAL x2 | 773082ee900f4629 | 773082ee900f4629 |
| gbdt-query-rmse/base         | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-query-rmse/base         | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-query-rmse/base         | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-query-rmse/base         | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-query-rmse/base         | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-query-rmse/denormal     | infer  | IDENTICAL x2 | 1e4eeb0927efece5 | 1e4eeb0927efece5 |
| gbdt-query-rmse/denormal     | model  | IDENTICAL x2 | cddf4fcffcb48d08 | cddf4fcffcb48d08 |
| gbdt-query-rmse/denormal     | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-query-rmse/denormal     | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-query-rmse/denormal     | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-query-rmse/denormal     | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-query-rmse/denormal     | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-query-rmse/odd          | infer  | IDENTICAL x2 | 66a562a9f1518dd7 | 66a562a9f1518dd7 |
| gbdt-query-rmse/odd          | model  | IDENTICAL x2 | 850fcd0f8a7c5a1a | 850fcd0f8a7c5a1a |
| gbdt-query-rmse/odd          | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-query-rmse/odd          | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-query-rmse/odd          | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-query-rmse/odd          | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-query-rmse/odd          | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ranking-defaults/base   | infer  | IDENTICAL x2 | 3bea141d6615e8da | 3bea141d6615e8da |
| gbdt-ranking-defaults/base   | model  | IDENTICAL x2 | 30c8158e6167057e | 30c8158e6167057e |
| gbdt-ranking-defaults/base   | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ranking-defaults/base   | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ranking-defaults/base   | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ranking-defaults/base   | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| gbdt-ranking-defaults/base   | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| gbdt-ranking-defaults/denormal | infer  | IDENTICAL x2 | 6be06ff790346e86 | 6be06ff790346e86 |
| gbdt-ranking-defaults/denormal | model  | IDENTICAL x2 | 0783f45c64f31f3c | 0783f45c64f31f3c |
| gbdt-ranking-defaults/denormal | batch  | N/A          | n/a:skipped (--no-batch) | n/a:skipped (--no-batch) |
| gbdt-ranking-defaults/denormal | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| gbdt-ranking-defaults/denormal | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| gbdt-ranking-defaults/denormal | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
