NOTE: --require-columns defaults to 2 (2026-09-20): every compared cell must rest on at least two real hashes, or it was not compared. Pass --require-columns 0 to turn the floor off, or a higher N to demand more.
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=51f93ced484d8e32e6e5f6f60f1fbe01ec207dd5
NOTE: column cpu-apple-m4 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
NOTE: column arm64 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
| lane/fixture                 | verdict    | cpu-apple-m4     | arm64            |
| dbscan-weighted/denormal     | IDENTICAL x2 | d3c48a5338826d18 | d3c48a5338826d18 |
| dbscan-weighted/odd          | IDENTICAL x2 | 6a9b77cffd9e2493 | 6a9b77cffd9e2493 |
| dbscan/base                  | IDENTICAL x2 | 64df251bd00de81b | 64df251bd00de81b |
| dbscan/denormal              | IDENTICAL x2 | 9c0b3563fc16b652 | 9c0b3563fc16b652 |
| dbscan/odd                   | IDENTICAL x2 | 54d129f45630ea84 | 54d129f45630ea84 |
| elasticnet-l2end-no-intercept/base | IDENTICAL x2 | 5346e205a1021396 | 5346e205a1021396 |
| elasticnet-l2end-no-intercept/denormal | IDENTICAL x2 | 87ba9a45e3804809 | 87ba9a45e3804809 |
| elasticnet-l2end-no-intercept/odd | IDENTICAL x2 | 810604d104c7fb79 | 810604d104c7fb79 |
| elasticnet/base              | IDENTICAL x2 | 2cf742083831ee9d | 2cf742083831ee9d |
| elasticnet/denormal          | IDENTICAL x2 | 3add60ff69fd788c | 3add60ff69fd788c |
| elasticnet/odd               | IDENTICAL x2 | 1a518e703b7dd1d9 | 1a518e703b7dd1d9 |
| embedding-sort/base          | IDENTICAL x2 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 |
| embedding-sort/denormal      | IDENTICAL x2 | 59595db92ff1929f | 59595db92ff1929f |
| embedding-sort/odd           | IDENTICAL x2 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 |
| embedding/base               | IDENTICAL x2 | bcc23cf76ecd9bd0 | bcc23cf76ecd9bd0 |
