build-base	0	57
build-metrics	0	69
record	0	9
build-core-host	0	18
build-metrics-host	0	23
build-core-host-sabotage	0	18
build-metrics-host-sabotage	0	24
build-core-host-predict-sabotage	0	18
check	0	8
sabotage-every-fixture	0	7
sabotage-every-lane	0	8
sabotage-predict-define	0	8
A_gpu_infer	0	5
B_host_infer	0	6
C_diff_gpu_host	0	1
D_host_sabotage	1	6
E_diff_gpu_sabotage	1	0
F_boundary_bytes	0	3
kmeans-column	0	24
kmeans-batch-sabotage	1	3
kmeans-diff-batch-sabotage	1	1
spectral-cpu-column	0	10
spectral-cpu-host-sabotage	0	2
spectral-cpu-diff-sabotage	1	1
