download-taxi	1	1s
build-price	0	24s
build-binding-base	0	41s
build-binding-estimators	0	50s
build-binding-gp	0	35s
smoke	1	2s
download-istella	0	1372s
gp.taxi.tuned128.1	3	0s
gp.taxi.default.1	3	1s
gp.taxi.default.2	3	0s
gp.taxi.tuned128.2	3	0s
ols.taxi.tuned128.1	3	1s
ols.taxi.default.1	3	0s
ols.taxi.default.2	3	0s
ols.taxi.tuned128.2	3	1s
pca.taxi.tuned128.1	3	0s
pca.taxi.default.1	3	0s
pca.taxi.default.2	3	1s
pca.taxi.tuned128.2	3	0s
gp.istella.tuned128.1	3	8s
gp.istella.default.1	3	2s
gp.istella.default.2	3	3s
gp.istella.tuned128.2	3	3s
ols.istella.tuned128.1	0	87s
ols.istella.default.1	0	35s
ols.istella.default.2	0	39s
ols.istella.tuned128.2	0	40s
pca.istella.tuned128.1	0	34s
pca.istella.default.1	0	25s
pca.istella.default.2	0	53s
pca.istella.tuned128.2	0	30s
dispatch	0	8 lines
verdicts	1	0s
