Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.1,450366368,342,1316860.7,468048.0,460448,31530408,3923366.5,gemm_checks_gemm_identical_id6A6A6A6A6A6A_6e0e904c41851a9e
14.2,135610802,168,807207.2,482240.0,477312,1252576,378808.5,gemm_checks_gemm_identical_id6A6A6A6A6A6A_4756606400325dd8
8.9,85363573,24,3556815.5,3555953.0,3539521,3571904,10012.8,transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1
7.1,67640277,24,2818344.9,2817473.0,2804768,2836450,8552.9,transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a
6.6,62860563,24,2619190.1,2619136.5,2603105,2631841,7261.6,transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490
5.3,50319791,24,2096658.0,2094656.5,2087360,2108193,6489.0,transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e
1.3,12039427,2,6019713.5,6019713.5,5987682,6051745,45299.4,gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2
1.2,11621856,196,59295.2,8336.0,1600,1315360,183617.0,core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb
0.9,8836967,168,52601.0,44224.0,42944,65152,10104.4,gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf
0.9,8566049,48,178459.4,178624.0,168480,190976,6200.3,transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886
0.5,4475104,2,2237552.0,2237552.0,2231456,2243648,8621.0,training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae
0.5,4471680,2,2235840.0,2235840.0,2230976,2240704,6878.7,training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c
0.5,4307681,24,179486.7,179312.0,177664,181312,932.8,transformer_checks_transformer6A6A6A6A_701f75a72b36f978
0.4,4036696,168,24028.0,23552.0,21504,28640,2166.3,transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48
0.4,3942942,48,82144.6,82096.0,80992,83872,605.5,transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7
0.4,3819265,2,1909632.5,1909632.5,1906305,1912960,4705.8,training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde
0.4,3474018,2,1737009.0,1737009.0,1733857,1740161,4457.6,training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6
0.4,3383230,48,70484.0,70592.0,69952,70816,241.6,transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae
0.3,3336283,48,69505.9,69408.0,69120,70400,283.2,transformer_checks_transformer6A6A6A6A_9e49fedb5168a455
0.3,2818016,48,58708.7,58848.0,49568,67744,8570.0,transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c
0.2,2058817,4,514704.3,514752.0,513697,515616,877.7,core_device_scan_negative_part6A6A6A6A_c691e2646998e577
0.2,1947615,24,81150.6,81296.0,80512,81504,328.3,transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a
0.2,1939168,24,80798.7,80848.0,80288,81152,248.9,transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533
0.2,1720128,2,860064.0,860064.0,859680,860448,543.1,embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999
0.2,1665123,24,69380.1,69360.5,69024,69920,203.9,transformer_checks_transformer6A6A6A6A_e0aadbba61216e38
0.2,1573410,24,65558.8,65616.0,65184,65825,223.2,transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f
0.2,1551809,48,32329.4,32400.0,31552,33376,563.1,mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2
0.2,1528929,2,764464.5,764464.5,763296,765633,1652.5,training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6
0.2,1518016,48,31625.3,31680.0,31136,32416,369.6,transformer_checks_transformer6A6A6A6A_6755bf37231227cb
0.2,1516741,48,31598.8,31456.5,31264,32288,293.6,transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e
0.2,1469408,8,183676.0,183760.0,183296,184000,242.8,training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752
0.1,1132160,24,47173.3,47136.0,44192,48128,778.9,training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214
0.1,1130945,24,47122.7,46976.5,46880,47744,261.9,training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304
0.1,953920,24,39746.7,39744.0,39168,40481,413.0,transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0
0.1,911930,48,18998.5,18895.5,18080,20160,536.0,gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e
0.1,739267,24,30802.8,30784.5,30720,30945,41.3,transformer_checks_transformer6A6A6A6A_c48a0c1f6177d9d0
0.1,656833,2,328416.5,328416.5,327713,329120,994.9,embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543
0.0,238975,2,119487.5,119487.5,118976,119999,723.4,embedding_checks_embedding_ide6A6A6A6A_b184d11bcef68fe0
