lane	dataset	arm	rows	ok_rounds	median_ms	min_ms	max_ms	spread	digest_stable	status	paired_ratio_over_first
ols	taxi	cpu-before	500000	5	35.8685	34.4360	51.6662	1.5004	True	flagged	
ols	taxi	cpu-after	500000	5	6.0858	4.3322	10.1212	2.3363	True	flagged	0.1697
ols	taxi	cpu-after-16	500000	5	6.4448	5.0495	7.5945	1.5040	True	flagged	0.1720
ols	istella	cpu-before	500000	5	598.1754	573.8346	946.2231	1.6489	True	flagged	
ols	istella	cpu-after	500000	5	50.8252	36.4186	75.6772	2.0780	True	flagged	0.0874
ols	istella	cpu-after-16	500000	5	45.3170	42.4127	60.5572	1.4278	True	flagged	0.0735
pca	taxi	cpu-before	500000	5	290.2599	271.8730	320.5357	1.1790	True	flagged	
pca	taxi	cpu-after	500000	5	23.7983	18.8241	30.1588	1.6021	True	flagged	0.0821
pca	taxi	cpu-after-16	500000	5	32.8332	28.5425	46.5244	1.6300	True	flagged	0.1149
pca	istella	cpu-before	500000	5	4918.2562	4769.1128	5401.9350	1.1327	True	flagged	
pca	istella	cpu-after	500000	5	279.0843	250.6903	338.3771	1.3498	True	flagged	0.0551
pca	istella	cpu-after-16	500000	5	188.6308	171.6145	256.8763	1.4968	True	flagged	0.0375
kde	taxi	cpu-before	200	5	2220.4242	2192.8227	2302.9749	1.0502	True	ok	
kde	taxi	cpu-after	200	5	146.3815	90.7522	182.6301	2.0124	True	flagged	0.0587
kde	taxi	cpu-after-16	200	5	137.3048	109.0657	171.9163	1.5763	True	flagged	0.0673
kde	istella	cpu-before	200	5	25582.8800	25502.6685	25958.7104	1.0179	True	ok	
kde	istella	cpu-after	200	5	1723.4987	1548.5351	1874.9081	1.2108	True	flagged	0.0677
kde	istella	cpu-after-16	200	5	1387.1911	1367.0588	1480.3274	1.0829	True	ok	0.0541
knn	taxi	cpu-before	100	5	3601.8612	3576.7200	3642.4705	1.0184	True	ok	
knn	taxi	cpu-after	100	5	578.5009	545.3922	673.5197	1.2349	True	flagged	0.1602
knn	taxi	cpu-after-16	100	5	566.3647	543.7624	613.0848	1.1275	True	flagged	0.1577
knn	istella	cpu-before	100	5	42974.0732	42685.1258	43464.4820	1.0183	True	ok	
knn	istella	cpu-after	100	5	3743.1002	3368.4273	4255.3781	1.2633	True	flagged	0.0873
knn	istella	cpu-after-16	100	5	3431.9440	3185.0162	3651.2531	1.1464	True	flagged	0.0805
