lane	dataset	arm	rows	ok_rounds	median_ms	min_ms	max_ms	spread	digest_stable	status	paired_ratio_over_first
ols	taxi	cpu-before	500000	5	37.4153	34.8189	54.3159	1.5600	True	flagged	
ols	taxi	cpu-after	500000	5	5.7083	4.1641	7.7477	1.8606	True	flagged	0.1526
ols	taxi	cpu-after-1thread	500000	5	19.9528	18.8035	20.7667	1.1044	True	flagged	0.5539
ols	taxi	gpu-base	500000	5	6.0896	4.2410	8.3775	1.9754	True	flagged	0.1628
ols	istella	cpu-before	500000	5	788.4240	578.2255	937.1199	1.6207	True	flagged	
ols	istella	cpu-after	500000	5	39.3978	34.0044	83.2450	2.4481	True	flagged	0.0615
ols	istella	cpu-after-1thread	500000	5	428.4189	419.5297	444.7682	1.0602	True	ok	0.6609
ols	istella	gpu-base	500000	5	57.5420	40.7959	82.5608	2.0238	True	flagged	0.0974
pca	taxi	cpu-before	500000	5	298.4116	276.3957	332.2695	1.2022	True	flagged	
pca	taxi	cpu-after	500000	5	25.3958	19.7404	33.6087	1.7025	True	flagged	0.0851
pca	taxi	cpu-after-1thread	500000	5	134.2985	129.3378	140.4982	1.0863	True	ok	0.4523
pca	taxi	gpu-base	500000	5	10.9642	8.6544	20.1422	2.3274	True	flagged	0.0338
pca	istella	cpu-before	500000	5	5091.8461	4733.7779	5413.5845	1.1436	True	flagged	
pca	istella	cpu-after	500000	5	295.3315	280.0003	372.2443	1.3294	True	flagged	0.0601
pca	istella	cpu-after-1thread	500000	5	2476.5526	2453.9855	2515.7083	1.0252	True	ok	0.4882
pca	istella	gpu-base	500000	5	67.2379	55.3554	95.3085	1.7218	True	flagged	0.0126
knn	taxi	cpu-before	100	5	3584.1455	3574.0232	3617.7055	1.0122	True	ok	
knn	taxi	cpu-after	100	5	588.7783	517.2545	653.1943	1.2628	True	flagged	0.1604
knn	taxi	cpu-after-1thread	100	5	2663.9790	2656.1767	2720.3250	1.0242	True	ok	0.7432
knn	taxi	gpu-base	4000	5	43.8684	37.4247	44.8178	1.1975	True	flagged	
knn	istella	cpu-before	100	5	43157.6998	42838.5956	44557.9227	1.0401	True	ok	
knn	istella	cpu-after	100	5	3662.8101	3331.6149	4083.7547	1.2258	True	flagged	0.0844
knn	istella	cpu-after-1thread	100	5	33262.5735	32314.8140	34202.7160	1.0584	True	ok	0.7645
knn	istella	gpu-base	4000	5	130.5874	109.5323	144.9506	1.3234	True	flagged	
kde	taxi	cpu-before	200	5	2201.1708	2188.3789	2239.9341	1.0236	True	ok	
kde	taxi	cpu-after	200	5	161.8173	101.0264	181.0374	1.7920	True	flagged	0.0736
kde	taxi	cpu-after-1thread	200	5	1675.7936	1671.3255	1682.9884	1.0070	True	ok	0.7611
kde	taxi	gpu-base	2000	5	50.2423	47.6590	51.3337	1.0771	True	ok	
kde	istella	cpu-before	200	5	25668.0338	25422.4919	26329.2565	1.0357	True	ok	
kde	istella	cpu-after	200	5	1677.8858	1537.8472	1822.3933	1.1850	True	flagged	0.0645
kde	istella	cpu-after-1thread	200	5	18272.3256	18201.5880	18821.7947	1.0341	True	ok	0.7105
kde	istella	gpu-base	2000	5	77.5403	74.5707	82.3487	1.1043	True	flagged	
