NOTE: --lanes scopes this diff to 6 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-7742-64-core-processor is a CPU column: cpu_model='AMD EPYC 7742 64-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_metrics_host'] commit=8511c8c518088829c86cd052a1dee0125cd1939e
| lane/fixture                 | verdict    | amd-amd-instinct-mi300x-gfx942 | nvidia-nvidia-a100-sxm4-80gb-sm_80 | cpu-amd-epyc-7742-64-core-processor |
|------------------------------|------------|------------------|------------------|------------------|
| dbscan-weighted/denormal     | model  | ONE-COLUMN   | REFUSED          | 0c1ef67464dfa955 | (not run)        |
| dbscan-weighted/denormal     | batch  | ONE-COLUMN   | REFUSED          | a8e67882b424a053 | (not run)        |
| dbscan-weighted/denormal_ftz | infer  | ONE-COLUMN   | REFUSED          | 3a6472714f51d8ab | (not run)        |
| dbscan-weighted/denormal_ftz | model  | ONE-COLUMN   | REFUSED          | 64b59d15319ec18c | (not run)        |
| dbscan-weighted/denormal_ftz | batch  | ONE-COLUMN   | REFUSED          | a8e67882b424a053 | (not run)        |
| dbscan-weighted/dupes        | infer  | ONE-COLUMN   | REFUSED          | 29d206737766caf0 | (not run)        |
| dbscan-weighted/dupes        | model  | ONE-COLUMN   | REFUSED          | 0db3aac99393d616 | (not run)        |
| dbscan-weighted/dupes        | batch  | ONE-COLUMN   | REFUSED          | f7e7d24690d3107e | (not run)        |
| dbscan-weighted/hashed       | infer  | ONE-COLUMN   | REFUSED          | 3a6472714f51d8ab | (not run)        |
| dbscan-weighted/hashed       | model  | ONE-COLUMN   | REFUSED          | 22074f6988a2878e | (not run)        |
| dbscan-weighted/hashed       | batch  | ONE-COLUMN   | REFUSED          | a8e67882b424a053 | (not run)        |
| dbscan-weighted/negative     | infer  | ONE-COLUMN   | REFUSED          | 3a6472714f51d8ab | (not run)        |
| dbscan-weighted/negative     | model  | ONE-COLUMN   | REFUSED          | fd44ca1342fbd3c5 | (not run)        |
| dbscan-weighted/negative     | batch  | ONE-COLUMN   | REFUSED          | a8e67882b424a053 | (not run)        |
| dbscan-weighted/odd          | infer  | ONE-COLUMN   | REFUSED          | 22e3872de99d04f6 | (not run)        |
| dbscan-weighted/odd          | model  | ONE-COLUMN   | REFUSED          | 2c5e1b04c08b5d97 | (not run)        |
| dbscan-weighted/odd          | batch  | ONE-COLUMN   | REFUSED          | ca397a1032011cd9 | (not run)        |
| dbscan-weighted/ties         | infer  | ONE-COLUMN   | REFUSED          | 9c8a2ca10937b6b1 | (not run)        |
| dbscan-weighted/ties         | model  | ONE-COLUMN   | REFUSED          | cca8baca73f60bac | (not run)        |
| dbscan-weighted/ties         | batch  | ONE-COLUMN   | REFUSED          | 1b1361f65f9b5250 | (not run)        |
| dbscan-weighted/wide         | infer  | ONE-COLUMN   | REFUSED          | 3a6472714f51d8ab | (not run)        |
| dbscan-weighted/wide         | model  | ONE-COLUMN   | REFUSED          | 12450128a5b4be8b | (not run)        |
| dbscan-weighted/wide         | batch  | ONE-COLUMN   | REFUSED          | a8e67882b424a053 | (not run)        |
| dbscan/base                  | infer  | IDENTICAL x2 | e6e720fcb54b180e | e6e720fcb54b180e | (not run)        |
| dbscan/base                  | model  | IDENTICAL x2 | c36812c6260e7ee6 | c36812c6260e7ee6 | (not run)        |
| dbscan/base                  | batch  | IDENTICAL x2 | f7e7d24690d3107e | f7e7d24690d3107e | (not run)        |
| dbscan/denormal              | infer  | ONE-COLUMN   | REFUSED          | 3a6472714f51d8ab | (not run)        |
| dbscan/denormal              | model  | ONE-COLUMN   | REFUSED          | af8f5b102930fc66 | (not run)        |
| dbscan/denormal              | batch  | ONE-COLUMN   | REFUSED          | a8e67882b424a053 | (not run)        |
| dbscan/denormal_ftz          | infer  | ONE-COLUMN   | REFUSED          | 3a6472714f51d8ab | (not run)        |
| dbscan/denormal_ftz          | model  | ONE-COLUMN   | REFUSED          | ea374d169392e62d | (not run)        |
| dbscan/denormal_ftz          | batch  | ONE-COLUMN   | REFUSED          | a8e67882b424a053 | (not run)        |
| dbscan/dupes                 | infer  | IDENTICAL x2 | e6e720fcb54b180e | e6e720fcb54b180e | (not run)        |
| dbscan/dupes                 | model  | IDENTICAL x2 | c36812c6260e7ee6 | c36812c6260e7ee6 | (not run)        |
| dbscan/dupes                 | batch  | IDENTICAL x2 | f7e7d24690d3107e | f7e7d24690d3107e | (not run)        |
| dbscan/hashed                | infer  | IDENTICAL x2 | 3a6472714f51d8ab | 3a6472714f51d8ab | (not run)        |
| dbscan/hashed                | model  | IDENTICAL x2 | 22074f6988a2878e | 22074f6988a2878e | (not run)        |
| dbscan/hashed                | batch  | IDENTICAL x2 | a8e67882b424a053 | a8e67882b424a053 | (not run)        |
| dbscan/negative              | infer  | ONE-COLUMN   | REFUSED          | 3a6472714f51d8ab | (not run)        |
| dbscan/negative              | model  | ONE-COLUMN   | REFUSED          | 6211d942d0c33fa2 | (not run)        |
| dbscan/negative              | batch  | ONE-COLUMN   | REFUSED          | a8e67882b424a053 | (not run)        |
| dbscan/odd                   | infer  | ONE-COLUMN   | REFUSED          | 22e3872de99d04f6 | (not run)        |
| dbscan/odd                   | model  | ONE-COLUMN   | REFUSED          | 8f762291a36100db | (not run)        |
| dbscan/odd                   | batch  | ONE-COLUMN   | REFUSED          | ca397a1032011cd9 | (not run)        |
| dbscan/ties                  | infer  | IDENTICAL x2 | 63990f64c63d296b | 63990f64c63d296b | (not run)        |
| dbscan/ties                  | model  | IDENTICAL x2 | 7c766eb707695149 | 7c766eb707695149 | (not run)        |
| dbscan/ties                  | batch  | IDENTICAL x2 | be9e40c554329827 | be9e40c554329827 | (not run)        |
| dbscan/wide                  | infer  | ONE-COLUMN   | REFUSED          | 3a6472714f51d8ab | (not run)        |
| dbscan/wide                  | model  | ONE-COLUMN   | REFUSED          | 12450128a5b4be8b | (not run)        |
| dbscan/wide                  | batch  | ONE-COLUMN   | REFUSED          | a8e67882b424a053 | (not run)        |
| spectral-precomputed/base    | infer  | IDENTICAL x3 | bb2835f47f32e74d | bb2835f47f32e74d | bb2835f47f32e74d |
| spectral-precomputed/base    | model  | IDENTICAL x3 | 6b04b89cfa623e45 | 6b04b89cfa623e45 | 6b04b89cfa623e45 |
| spectral-precomputed/base    | batch  | IDENTICAL x3 | 403839d9afb03ede | 403839d9afb03ede | 403839d9afb03ede |
| spectral-precomputed/denormal | infer  | IDENTICAL x3 | 7cd8401e0437ce89 | 7cd8401e0437ce89 | 7cd8401e0437ce89 |
| spectral-precomputed/denormal | model  | IDENTICAL x3 | 0df4233607620b15 | 0df4233607620b15 | 0df4233607620b15 |
| spectral-precomputed/denormal | batch  | IDENTICAL x3 | 600fc84e875132a6 | 600fc84e875132a6 | 600fc84e875132a6 |
| spectral-precomputed/denormal_ftz | infer  | IDENTICAL x3 | 7cd8401e0437ce89 | 7cd8401e0437ce89 | 7cd8401e0437ce89 |
| spectral-precomputed/denormal_ftz | model  | IDENTICAL x3 | 0df4233607620b15 | 0df4233607620b15 | 0df4233607620b15 |
