lane	n	fast_med_s	ident_med_s	ratio_med	ratio_min	ratio_max	fast_min_s	fast_max_s	ident_min_s	ident_max_s	fast_hash	ident_hash	hash_note
cd	5	0.088924	0.110954	1.248	1.145	1.262	0.088021	0.096862	0.103952	0.111067	3bc909a47ebc9bda	3cb298860e514e8a	fast!=ident bits
kde	5	0.016950	0.017001	1.003	0.740	1.495	0.015896	0.022961	0.015961	0.023967	110eb573543dcc0f	3719b9e6a55377a7	fast!=ident bits
linkage	5	0.255975	0.243948	0.953	0.934	1.016	0.240003	0.263947	0.239029	0.263226	5d3155fc940e61d2	5d3155fc940e61d2	fast==ident bits
svm	5	0.384048	0.383968	1.000	0.935	1.064	0.360926	0.403087	0.367858	0.392991	2def386e7266a86a	9bec403e03e1a2cc	fast!=ident bits
metrics	5	0.216003	0.217946	1.009	0.962	1.043	0.208944	0.221930	0.200985	0.225146	b4955292d4bc678f	2321a95d3439fc2b	fast!=ident bits
gemm	5	0.009207	0.008046	0.874	0.785	1.090	0.008130	0.010242	0.007693	0.009574	79adfe2dd5bd57e6	79adfe2dd5bd57e6	fast==ident bits
