lane	mode	round	seconds	hash
cd	FAST	1	0.007365	3bc909a47ebc9bda
cd	IDENTICAL	1	0.012622	3cb298860e514e8a
cd	FAST	2	0.007497	3bc909a47ebc9bda
cd	IDENTICAL	2	0.008986	3cb298860e514e8a
cd	FAST	3	0.006551	3bc909a47ebc9bda
cd	IDENTICAL	3	0.009489	3cb298860e514e8a
cd	FAST	4	0.007068	3bc909a47ebc9bda
cd	IDENTICAL	4	0.009967	3cb298860e514e8a
cd	FAST	5	0.007648	3bc909a47ebc9bda
cd	IDENTICAL	5	0.012122	3cb298860e514e8a
kde	FAST	1	0.003091	110eb573543dcc0f
kde	IDENTICAL	1	0.00304	3719b9e6a55377a7
kde	FAST	2	0.0032	110eb573543dcc0f
kde	IDENTICAL	2	0.003799	3719b9e6a55377a7
kde	FAST	3	0.003276	110eb573543dcc0f
kde	IDENTICAL	3	0.003995	3719b9e6a55377a7
kde	FAST	4	0.002892	110eb573543dcc0f
kde	IDENTICAL	4	0.003884	3719b9e6a55377a7
kde	FAST	5	0.003525	110eb573543dcc0f
kde	IDENTICAL	5	0.003575	3719b9e6a55377a7
linkage	FAST	1	0.015171	5d3155fc940e61d2
linkage	IDENTICAL	1	0.010667	5d3155fc940e61d2
linkage	FAST	2	0.01132	5d3155fc940e61d2
linkage	IDENTICAL	2	0.011279	5d3155fc940e61d2
linkage	FAST	3	0.011419	5d3155fc940e61d2
linkage	IDENTICAL	3	0.011176	5d3155fc940e61d2
linkage	FAST	4	0.011133	5d3155fc940e61d2
linkage	IDENTICAL	4	0.011232	5d3155fc940e61d2
linkage	FAST	5	0.010353	5d3155fc940e61d2
linkage	IDENTICAL	5	0.010249	5d3155fc940e61d2
svm	FAST	1	0.017424	2def386e7266a86a
svm	IDENTICAL	1	0.020373	9bec403e03e1a2cc
svm	FAST	2	0.015978	2def386e7266a86a
svm	IDENTICAL	2	0.019268	9bec403e03e1a2cc
svm	FAST	3	0.020871	2def386e7266a86a
svm	IDENTICAL	3	0.016519	9bec403e03e1a2cc
svm	FAST	4	0.018298	2def386e7266a86a
svm	IDENTICAL	4	0.021068	9bec403e03e1a2cc
svm	FAST	5	0.022305	2def386e7266a86a
svm	IDENTICAL	5	0.018145	9bec403e03e1a2cc
metrics	FAST	1	0.012221	b4955292d4bc678f
metrics	IDENTICAL	1	0.010382	2321a95d3439fc2b
metrics	FAST	2	0.009376	b4955292d4bc678f
metrics	IDENTICAL	2	0.011196	2321a95d3439fc2b
metrics	FAST	3	0.012427	b4955292d4bc678f
metrics	IDENTICAL	3	0.012213	2321a95d3439fc2b
metrics	FAST	4	0.012477	b4955292d4bc678f
metrics	IDENTICAL	4	0.012843	2321a95d3439fc2b
metrics	FAST	5	0.012803	b4955292d4bc678f
metrics	IDENTICAL	5	0.009226	2321a95d3439fc2b
gemm	FAST	1	0.00071	79adfe2dd5bd57e6
gemm	IDENTICAL	1	0.003309	79adfe2dd5bd57e6
gemm	FAST	2	0.000732	79adfe2dd5bd57e6
gemm	IDENTICAL	2	0.003267	79adfe2dd5bd57e6
gemm	FAST	3	0.000799	79adfe2dd5bd57e6
gemm	IDENTICAL	3	0.003165	79adfe2dd5bd57e6
gemm	FAST	4	0.000569	79adfe2dd5bd57e6
gemm	IDENTICAL	4	0.003328	79adfe2dd5bd57e6
gemm	FAST	5	0.000638	79adfe2dd5bd57e6
gemm	IDENTICAL	5	0.003297	79adfe2dd5bd57e6
