NOTE: --lanes scopes this diff to 17 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_estimators_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_preprocessing_host', '_mojolearn_solver_host'] commit=59cbcedd2b3c7bb809ffd3b28dc26a2d7791c8fa
| lane/fixture                 | verdict    | arm64            | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|
| logistic-l1/odd              | batch  | IDENTICAL x2 | a412f35d8b8f12f3 | a412f35d8b8f12f3 |
| logistic-unpenalized-no-intercept/base | infer  | IDENTICAL x2 | cdf9799cd24dc82b | cdf9799cd24dc82b |
| logistic-unpenalized-no-intercept/base | model  | IDENTICAL x2 | 39289af0a057344b | 39289af0a057344b |
| logistic-unpenalized-no-intercept/base | batch  | IDENTICAL x2 | 78b7d1e815634918 | 78b7d1e815634918 |
| logistic-unpenalized-no-intercept/denormal | infer  | IDENTICAL x2 | bb1c22a7662b5818 | bb1c22a7662b5818 |
| logistic-unpenalized-no-intercept/denormal | model  | IDENTICAL x2 | d69f80caed7c3bf0 | d69f80caed7c3bf0 |
| logistic-unpenalized-no-intercept/denormal | batch  | IDENTICAL x2 | eba48adb0f43e69c | eba48adb0f43e69c |
| logistic-unpenalized-no-intercept/odd | infer  | IDENTICAL x2 | 96b781fca9afcde0 | 96b781fca9afcde0 |
| logistic-unpenalized-no-intercept/odd | model  | IDENTICAL x2 | e82a04f98e35b088 | e82a04f98e35b088 |
| logistic-unpenalized-no-intercept/odd | batch  | IDENTICAL x2 | 580129145dacc4f5 | 580129145dacc4f5 |
| minmax-scaler-clip/base      | infer  | IDENTICAL x2 | 601b3471b9f7478a | 601b3471b9f7478a |
| minmax-scaler-clip/base      | model  | IDENTICAL x2 | 2df3dff433519713 | 2df3dff433519713 |
| minmax-scaler-clip/base      | batch  | IDENTICAL x2 | 5d3b185c6df7c1b8 | 5d3b185c6df7c1b8 |
| minmax-scaler-clip/denormal  | infer  | IDENTICAL x2 | 672201861cc97847 | 672201861cc97847 |
| minmax-scaler-clip/denormal  | model  | IDENTICAL x2 | 8ff5b72119fa36fa | 8ff5b72119fa36fa |
| minmax-scaler-clip/denormal  | batch  | IDENTICAL x2 | 1f03e7472d6c92a6 | 1f03e7472d6c92a6 |
| minmax-scaler-clip/odd       | infer  | IDENTICAL x2 | 667e82d3d7ee49dd | 667e82d3d7ee49dd |
| minmax-scaler-clip/odd       | model  | IDENTICAL x2 | 03cc4e1eaeafb283 | 03cc4e1eaeafb283 |
| minmax-scaler-clip/odd       | batch  | IDENTICAL x2 | a6c1e06513ef4a67 | a6c1e06513ef4a67 |
| minmax-scaler/base           | infer  | IDENTICAL x2 | 5b934842e164f80f | 5b934842e164f80f |
| minmax-scaler/base           | model  | IDENTICAL x2 | 24956a7dff42ccef | 24956a7dff42ccef |
| minmax-scaler/base           | batch  | IDENTICAL x2 | bdcf978b59eaee06 | bdcf978b59eaee06 |
| minmax-scaler/denormal       | infer  | IDENTICAL x2 | 17c9e6cc1a1bfd82 | 17c9e6cc1a1bfd82 |
| minmax-scaler/denormal       | model  | IDENTICAL x2 | 1f70dcfa4e160e3e | 1f70dcfa4e160e3e |
| minmax-scaler/denormal       | batch  | IDENTICAL x2 | e470cfca3c51904a | e470cfca3c51904a |
| minmax-scaler/odd            | infer  | IDENTICAL x2 | c170795fb6119629 | c170795fb6119629 |
| minmax-scaler/odd            | model  | IDENTICAL x2 | be72f1cc9a133351 | be72f1cc9a133351 |
| minmax-scaler/odd            | batch  | IDENTICAL x2 | 380e2675e1096b8e | 380e2675e1096b8e |
| nystroem/base                | infer  | IDENTICAL x2 | 301ea319efafa3d7 | 301ea319efafa3d7 |
| nystroem/base                | model  | IDENTICAL x2 | 30a3131e08a4f036 | 30a3131e08a4f036 |
| nystroem/base                | batch  | IDENTICAL x2 | f08ea096ad64867a | f08ea096ad64867a |
| nystroem/denormal            | infer  | IDENTICAL x2 | 8fcb15ff3d9d1b88 | 8fcb15ff3d9d1b88 |
| nystroem/denormal            | model  | IDENTICAL x2 | 866787b752a7878e | 866787b752a7878e |
| nystroem/denormal            | batch  | IDENTICAL x2 | 8c770ae1ec43369f | 8c770ae1ec43369f |
| nystroem/odd                 | infer  | IDENTICAL x2 | dfb23ba9068104f6 | dfb23ba9068104f6 |
| nystroem/odd                 | model  | IDENTICAL x2 | d38d8e2e1d8583e1 | d38d8e2e1d8583e1 |
| nystroem/odd                 | batch  | IDENTICAL x2 | 1bc69db81163813f | 1bc69db81163813f |
| ols-no-intercept/base        | infer  | IDENTICAL x2 | 5fbab3a7de51017a | 5fbab3a7de51017a |
| ols-no-intercept/base        | model  | IDENTICAL x2 | f3ef9126ad986141 | f3ef9126ad986141 |
| ols-no-intercept/base        | batch  | IDENTICAL x2 | dc55264f9670b923 | dc55264f9670b923 |
| ols-no-intercept/denormal    | infer  | IDENTICAL x2 | 15ca54a4cd747c03 | 15ca54a4cd747c03 |
| ols-no-intercept/denormal    | model  | IDENTICAL x2 | eb819356230f741a | eb819356230f741a |
| ols-no-intercept/denormal    | batch  | IDENTICAL x2 | 6af1552ec8d1ebef | 6af1552ec8d1ebef |
| ols-no-intercept/odd         | infer  | IDENTICAL x2 | 2659af88e6d096ad | 2659af88e6d096ad |
| ols-no-intercept/odd         | model  | IDENTICAL x2 | 6c6ad7bbc740a643 | 6c6ad7bbc740a643 |
| ols-no-intercept/odd         | batch  | IDENTICAL x2 | 316836dd567e0c8b | 316836dd567e0c8b |
| ols-weighted/base            | infer  | IDENTICAL x2 | aa6de46fa1ca4da9 | aa6de46fa1ca4da9 |
| ols-weighted/base            | model  | IDENTICAL x2 | 22419c862a253d42 | 22419c862a253d42 |
| ols-weighted/base            | batch  | IDENTICAL x2 | 488e990b37795fd5 | 488e990b37795fd5 |
| ols-weighted/denormal        | infer  | IDENTICAL x2 | d0bc0fd5d809e428 | d0bc0fd5d809e428 |
| ols-weighted/denormal        | model  | IDENTICAL x2 | 414bf055344a03b7 | 414bf055344a03b7 |
| ols-weighted/denormal        | batch  | IDENTICAL x2 | 45a3a04f42105be5 | 45a3a04f42105be5 |
| ols-weighted/odd             | infer  | IDENTICAL x2 | 9c27cf5534996fea | 9c27cf5534996fea |
| ols-weighted/odd             | model  | IDENTICAL x2 | aa11e8df832f5320 | aa11e8df832f5320 |
| ols-weighted/odd             | batch  | IDENTICAL x2 | 8d21160ea1720605 | 8d21160ea1720605 |
| rbf-sampler/base             | infer  | IDENTICAL x2 | b07160af23992ad7 | b07160af23992ad7 |
| rbf-sampler/base             | model  | IDENTICAL x2 | 0033e59ff3fcc60d | 0033e59ff3fcc60d |
| rbf-sampler/base             | batch  | IDENTICAL x2 | 8308d98bf2b02312 | 8308d98bf2b02312 |
| rbf-sampler/denormal         | infer  | IDENTICAL x2 | 090ab3cf318cc2f5 | 090ab3cf318cc2f5 |
| rbf-sampler/denormal         | model  | IDENTICAL x2 | 0033e59ff3fcc60d | 0033e59ff3fcc60d |
| rbf-sampler/denormal         | batch  | IDENTICAL x2 | d6e52f75534b16b3 | d6e52f75534b16b3 |
| rbf-sampler/odd              | infer  | IDENTICAL x2 | b48ce39cf9d5a2d4 | b48ce39cf9d5a2d4 |
| rbf-sampler/odd              | model  | IDENTICAL x2 | b22681a46d9fcb49 | b22681a46d9fcb49 |
| rbf-sampler/odd              | batch  | IDENTICAL x2 | 443f9847d32d75b8 | 443f9847d32d75b8 |
| ridge-no-intercept/base      | infer  | IDENTICAL x2 | de95aa3133824540 | de95aa3133824540 |
| ridge-no-intercept/base      | model  | IDENTICAL x2 | 63c4b76f9b193631 | 63c4b76f9b193631 |
| ridge-no-intercept/base      | batch  | IDENTICAL x2 | 29f3e535a8785f0a | 29f3e535a8785f0a |
| ridge-no-intercept/denormal  | infer  | IDENTICAL x2 | 63dff4ada90afa03 | 63dff4ada90afa03 |
| ridge-no-intercept/denormal  | model  | IDENTICAL x2 | 5079aebbea7e74ce | 5079aebbea7e74ce |
| ridge-no-intercept/denormal  | batch  | IDENTICAL x2 | a009a8fdc6793565 | a009a8fdc6793565 |
| ridge-no-intercept/odd       | infer  | IDENTICAL x2 | 1ac4267394e4baca | 1ac4267394e4baca |
| ridge-no-intercept/odd       | model  | IDENTICAL x2 | 1378173105e52beb | 1378173105e52beb |
| ridge-no-intercept/odd       | batch  | IDENTICAL x2 | 44fb03ff9054331c | 44fb03ff9054331c |
| standard-scaler-no-mean/base | infer  | IDENTICAL x2 | e103471072f6f93c | e103471072f6f93c |
| standard-scaler-no-mean/base | model  | IDENTICAL x2 | d78daa5087ee6443 | d78daa5087ee6443 |
| standard-scaler-no-mean/base | batch  | IDENTICAL x2 | f2b20a155236588f | f2b20a155236588f |
| standard-scaler-no-mean/denormal | infer  | IDENTICAL x2 | 43674cd8b2e13d95 | 43674cd8b2e13d95 |
| standard-scaler-no-mean/denormal | model  | IDENTICAL x2 | 78297e76f6f3d5ea | 78297e76f6f3d5ea |
| standard-scaler-no-mean/denormal | batch  | IDENTICAL x2 | 818949f8942b8e66 | 818949f8942b8e66 |
| standard-scaler-no-mean/odd  | infer  | IDENTICAL x2 | 4286a08fcc88b3e4 | 4286a08fcc88b3e4 |
| standard-scaler-no-mean/odd  | model  | IDENTICAL x2 | 4e644d0ae19ab3ac | 4e644d0ae19ab3ac |
| standard-scaler-no-mean/odd  | batch  | IDENTICAL x2 | a83affc9c2e55ee6 | a83affc9c2e55ee6 |
| standard-scaler-no-std/base  | infer  | IDENTICAL x2 | 3e359a1ee902bec9 | 3e359a1ee902bec9 |
| standard-scaler-no-std/base  | model  | IDENTICAL x2 | 50f25f32ffde8935 | 50f25f32ffde8935 |
| standard-scaler-no-std/base  | batch  | IDENTICAL x2 | ad43b69d0964595d | ad43b69d0964595d |
| standard-scaler-no-std/denormal | infer  | IDENTICAL x2 | 3c22fb9e38e0528c | 3c22fb9e38e0528c |
| standard-scaler-no-std/denormal | model  | IDENTICAL x2 | f8c4b0aba49a85ec | f8c4b0aba49a85ec |
| standard-scaler-no-std/denormal | batch  | IDENTICAL x2 | b0c03753068ba1f9 | b0c03753068ba1f9 |
| standard-scaler-no-std/odd   | infer  | IDENTICAL x2 | 5c562c5c90fb0b9d | 5c562c5c90fb0b9d |
| standard-scaler-no-std/odd   | model  | IDENTICAL x2 | 1c5eb8a35f8fece9 | 1c5eb8a35f8fece9 |
| standard-scaler-no-std/odd   | batch  | IDENTICAL x2 | 51fa2154c3c96e47 | 51fa2154c3c96e47 |
| standard-scaler/base         | infer  | IDENTICAL x2 | fa0fbdef7ccae250 | fa0fbdef7ccae250 |
| standard-scaler/base         | model  | IDENTICAL x2 | 3adc4c98c02a61b6 | 3adc4c98c02a61b6 |
| standard-scaler/base         | batch  | IDENTICAL x2 | 917ae37b02618ab5 | 917ae37b02618ab5 |
| standard-scaler/denormal     | infer  | IDENTICAL x2 | d0a324ba42db1e9c | d0a324ba42db1e9c |
| standard-scaler/denormal     | model  | IDENTICAL x2 | 68df93d8ec0c437b | 68df93d8ec0c437b |
| standard-scaler/denormal     | batch  | IDENTICAL x2 | adc8b864c7fd6591 | adc8b864c7fd6591 |
| standard-scaler/odd          | infer  | IDENTICAL x2 | 6a7a884532f89e93 | 6a7a884532f89e93 |
| standard-scaler/odd          | model  | IDENTICAL x2 | 05cf9a316c018eea | 05cf9a316c018eea |
| standard-scaler/odd          | batch  | IDENTICAL x2 | 76422b3deb83eac1 | 76422b3deb83eac1 |

summary (infer/model): IDENTICAL=102
summary (batch): IDENTICAL=51
summary (rlpair): 
