pip_opponents	0	22
pixi_install	0	3
build_base	0	56
lgbm_cuda_build	0	268
build_gbdt	0	98
import_identical	0	1
selftest	0	0
smoke-ours-QueryRMSE-gpu	0	7
smoke-ours-PairLogit-gpu	0	8
smoke-ours-YetiRank-gpu	0	7
smoke-catboost-QueryRMSE-gpu	0	7
smoke-catboost-PairLogit-gpu	0	7
smoke-catboost-YetiRank-gpu	0	6
smoke-xgboost-rank_pairwise-gpu	1	4
smoke-xgboost-rank_ndcg-gpu	1	4
smoke-lightgbm-lambdarank-cpu	1	4
smoke-xgboost-rank_pairwise-gpu	0	7
smoke-xgboost-rank_ndcg-gpu	0	7
smoke-lightgbm-lambdarank-cpu	0	6
cells-ours-QueryRMSE-gpu	0	42
cells-ours-PairLogit-gpu	0	71
cells-ours-YetiRank-gpu	0	71
cells-catboost-QueryRMSE-gpu	0	25
cells-catboost-PairLogit-gpu	0	46
cells-catboost-YetiRank-gpu	0	27
cells-xgboost-rank_pairwise-gpu	1	5
cells-xgboost-rank_ndcg-gpu	1	6
cells-lightgbm-lambdarank-cpu	0	50
cells-lightgbm-lambdarank-gpu	0	47
cells-xgboost-rank_pairwise-gpu	0	38
cells-xgboost-rank_ndcg-gpu	0	38
