lane	dataset	shape	arm	status	median_ms	min_ms	max_ms	rounds	ratio_ours_over	quality	hash	hash_stable	fit	fit_verdict	span
gbdt-depthwise	istella	istella-2043304x220	xgboost-gpu	ok	3122.9	3102.6	3192.6	5	0.939	auc=0.973621,logloss=0.125719	5e42cc27fe6c9b69	True	trees=100 leaves=6297 depth=6 src=booster.get_dump	COMPARABLE	-
gbdt-lossguide	taxi	taxi-4110786x16	catboost-cpu	REFUSED(GPU-PATH-ONLY: catboost-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare against)	None	None	None	0	None	-	-	None	UNAVAILABLE	NOT-COMPARABLE	-
gbdt-lossguide	taxi	taxi-4110786x16	catboost-gpu	ok	2005.4	1991.5	2046.8	5	0.824	auc=0.625411,logloss=0.523275	0f76c79c6d10a21f	False	trees=100 leaves=4438 depth=- src=get_tree_leaf_counts	NOT-COMPARABLE	-
gbdt-lossguide	taxi	taxi-4110786x16	lightgbm-cpu	REFUSED(GPU-PATH-ONLY: lightgbm-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare against)	None	None	None	0	None	-	-	None	UNAVAILABLE	NOT-COMPARABLE	-
gbdt-lossguide	taxi	taxi-4110786x16	lightgbm-cuda	REFUSED(LightGBMError during warm-up: CUDA Tree Learner was not enabled in this build. Please recompile with CMake option)	None	None	None	0	None	-	-	None	UNAVAILABLE	NOT-COMPARABLE	-
gbdt-lossguide	taxi	taxi-4110786x16	ours	ok	1651.5	1645.2	1660.2	5	None	auc=0.627224,logloss=0.522759	db30470a7ded964a	True	trees=100 leaves=6239 depth=- src=get_tree_leaf_counts	NOT-COMPARABLE	-
gbdt-lossguide	taxi	taxi-4110786x16	xgboost-cpu	REFUSED(GPU-PATH-ONLY: xgboost-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare against )	None	None	None	0	None	-	-	None	UNAVAILABLE	NOT-COMPARABLE	-
gbdt-lossguide	taxi	taxi-4110786x16	xgboost-gpu	ok	1114.0	1081.8	1169.2	5	1.482	auc=0.624956,logloss=0.523444	22aa5a2b2c47f83c	True	trees=100 leaves=3883 depth=6 src=booster.get_dump	NOT-COMPARABLE	-
gbdt-lossguide	istella	istella-2043304x220	catboost-cpu	REFUSED(GPU-PATH-ONLY: catboost-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare against)	None	None	None	0	None	-	-	None	UNAVAILABLE	COMPARABLE	-
gbdt-lossguide	istella	istella-2043304x220	catboost-gpu	ok	3248.9	3230.4	3453.5	5	1.076	auc=0.975095,logloss=0.122275	e4853bb4c89e70b3	False	trees=100 leaves=6397 depth=- src=get_tree_leaf_counts	COMPARABLE	-
gbdt-lossguide	istella	istella-2043304x220	lightgbm-cpu	REFUSED(GPU-PATH-ONLY: lightgbm-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare against)	None	None	None	0	None	-	-	None	UNAVAILABLE	COMPARABLE	-
gbdt-lossguide	istella	istella-2043304x220	lightgbm-cuda	REFUSED(LightGBMError during warm-up: CUDA Tree Learner was not enabled in this build. Please recompile with CMake option)	None	None	None	0	None	-	-	None	UNAVAILABLE	COMPARABLE	-
gbdt-lossguide	istella	istella-2043304x220	ours	ok	3494.9	3481.1	3521.6	5	None	auc=0.974734,logloss=0.123184	f2d5c7a59bd27ed1	True	trees=100 leaves=6396 depth=- src=get_tree_leaf_counts	COMPARABLE	-
gbdt-lossguide	istella	istella-2043304x220	xgboost-cpu	REFUSED(GPU-PATH-ONLY: xgboost-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare against )	None	None	None	0	None	-	-	None	UNAVAILABLE	COMPARABLE	-
gbdt-lossguide	istella	istella-2043304x220	xgboost-gpu	ok	3124.6	3061.0	3357.0	5	1.118	auc=0.973621,logloss=0.125719	5e42cc27fe6c9b69	True	trees=100 leaves=6297 depth=6 src=booster.get_dump	COMPARABLE	-
rf	taxi	taxi-4110786x16	cuml-rf-gpu	ok	4256.2	4209.3	4435.2	5	0.527	auc=0.625405,logloss=0.523497	f535e772c85f8f2e	True	trees=- leaves=- depth=- src=none	UNKNOWN	-
rf	taxi	taxi-4110786x16	lightgbm-cpu	REFUSED(GPU-PATH-ONLY: lightgbm-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare against)	None	None	None	0	None	-	-	None	UNAVAILABLE	UNKNOWN	-
rf	taxi	taxi-4110786x16	ours	ok	2242.1	2222.5	2297.9	5	None	auc=0.62544,logloss=0.5235	e02264c929721884	True	trees=100 leaves=1718168 depth=16 src=flat forest arrays	UNKNOWN	-
rf	taxi	taxi-4110786x16	sklearn-rf-cpu	REFUSED(GPU-PATH-ONLY: sklearn-rf-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare again)	None	None	None	0	None	-	-	None	UNAVAILABLE	UNKNOWN	-
