NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_solver_host', '_mojolearn_trees_host'] commit=6796ceff932391adeaea8d788a6c5230ddfacf53
| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       | cpu-apple-m4     |
| arima/ties                   | IDENTICAL x3 | 990e96a6d7fd2874 | 990e96a6d7fd2874 | 990e96a6d7fd2874 | (not run)        |
| arima/wide                   | IDENTICAL x3 | 440f5eba6a3ddede | 440f5eba6a3ddede | 440f5eba6a3ddede | (not run)        |
| byte-lm-host-infer/base      | IDENTICAL x3 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | (not run)        |
| byte-lm-host-infer/denormal  | IDENTICAL x3 | dad5258f043269c3 | dad5258f043269c3 | dad5258f043269c3 | (not run)        |
| byte-lm-host-infer/denormal_ftz | IDENTICAL x3 | d1af362bc6ad2ecf | d1af362bc6ad2ecf | d1af362bc6ad2ecf | (not run)        |
| byte-lm-host-infer/dupes     | IDENTICAL x3 | 21c1595573e0f858 | 21c1595573e0f858 | 21c1595573e0f858 | (not run)        |
| byte-lm-host-infer/hashed    | IDENTICAL x3 | 23284f15a5a13f7e | 23284f15a5a13f7e | 23284f15a5a13f7e | (not run)        |
| byte-lm-host-infer/negative  | IDENTICAL x3 | 957bc9055db7588f | 957bc9055db7588f | 957bc9055db7588f | (not run)        |
| byte-lm-host-infer/odd       | IDENTICAL x3 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | 9a22cf6df14a6ca8 | (not run)        |
| byte-lm-host-infer/ties      | IDENTICAL x3 | 5eb6c37f486dcb83 | 5eb6c37f486dcb83 | 5eb6c37f486dcb83 | (not run)        |
| byte-lm-host-infer/wide      | IDENTICAL x3 | 144b4e7374436e15 | 144b4e7374436e15 | 144b4e7374436e15 | (not run)        |
| byte-lm-host-train/base      | IDENTICAL x3 | 04d7452abeb7ae7a | 04d7452abeb7ae7a | 04d7452abeb7ae7a | (not run)        |
| byte-lm-host-train/denormal  | IDENTICAL x3 | 5dacd27d99b63ea8 | 5dacd27d99b63ea8 | 5dacd27d99b63ea8 | (not run)        |
| byte-lm-host-train/denormal_ftz | IDENTICAL x3 | ce4b89211b242e2a | ce4b89211b242e2a | ce4b89211b242e2a | (not run)        |
| byte-lm-host-train/dupes     | IDENTICAL x3 | 3e3bf4a1d2093466 | 3e3bf4a1d2093466 | 3e3bf4a1d2093466 | (not run)        |
| byte-lm-host-train/hashed    | IDENTICAL x3 | 915a8a6b7e5f5bf3 | 915a8a6b7e5f5bf3 | 915a8a6b7e5f5bf3 | (not run)        |
| byte-lm-host-train/negative  | IDENTICAL x3 | c2e69d5d4aba426e | c2e69d5d4aba426e | c2e69d5d4aba426e | (not run)        |
| byte-lm-host-train/odd       | IDENTICAL x3 | 04d7452abeb7ae7a | 04d7452abeb7ae7a | 04d7452abeb7ae7a | (not run)        |
| byte-lm-host-train/ties      | IDENTICAL x3 | 5ac1bffdd360961f | 5ac1bffdd360961f | 5ac1bffdd360961f | (not run)        |
| byte-lm-host-train/wide      | IDENTICAL x3 | 1d86e5f486b3cb10 | 1d86e5f486b3cb10 | 1d86e5f486b3cb10 | (not run)        |
| byte-lm/base                 | IDENTICAL x3 | f9a8d760f503f795 | f9a8d760f503f795 | f9a8d760f503f795 | (not run)        |
| byte-lm/denormal             | IDENTICAL x3 | 9f7725f93b3c2400 | 9f7725f93b3c2400 | 9f7725f93b3c2400 | (not run)        |
| byte-lm/denormal_ftz         | IDENTICAL x3 | 65bde5a2fb67dfdb | 65bde5a2fb67dfdb | 65bde5a2fb67dfdb | (not run)        |
| byte-lm/dupes                | IDENTICAL x3 | 9d9fe9205064bac3 | 9d9fe9205064bac3 | 9d9fe9205064bac3 | (not run)        |
| byte-lm/hashed               | IDENTICAL x3 | e1937509a223711e | e1937509a223711e | e1937509a223711e | (not run)        |
