family	verdict	rc	oracle_manifest_sha256	dump_manifest_sha256
mamba1-l64	GREEN	0	2886b7acb2e7c5081425bf0246ff38485df697989b23100c34a791ef022a2a07	4a3e56ae8aefb5964fbe4ba299e6b36232d10780a065dfe64bbcd5b6fc8ffeab
mamba3-l65	RED	1	81dadcf6a61da671a0e698228d9e9b7c5612a0825751eafd98f0a75179fc4020	3782cd0f68449149de2809e1f83667206935ffee4db7888aa3a067e22d86fa25
