| lane/fixture                 | verdict    | apple-m4         | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
| byte-lm/ties                 | IDENTICAL x3 | (not run)        | b6939352795ff292 | b6939352795ff292 | b6939352795ff292 |
| byte-lm/wide                 | IDENTICAL x3 | (not run)        | f06570ace1982aab | f06570ace1982aab | f06570ace1982aab |
| dbscan/base                  | IDENTICAL x3 | (not run)        | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b |
| dbscan/denormal              | IDENTICAL x3 | (not run)        | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 |
| dbscan/denormal_ftz          | IDENTICAL x3 | (not run)        | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 |
| dbscan/dupes                 | IDENTICAL x3 | (not run)        | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b |
| dbscan/hashed                | IDENTICAL x3 | (not run)        | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d |
| dbscan/negative              | IDENTICAL x3 | (not run)        | bb6bd31e075693e9 | bb6bd31e075693e9 | bb6bd31e075693e9 |
| dbscan/odd                   | IDENTICAL x3 | (not run)        | 54d129f45630ea84 | 54d129f45630ea84 | 54d129f45630ea84 |
| dbscan/ties                  | IDENTICAL x3 | (not run)        | b7535355c1581603 | b7535355c1581603 | b7535355c1581603 |
| dbscan/wide                  | IDENTICAL x3 | (not run)        | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d |
| elasticnet/base              | IDENTICAL x3 | (not run)        | 2cf742083831ee9d | 2cf742083831ee9d | 2cf742083831ee9d |
| elasticnet/denormal          | IDENTICAL x3 | (not run)        | 3add60ff69fd788c | 3add60ff69fd788c | 3add60ff69fd788c |
| elasticnet/denormal_ftz      | IDENTICAL x3 | (not run)        | 3add60ff69fd788c | 3add60ff69fd788c | 3add60ff69fd788c |
| elasticnet/dupes             | IDENTICAL x3 | (not run)        | 97d4c8c235d38bfe | 97d4c8c235d38bfe | 97d4c8c235d38bfe |
| elasticnet/hashed            | IDENTICAL x3 | (not run)        | 00b6923d62a41c0a | 00b6923d62a41c0a | 00b6923d62a41c0a |
| elasticnet/negative          | IDENTICAL x3 | (not run)        | 7624315e7deffe10 | 7624315e7deffe10 | 7624315e7deffe10 |
| elasticnet/odd               | IDENTICAL x3 | (not run)        | 1a518e703b7dd1d9 | 1a518e703b7dd1d9 | 1a518e703b7dd1d9 |
| elasticnet/ties              | IDENTICAL x3 | (not run)        | 118eac19578010ab | 118eac19578010ab | 118eac19578010ab |
| elasticnet/wide              | IDENTICAL x3 | (not run)        | ef8800eaf0ca4f87 | ef8800eaf0ca4f87 | ef8800eaf0ca4f87 |
| et-clf/base                  | IDENTICAL x3 | (not run)        | c586b27a3b049614 | c586b27a3b049614 | c586b27a3b049614 |
| et-clf/denormal              | IDENTICAL x3 | (not run)        | b40377fb35e52909 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/denormal_ftz          | IDENTICAL x3 | (not run)        | b40377fb35e52909 | b40377fb35e52909 | b40377fb35e52909 |
| et-clf/dupes                 | IDENTICAL x3 | (not run)        | a24dcc8a93f699ff | a24dcc8a93f699ff | a24dcc8a93f699ff |
| et-clf/hashed                | IDENTICAL x3 | (not run)        | eb7aaadcd0843a6d | eb7aaadcd0843a6d | eb7aaadcd0843a6d |
| et-clf/negative              | IDENTICAL x3 | (not run)        | e1409786c462d97b | e1409786c462d97b | e1409786c462d97b |
| et-clf/odd                   | IDENTICAL x3 | (not run)        | 1da918353bb9f10e | 1da918353bb9f10e | 1da918353bb9f10e |
| et-clf/ties                  | IDENTICAL x3 | (not run)        | 604f59c7a4203eeb | 604f59c7a4203eeb | 604f59c7a4203eeb |
| et-clf/wide                  | IDENTICAL x3 | (not run)        | ee8b318d6bf698b2 | ee8b318d6bf698b2 | ee8b318d6bf698b2 |
| et-reg/base                  | IDENTICAL x3 | (not run)        | 754d8c127ecfc04d | 754d8c127ecfc04d | 754d8c127ecfc04d |
| et-reg/denormal              | IDENTICAL x3 | (not run)        | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/denormal_ftz          | IDENTICAL x3 | (not run)        | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/dupes                 | IDENTICAL x3 | (not run)        | 9a63fea590f79a67 | 9a63fea590f79a67 | 9a63fea590f79a67 |
| et-reg/hashed                | IDENTICAL x3 | (not run)        | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f |
| et-reg/negative              | IDENTICAL x3 | (not run)        | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 |
| et-reg/odd                   | IDENTICAL x3 | (not run)        | c9fe7c90673c2661 | c9fe7c90673c2661 | c9fe7c90673c2661 |
| et-reg/ties                  | IDENTICAL x3 | (not run)        | e7072e1c8fe0083c | e7072e1c8fe0083c | e7072e1c8fe0083c |
| et-reg/wide                  | IDENTICAL x3 | (not run)        | b745e53515f59cac | b745e53515f59cac | b745e53515f59cac |
| gbdt-depthwise/base          | IDENTICAL x3 | (not run)        | 38726fc0c93c0bff | 38726fc0c93c0bff | 38726fc0c93c0bff |
| gbdt-depthwise/denormal      | IDENTICAL x3 | (not run)        | 64ba350c759ff2e9 | 64ba350c759ff2e9 | 64ba350c759ff2e9 |
| gbdt-depthwise/denormal_ftz  | IDENTICAL x3 | (not run)        | 64ba350c759ff2e9 | 64ba350c759ff2e9 | 64ba350c759ff2e9 |
| gbdt-depthwise/dupes         | IDENTICAL x3 | (not run)        | e521424a96e216cb | e521424a96e216cb | e521424a96e216cb |
| gbdt-depthwise/hashed        | IDENTICAL x3 | (not run)        | 9455870882645f48 | 9455870882645f48 | 9455870882645f48 |
| gbdt-depthwise/negative      | IDENTICAL x3 | (not run)        | d77fc9f6a3eee0a2 | d77fc9f6a3eee0a2 | d77fc9f6a3eee0a2 |
| gbdt-depthwise/odd           | IDENTICAL x3 | (not run)        | fb9e5c03088814f6 | fb9e5c03088814f6 | fb9e5c03088814f6 |
| gbdt-depthwise/ties          | IDENTICAL x3 | (not run)        | 465cb10f303e005a | 465cb10f303e005a | 465cb10f303e005a |
| gbdt-depthwise/wide          | IDENTICAL x3 | (not run)        | 2a77ec865e62539a | 2a77ec865e62539a | 2a77ec865e62539a |
| gbdt-feature-freq/base       | IDENTICAL x3 | (not run)        | 7d9c56b51213cb42 | 7d9c56b51213cb42 | 7d9c56b51213cb42 |
| gbdt-feature-freq/denormal   | IDENTICAL x3 | (not run)        | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b |
| gbdt-feature-freq/denormal_ftz | IDENTICAL x3 | (not run)        | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b |
| gbdt-feature-freq/dupes      | IDENTICAL x3 | (not run)        | e8c61a9407503755 | e8c61a9407503755 | e8c61a9407503755 |
| gbdt-feature-freq/hashed     | IDENTICAL x3 | (not run)        | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 |
| gbdt-feature-freq/negative   | IDENTICAL x3 | (not run)        | 75028913a14bb938 | 75028913a14bb938 | 75028913a14bb938 |
| gbdt-feature-freq/odd        | IDENTICAL x3 | (not run)        | c481331145bfb998 | c481331145bfb998 | c481331145bfb998 |
| gbdt-feature-freq/ties       | IDENTICAL x3 | (not run)        | 57ff9964d1af1d4a | 57ff9964d1af1d4a | 57ff9964d1af1d4a |
| gbdt-feature-freq/wide       | IDENTICAL x3 | (not run)        | c6d7fccba2483372 | c6d7fccba2483372 | c6d7fccba2483372 |
| gbdt-lossguide/base          | IDENTICAL x3 | (not run)        | bc3017cb29615105 | bc3017cb29615105 | bc3017cb29615105 |
| gbdt-lossguide/denormal      | IDENTICAL x3 | (not run)        | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c |
| gbdt-lossguide/denormal_ftz  | IDENTICAL x3 | (not run)        | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c |
| gbdt-lossguide/dupes         | IDENTICAL x3 | (not run)        | b1546f9b3c4293a5 | b1546f9b3c4293a5 | b1546f9b3c4293a5 |
| gbdt-lossguide/hashed        | IDENTICAL x3 | (not run)        | 3841103ecb3ac05d | 3841103ecb3ac05d | 3841103ecb3ac05d |
| gbdt-lossguide/negative      | IDENTICAL x3 | (not run)        | 67b332fcf8b5d0dd | 67b332fcf8b5d0dd | 67b332fcf8b5d0dd |
