8217 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x500a00000000, nodemask=1)
ARM shipped rows 0 mode IDENTICAL
PRICE shipped 0 512x64 kernel.forward 0.027696
PRICE shipped 0 512x64 kernel.forward 0.025916
PRICE shipped 0 512x64 kernel.forward 0.025584
PRICE shipped 0 512x64 kernel.forward 0.02582
PRICE shipped 0 512x64 kernel.forward 0.025822
PRICE shipped 0 512x64 kernel.forward 0.025935
PRICE shipped 0 512x64 kernel.forward 0.026649
PRICE shipped 0 512x64 kernel.backward 0.057229
PRICE shipped 0 512x64 kernel.backward 0.056051
PRICE shipped 0 512x64 kernel.backward 0.056002
PRICE shipped 0 512x64 kernel.backward 0.055878
PRICE shipped 0 512x64 kernel.backward 0.055475
PRICE shipped 0 512x64 kernel.backward 0.062521
PRICE shipped 0 512x64 kernel.backward 0.056166
PRICE shipped 0 512x64 host.forward 0.07993
PRICE shipped 0 512x64 host.forward 0.073166
PRICE shipped 0 512x64 host.forward 0.073707
PRICE shipped 0 512x64 host.backward 0.199342
PRICE shipped 0 512x64 host.backward 0.181693
PRICE shipped 0 512x64 host.backward 0.180621
PRICE shipped 0 2048x512 kernel.forward 0.148584
PRICE shipped 0 2048x512 kernel.forward 0.149845
PRICE shipped 0 2048x512 kernel.forward 0.148103
PRICE shipped 0 2048x512 kernel.forward 0.148376
PRICE shipped 0 2048x512 kernel.forward 0.147688
PRICE shipped 0 2048x512 kernel.forward 0.149021
PRICE shipped 0 2048x512 kernel.forward 0.148131
PRICE shipped 0 2048x512 kernel.backward 0.146052
PRICE shipped 0 2048x512 kernel.backward 0.14607
PRICE shipped 0 2048x512 kernel.backward 0.145767
PRICE shipped 0 2048x512 kernel.backward 0.145515
PRICE shipped 0 2048x512 kernel.backward 0.145148
PRICE shipped 0 2048x512 kernel.backward 0.144306
PRICE shipped 0 2048x512 kernel.backward 0.144735
PRICE shipped 0 2048x512 host.forward 0.667632
PRICE shipped 0 2048x512 host.forward 0.683858
PRICE shipped 0 2048x512 host.forward 0.657614
PRICE shipped 0 2048x512 host.backward 1.248865
PRICE shipped 0 2048x512 host.backward 1.245801
PRICE shipped 0 2048x512 host.backward 1.250707
PRICE shipped 0 8192x768 kernel.forward 0.275482
PRICE shipped 0 8192x768 kernel.forward 0.275199
PRICE shipped 0 8192x768 kernel.forward 0.275723
PRICE shipped 0 8192x768 kernel.forward 0.276436
PRICE shipped 0 8192x768 kernel.forward 0.274726
PRICE shipped 0 8192x768 kernel.forward 0.277477
PRICE shipped 0 8192x768 kernel.forward 0.271528
PRICE shipped 0 8192x768 kernel.backward 0.281589
PRICE shipped 0 8192x768 kernel.backward 0.285221
PRICE shipped 0 8192x768 kernel.backward 0.282696
PRICE shipped 0 8192x768 kernel.backward 0.282276
PRICE shipped 0 8192x768 kernel.backward 0.283397
PRICE shipped 0 8192x768 kernel.backward 0.283683
PRICE shipped 0 8192x768 kernel.backward 0.284364
PRICE shipped 0 8192x768 host.forward 3.275425
PRICE shipped 0 8192x768 host.forward 3.315376
PRICE shipped 0 8192x768 host.forward 3.079719
PRICE shipped 0 8192x768 host.backward 6.582322
PRICE shipped 0 8192x768 host.backward 6.530505
PRICE shipped 0 8192x768 host.backward 5.763243
