lane	n	fast_med_s	ident_med_s	ratio_med	ratio_min	ratio_max	fast_min_s	fast_max_s	ident_min_s	ident_max_s	fast_hash	ident_hash	hash_note
cd	1	0.003174	0.004855	1.530	1.530	1.530	0.003174	0.003174	0.004855	0.004855	3be34440e79b3131	99d86c334a5c05cc	fast!=ident bits
kde	1	0.001017	0.001024	1.007	1.007	1.007	0.001017	0.001017	0.001024	0.001024	61bb0e73dc92f3b3	61bb0e73dc92f3b3	fast==ident bits
linkage	1	0.008688	0.008813	1.014	1.014	1.014	0.008688	0.008688	0.008813	0.008813	af1408d790e1a446	af1408d790e1a446	fast==ident bits
svm	1	0.019320	0.018232	0.944	0.944	0.944	0.019320	0.019320	0.018232	0.018232	2def386e7266a86a	9bec403e03e1a2cc	fast!=ident bits
metrics	1	0.009306	0.007334	0.788	0.788	0.788	0.009306	0.009306	0.007334	0.007334	826b40eee60c57ee	3bc0cdcca4a035cd	fast!=ident bits
gemm	1	0.000554	0.000856	1.545	1.545	1.545	0.000554	0.000554	0.000856	0.000856	5e18d6d88ce1cafd	5e18d6d88ce1cafd	fast==ident bits
