create (POST to ssh up)	78
arm (on-pod watchdog)	7
stage (source + R2 URL maps)	32
env (pixi binary + envs)	7
build (host bindings)	5
run (command)	1349
create to first result (POST to command end)	1480
cache upload (misses only)	0
fetch	3
teardown (DELETE to verified gone)	2
billed (POST to verified gone)	1488
spend	$0.0992 at $0.24/hr
