lane	dataset	arm	rows	ok_rounds	median_ms	min_ms	max_ms	spread	digest_stable	status	paired_ratio_over_first
knn	taxi	base	4000	5	33.6617	26.6581	34.7991	1.3054	True	flagged	
knn	taxi	after0	4000	5	33.3302	25.4103	34.9448	1.3752	True	flagged	0.9985
knn	taxi	smem	4000	5	31.5382	24.5915	32.9224	1.3388	True	flagged	0.9379
knn	taxi	topk	4000	5	25.0104	23.7485	25.4331	1.0709	True	ok	0.7076
knn	taxi	smemx	4000	5	33.0103	24.7728	34.1245	1.3775	True	flagged	0.9820
knn	taxi	topkx	4000	5	25.6895	25.4501	30.3363	1.1920	True	flagged	0.7642
knn	istella	base	4000	5	82.4553	73.7721	84.5841	1.1466	True	flagged	
knn	istella	after0	4000	5	82.0391	72.3446	83.7446	1.1576	True	flagged	0.9961
knn	istella	smem	4000	5	60.8939	52.2609	63.2061	1.2094	True	flagged	0.7543
knn	istella	topk	4000	5	58.7107	55.4217	61.3210	1.1064	True	flagged	0.7292
knn	istella	smemx	4000	5	56.5183	48.6535	58.2776	1.1978	True	flagged	0.6952
knn	istella	topkx	4000	5	53.4892	50.7255	56.3223	1.1103	True	flagged	0.6487
