# GENERATED by tokenizer/tools/gen_unicode_categories.py -- do not hand-edit
# unicodedata 16.0.0 (python 3.14.6)
# class	first_hex	last_hex  (inclusive, ascending, disjoint)
# L = \p{L} (Lu Ll Lt Lm Lo), N = \p{N} (Nd Nl No), WS = White_Space property (\s)
L	0B5C	0B5D
L	0B5F	0B61
L	0B71	0B71
L	0B83	0B83
L	0B85	0B8A
L	0B8E	0B90
L	0B92	0B95
L	0B99	0B9A
L	0B9C	0B9C
L	0B9E	0B9F
L	0BA3	0BA4
L	0BA8	0BAA
L	0BAE	0BB9
L	0BD0	0BD0
L	0C05	0C0C
L	0C0E	0C10
L	0C12	0C28
L	0C2A	0C39
L	0C3D	0C3D
L	0C58	0C5A
L	0C5D	0C5D
L	0C60	0C61
L	0C80	0C80
L	0C85	0C8C
L	0C8E	0C90
L	0C92	0CA8
L	0CAA	0CB3
L	0CB5	0CB9
L	0CBD	0CBD
L	0CDD	0CDE
L	0CE0	0CE1
L	0CF1	0CF2
L	0D04	0D0C
L	0D0E	0D10
L	0D12	0D3A
L	0D3D	0D3D
L	0D4E	0D4E
L	0D54	0D56
L	0D5F	0D61
L	0D7A	0D7F
L	0D85	0D96
L	0D9A	0DB1
L	0DB3	0DBB
L	0DBD	0DBD
L	0DC0	0DC6
L	0E01	0E30
L	0E32	0E33
L	0E40	0E46
L	0E81	0E82
L	0E84	0E84
L	0E86	0E8A
L	0E8C	0EA3
L	0EA5	0EA5
L	0EA7	0EB0
L	0EB2	0EB3
L	0EBD	0EBD
L	0EC0	0EC4
L	0EC6	0EC6
L	0EDC	0EDF
L	0F00	0F00
L	0F40	0F47
L	0F49	0F6C
L	0F88	0F8C
L	1000	102A
L	103F	103F
L	1050	1055
L	105A	105D
L	1061	1061
L	1065	1066
L	106E	1070
L	1075	1081
L	108E	108E
L	10A0	10C5
L	10C7	10C7
L	10CD	10CD
L	10D0	10FA
L	10FC	1248
L	124A	124D
L	1250	1256
L	1258	1258
L	125A	125D
L	1260	1288
L	128A	128D
L	1290	12B0
L	12B2	12B5
L	12B8	12BE
L	12C0	12C0
L	12C2	12C5
L	12C8	12D6
L	12D8	1310
L	1312	1315
L	1318	135A
L	1380	138F
L	13A0	13F5
L	13F8	13FD
L	1401	166C
L	166F	167F
L	1681	169A
L	16A0	16EA
L	16F1	16F8
L	1700	1711
L	171F	1731
L	1740	1751
L	1760	176C
