lane	n	fast_med_s	ident_med_s	ratio_med	ratio_min	ratio_max	fast_min_s	fast_max_s	ident_min_s	ident_max_s	fast_hash	ident_hash	hash_note
cd	5	0.001268	0.002593	2.045	1.940	2.200	0.001178	0.001336	0.002572	0.002645	922cef459012627f	3cb298860e514e8a	fast!=ident bits
kde	5	0.000557	0.000711	1.277	1.245	1.309	0.000546	0.000571	0.000697	0.000715	7ea4432cb67a0a55	3719b9e6a55377a7	fast!=ident bits
linkage	5	0.001587	0.001491	0.939	0.760	1.220	0.001267	0.001666	0.001187	0.001571	8038c5fc49f74652	5d3155fc940e61d2	fast!=ident bits
svm	5	0.002840	0.003102	1.092	0.869	1.217	0.002557	0.003529	0.003039	0.003155	5951bd10d9eac7fe	9bec403e03e1a2cc	fast!=ident bits
metrics	5	0.001781	0.001658	0.931	0.886	1.109	0.001516	0.001852	0.001414	0.001681	e950a50c1d7c9c26	2321a95d3439fc2b	fast!=ident bits
gemm	5	0.000078	0.000109	1.401	1.282	1.548	0.000071	0.000082	0.000103	0.000112	79adfe2dd5bd57e6	79adfe2dd5bd57e6	fast==ident bits
