lane	mode	round	seconds	hash
cd	FAST	1	0.001229149	922cef459012627f
cd	IDENTICAL	1	0.00264537	3cb298860e514e8a
cd	FAST	2	0.00126754	922cef459012627f
cd	IDENTICAL	2	0.002571661	3cb298860e514e8a
cd	FAST	3	0.00129248	922cef459012627f
cd	IDENTICAL	3	0.002603901	3cb298860e514e8a
cd	FAST	4	0.001335512	922cef459012627f
cd	IDENTICAL	4	0.002591374	3cb298860e514e8a
cd	FAST	5	0.001178371	922cef459012627f
cd	IDENTICAL	5	0.002592586	3cb298860e514e8a
kde	FAST	1	0.000546006	7ea4432cb67a0a55
kde	IDENTICAL	1	0.000714967	3719b9e6a55377a7
kde	FAST	2	0.000571347	7ea4432cb67a0a55
kde	IDENTICAL	2	0.000711388	3719b9e6a55377a7
kde	FAST	3	0.000557085	7ea4432cb67a0a55
kde	IDENTICAL	3	0.000697107	3719b9e6a55377a7
kde	FAST	4	0.000569756	7ea4432cb67a0a55
kde	IDENTICAL	4	0.000713018	3719b9e6a55377a7
kde	FAST	5	0.000546887	7ea4432cb67a0a55
kde	IDENTICAL	5	0.000696778	3719b9e6a55377a7
linkage	FAST	1	0.00158719	8038c5fc49f74652
linkage	IDENTICAL	1	0.001490889	5d3155fc940e61d2
linkage	FAST	2	0.001665912	8038c5fc49f74652
linkage	IDENTICAL	2	0.001266677	5d3155fc940e61d2
linkage	FAST	3	0.001267497	8038c5fc49f74652
linkage	IDENTICAL	3	0.001187436	5d3155fc940e61d2
linkage	FAST	4	0.001280018	8038c5fc49f74652
linkage	IDENTICAL	4	0.001562153	5d3155fc940e61d2
linkage	FAST	5	0.001608624	8038c5fc49f74652
linkage	IDENTICAL	5	0.001571124	5d3155fc940e61d2
svm	FAST	1	0.003072299	5951bd10d9eac7fe
svm	IDENTICAL	1	0.003101812	9bec403e03e1a2cc
svm	FAST	2	0.003529009	5951bd10d9eac7fe
svm	IDENTICAL	2	0.003066882	9bec403e03e1a2cc
svm	FAST	3	0.002839878	5951bd10d9eac7fe
svm	IDENTICAL	3	0.003038785	9bec403e03e1a2cc
svm	FAST	4	0.002557358	5951bd10d9eac7fe
svm	IDENTICAL	4	0.003112717	9bec403e03e1a2cc
svm	FAST	5	0.002668891	5951bd10d9eac7fe
svm	IDENTICAL	5	0.003154799	9bec403e03e1a2cc
metrics	FAST	1	0.001781345	e950a50c1d7c9c26
metrics	IDENTICAL	1	0.001658062	2321a95d3439fc2b
metrics	FAST	2	0.001851857	e950a50c1d7c9c26
metrics	IDENTICAL	2	0.001641584	2321a95d3439fc2b
metrics	FAST	3	0.001516352	e950a50c1d7c9c26
metrics	IDENTICAL	3	0.001681114	2321a95d3439fc2b
metrics	FAST	4	0.001790307	e950a50c1d7c9c26
metrics	IDENTICAL	4	0.001679345	2321a95d3439fc2b
metrics	FAST	5	0.001531603	e950a50c1d7c9c26
metrics	IDENTICAL	5	0.001414162	2321a95d3439fc2b
gemm	FAST	1	7.0922e-05	79adfe2dd5bd57e6
gemm	IDENTICAL	1	0.000109792	79adfe2dd5bd57e6
gemm	FAST	2	7.7622e-05	79adfe2dd5bd57e6
gemm	IDENTICAL	2	0.000106502	79adfe2dd5bd57e6
gemm	FAST	3	8.1832e-05	79adfe2dd5bd57e6
gemm	IDENTICAL	3	0.000108742	79adfe2dd5bd57e6
gemm	FAST	4	7.3001e-05	79adfe2dd5bd57e6
gemm	IDENTICAL	4	0.000111663	79adfe2dd5bd57e6
gemm	FAST	5	8.0481e-05	79adfe2dd5bd57e6
gemm	IDENTICAL	5	0.000103183	79adfe2dd5bd57e6
