create (POST to ssh up)	77
arm (on-pod watchdog)	6
stage (source + R2 URL maps)	18
env (pixi binary + envs)	8
build (host bindings)	23
run (command)	17
create to first result (POST to command end)	150
cache upload (misses only)	0
fetch	1
teardown (DELETE to verified gone)	2
billed (POST to verified gone)	169
spend	$0.0113 at $0.24/hr
