"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_a1bbf8fee46700b0",506,407924038,806173.988142,45.00,364109,26194799,1635318.054634
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_aa16407e3c5c7ac7",4,103815416,25953854.000000,11.45,23430545,28634911,2865277.123179
"transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1",24,75851022,3160459.250000,8.37,3068345,3344616,69038.288467
"transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e",24,65763967,2740165.291667,7.25,2655005,2797288,33765.274186
"transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490",24,64746806,2697783.583333,7.14,2662062,2815450,36220.811973
"transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a",24,45351687,1889653.625000,5.00,1738759,1964913,58289.116675
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",506,23236517,45921.970356,2.56,15876,110211,25564.650244
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2",2,16140225,8070112.500000,1.78,8062755,8077470,10405.076285
"transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886",48,14207469,295988.937500,1.57,252696,426892,36277.009224
"embedding_checks_embedding_ide6A6A6A6A_02a428d7480c858f",2,14044532,7022266.000000,1.55,6895215,7149317,179677.247313
"core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb",196,13208672,67391.183673,1.46,1604,1448177,210268.816461
"__amd_rocclr_fillBufferAligned",1019,8433357,8276.110893,0.9303,721,327907,16370.215660
"transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7",48,4985231,103858.979167,0.5499,96660,214608,16468.923748
"training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c",2,3642613,1821306.500000,0.4018,1805109,1837504,22906.724177
"transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48",168,3467700,20641.071429,0.3825,15676,23614,2836.630382
"transformer_checks_transformer6A6A6A6A_701f75a72b36f978",24,3275255,136468.958333,0.3613,135228,138074,727.118104
"training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae",2,3075521,1537760.500000,0.3393,1534573,1540948,4507.805730
"training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6",2,2917081,1458540.500000,0.3218,1453309,1463772,7398.458252
"training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde",2,2854178,1427089.000000,0.3148,1425485,1428693,2268.398554
"core_device_scan_negative_part6A6A6A6A_c691e2646998e577",4,2528798,632199.500000,0.2790,599926,656575,27892.040495
"__amd_rocclr_copyBuffer",395,1973561,4996.356962,0.2177,1643,14754,3394.671746
"transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c",48,1863804,38829.250000,0.2056,31993,45303,5390.188129
"embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999",2,1842234,921117.000000,0.2032,912437,929797,12275.373721
"transformer_checks_transformer6A6A6A6A_9e49fedb5168a455",48,1827439,38071.645833,0.2016,36483,40653,678.746169
"transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae",48,1790557,37303.270833,0.1975,35080,38287,667.934311
"transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533",24,1726129,71922.041667,0.1904,69959,77777,1542.131260
"transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a",24,1685878,70244.916667,0.1860,67313,83912,3080.836009
"mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2",48,1472793,30683.187500,0.1625,26140,35360,2547.353050
"transformer_checks_transformer6A6A6A6A_6755bf37231227cb",48,1344215,28004.479167,0.1483,26380,29146,569.923697
"transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e",48,1341454,27946.958333,0.1480,26501,29387,708.619604
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e",48,1210838,25225.791667,0.1336,23854,26620,680.618210
"training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752",8,1194119,149264.875000,0.1317,148819,149861,341.118931
"training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6",2,1145247,572623.500000,0.1263,569256,575991,4762.364171
"embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543",2,1099102,549551.000000,0.1212,549531,549571,28.284271
"transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f",24,987609,41150.375000,0.1089,39450,43620,784.008918
"transformer_checks_transformer6A6A6A6A_e0aadbba61216e38",24,948562,39523.416667,0.1046,38328,41455,686.287487
"training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214",24,840593,35024.708333,0.0927,30830,47147,4444.636333
"training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304",24,760171,31673.791667,0.0839,30911,33195,417.559262
"transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0",24,691934,28830.583333,0.0763,27262,30188,606.186219
"transformer_checks_transformer6A6A6A6A_c48a0c1f6177d9d0",24,667117,27796.541667,0.0736,26300,29427,758.203654
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469",50,210516,4210.320000,0.0232,4009,5011,160.241073
"embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb",2,164936,82468.000000,0.0182,81225,83711,1757.867458
"embedding_checks_embedding_ide6A6A6A6A_b184d11bcef68fe0",2,162329,81164.500000,0.0179,80985,81344,253.851334
"embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf",2,50876,25438.000000,5.612e-03,22812,28064,3713.724815
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0",2,22251,11125.500000,2.455e-03,10825,11426,424.971175
"training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc",2,9822,4911.000000,1.083e-03,4650,5172,369.109740
"training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0",2,9380,4690.000000,1.035e-03,4690,4690,0.00000000e+00
"training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3",2,9342,4671.000000,1.031e-03,4651,4691,28.284271
"training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8",2,7818,3909.000000,8.624e-04,3889,3929,28.284271
"transformer_impl_llama_modeli6A6A6A6A6A6A_fd7a940bfe0354a7",1,4089,4089.000000,4.511e-04,4089,4089,0.00000000e+00
