lane	n	fast_med_s	ident_med_s	ratio_med	ratio_min	ratio_max	fast_min_s	fast_max_s	ident_min_s	ident_max_s	fast_hash	ident_hash	hash_note
kmeans	5	0.046084	0.078040	1.693	1.472	2.048	0.042985	0.053094	0.069958	0.088036	eeea38872c935b98	eeea38872c935b98	fast==ident bits
knn	5	0.043481	0.111508	2.565	2.051	2.746	0.039413	0.054365	0.091413	0.119505	MOVED	4c6f4a612b096067	FAST HASH MOVED across legs (5 distinct)
dbscan	5	0.493828	0.661982	1.341	1.251	1.502	0.445764	0.540356	0.661309	0.676216	a9223881fb236c77	a9223881fb236c77	fast==ident bits
gram	5	0.033979	0.033952	0.999	0.727	1.001	0.033930	0.034056	0.024693	0.034016	5a92d6b3f1a681ab	0e9de1a0121f721a	fast!=ident bits
nt	5	0.009180	0.008656	0.943	0.920	1.192	0.007347	0.009362	0.008611	0.009903	5c68413208583222	5c68413208583222	fast==ident bits
gemv	5	0.006879	0.007051	1.025	0.999	7.894	0.001003	0.006988	0.006981	0.007918	c672e0ac7ed6697f	a0d44fa8c1343b19	fast!=ident bits
