dataset	kind	operation	arm	outer	shape	median_ms	spread	hash	hashes_equal	quality	ordered_selected	numeric_mode	vendor
istella	et	predict	ordered	1	[1000000,220]	59.232792	1.004682561345213	b3b42d5e0e4f854f937cb568290e47a5860097f331829662bc002836e27f3276:float64:(1000000,)	True	{"accuracy":0.938552}	True	identical	hip
istella	et	proba	ordered	1	[1000000,220]	58.295828	1.0077032207609087	f6229b25c5b92d85cde95cb27aa03efbee3c123f3df751350a1bf8fd546788c7:float64:(1000000, 2)	True	{"logloss":0.17000726240032313}	True	identical	hip
istella	rf	predict	ordered	1	[1000000,220]	61.888342	1.0356463489547514	2b999b6530663cda4b8dcc073956daf4cbfa24021a5bda527d7bed0f6e35f6f6:float64:(1000000,)	True	{"accuracy":0.965139}	True	identical	hip
istella	rf	proba	ordered	1	[1000000,220]	60.185123	1.0084220770051782	2fbf63fc3b160bcef716c47da1466dbc9f04e66d5b74670f5407216bbdfcbe56:float32:(1000000, 2)	True	{"logloss":0.10616231706806098}	True	identical	hip
taxi	et	predict	ordered	1	[1000000,11]	7.883199	1.06260065248388	e365b02ce0bdbb2d63d569e58c8ccaf3a73110b7efc322e417b2aedd3b8ee87f:float64:(1000000,)	True	{"accuracy":0.779572}	True	identical	hip
taxi	et	proba	ordered	1	[1000000,11]	7.153125	1.064332208397738	2c57602697906a4fb595e369067c54a03a11f4dddac58954731bc01cf87d2e8f:float64:(1000000, 2)	True	{"logloss":0.511442794448887}	True	identical	hip
taxi	rf	predict	ordered	1	[1000000,11]	9.127892	1.0558224906747702	3f4162a261c9dd4529160a234add86e1f71b96eb5ffd7c1b898784bfd9478ff4:float64:(1000000,)	True	{"accuracy":0.78429}	True	identical	hip
taxi	rf	proba	ordered	1	[1000000,11]	7.786665	1.0374853561037307	db0b85cc8de74943ddb1a18b1602d90550d7e775df036027be0cae5917c8a10c:float32:(1000000, 2)	True	{"logloss":0.4899468627365843}	True	identical	hip
istella	et	predict	sequential	1	[1000000,220]	4211.484138	1.2047902440214513	b3b42d5e0e4f854f937cb568290e47a5860097f331829662bc002836e27f3276:float64:(1000000,)	True	{"accuracy":0.938552}	False	identical	hip
istella	et	proba	sequential	1	[1000000,220]	4272.205827	1.0576060090118313	f6229b25c5b92d85cde95cb27aa03efbee3c123f3df751350a1bf8fd546788c7:float64:(1000000, 2)	True	{"logloss":0.17000726240032313}	False	identical	hip
istella	rf	predict	sequential	1	[1000000,220]	3771.055746	1.194361143895852	2b999b6530663cda4b8dcc073956daf4cbfa24021a5bda527d7bed0f6e35f6f6:float64:(1000000,)	True	{"accuracy":0.965139}	False	identical	hip
