shipped	shipped: default=kpack_hg body (2707) at ksplit(S=132) groups
ksplit	ksplit(S=132) where its rule takes the call, else default=kpack_hg body (2707) at ksplit(S=132) groups
kpack_hg	kpack_hg on the calls it takes, else default=kpack_hg body (2707) at ksplit(S=132) groups
